device_id,bldg_name,meter_name,campus
C00001,,森林館計算總用電,蘭潭
C00002,,水生館計算總用電,蘭潭
C00003,,生農一館計算總用電,蘭潭
C00004,,綜合教學大樓一樓計算,蘭潭
C00005,,綜合教學大樓二樓計算,蘭潭
C00006,,綜合教學大樓三樓計算,蘭潭
C00007,,綜合教學大樓四樓計算,蘭潭
C00008,,景觀學系大樓VCB4-6總用電,蘭潭
C00009,,男女宿舍加餐廳,民雄
C00010,,育樂堂總用電,民雄
C00011,,圖書館總用電,民雄
D000001,學生活動中心,活動中心冰機總盤,蘭潭
D000002,,活動中心冰機一號,蘭潭
D000003,,活動中心冰機二號,蘭潭
D000004,,教學行政區,蘭潭
D000005,行政大樓,行政中心,蘭潭
D000006,,第三變電站,蘭潭
D000007,,第二變電站,蘭潭
D000008,,第四變電站,蘭潭
D000009,,應化一館(理化館)3相220V,應化一館LBS-1,蘭潭
D000010,,路燈LBS-2,蘭潭
D000011,,應物一、應物二、農藝場總盤LBS-4,蘭潭
D000012,,第五變電站,蘭潭
D000013,,活動中心,蘭潭
D000014,,理工教學大樓,蘭潭
D000015,,嘉禾館,嘉禾館總盤,蘭潭
D000016,,動科館總盤,蘭潭
D000017,,森林館總盤,蘭潭
D000018,,應物、應化二館,蘭潭
D000019,,應物二館+應化二館,蘭潭
D000020,,水生館、魚類保育中心GCB-3,蘭潭
D000021,,生命資源館GCB-4,蘭潭
D000022,,生農一二館植醫系CB-2,蘭潭
D000023,,生命科學館LBS-2,蘭潭
D000024,,材料試驗場LBS-3,蘭潭
D000025,,資工館、國際交流學園LBS-2A,蘭潭
D000026,,3-1變電站,蘭潭
D000027,,機能系+創新育成大樓GCB2-2,蘭潭
D000028,,游泳池+司令台+運動場GCB2-3,蘭潭
D000029,,瑞穗館+警衛室+學生活動廣場GCB2-5,蘭潭
D000030,,教職員宿舍LC,蘭潭
D000031,,綠建築招待所MP-31,蘭潭
D000032,,昆蟲館MP-31,蘭潭
D000033,,禾康園MP-31,蘭潭
D000034,,食品科學館VCB4-1,蘭潭
D000035,,機電館VCB4-2,蘭潭
D000036,,園藝技藝中心VCB4-3,蘭潭
D000037,,4-1變電站VCB4-4,蘭潭
D000038,,食品加工廠VCB4-5,蘭潭
D000039,,景觀學系大樓VCB4-6,蘭潭
D000040,,生技健康館MP-6,蘭潭
D000041,,生物機械產業實驗室MP-4,蘭潭
D000042,,工程館VCBA1,蘭潭
D000043,,農園館VCBB1,蘭潭
D000044,,綜合教學大樓VCB-A  ,蘭潭
D000045,,圖書資訊館VCB-B  ,蘭潭
D000046,,園藝場管理室VCB-C,蘭潭
D000047,,第6變電站VCB,蘭潭
D000048,,綜合教學大樓1PA,蘭潭
D000049,,綜合教學大樓2PA,蘭潭
D000050,,綜合教學大樓3PA,蘭潭
D000051,,綜合教學大樓4PA,蘭潭
D000052,,綜合教學大樓E1PA,蘭潭
D000053,,綜合教學大樓E2PA,蘭潭
D000054,,綜合教學大樓E3PA,蘭潭
D000055,,綜合教學大樓E4PA,蘭潭
D000062,,菇舍ML,蘭潭
D000063,,嘉大植物園MP,蘭潭
D000064,,北側門崗哨,蘭潭
D000065,,生物多樣性館總盤,蘭潭
D000066,,生農一館生農二館總盤,蘭潭
D000067,,植醫系館,蘭潭
D000068,,國際會議廳空調動力MACP,蘭潭
D000069,,國際會議廳照明ML,蘭潭
D000070,,畜牧場校區總盤VCBM,蘭潭
D000071,,畜牧場LBS-1,蘭潭
D000072,,木材工廠LBS-2,蘭潭
D000073,,水生館台灣魚類保育研究中心太陽能,蘭潭
D000074,學人宿舍,學人宿舍用電,民雄
D000075,綠園一舍、綠園二舍、餐廳、警衛室、學人宿舍,綠園一二舍、餐廳、鍋爐間、警衛室,民雄
D000076,樂育堂、工友室、游泳池、司令台、運動場,樂育堂、工友室,民雄
D000077,行政大樓、初教館,行政大樓、初教館,民雄
D000078,圖書館、教育館,圖書館,民雄
D000079,科學館,科學館,民雄
D000080,游泳池、司令台、運動場,游泳池、司令台、運動場,民雄
D000081,教育館,教育館,民雄
D000082,,大學館與創意樓總用電MCB,民雄
D000083,,民雄總盤GCB#M,民雄
D000084,人文館,人文館、學而園,民雄
D000085,音樂館、藝術館、新藝樓、文薈廳、社團教室,音樂館、藝術館、新藝樓、社團教室,民雄
E11,,新民總電表,新民
E12,,新民A棟,新民
E13,,A棟MP盤,新民
E21,,B棟MVCBB盤 ,新民
E22,明德樓,明德樓,新民
E31,,動物醫院+游泳池,新民
E32,嘉大動物醫院、溫室、游泳池,游泳池,新民
E33,嘉大動物醫院、溫室、游泳池,動物醫院,新民
