id,電號,電號別名,校區
urn:www.ncyu.edu.tw:power:10001,09-16-6190-00-0,蘭潭教學行政區,蘭潭
urn:www.ncyu.edu.tw:power:10002,09-16-6190-13-5,蘭潭畜牧場區,蘭潭
urn:www.ncyu.edu.tw:power:10003,09-16-6291-00-2,蘭潭宿舍區,蘭潭
urn:www.ncyu.edu.tw:power:10004,09-55-6206-00-6,民雄主校區,民雄
urn:www.ncyu.edu.tw:power:10005,09-55-6206-20-0,民雄大學館創意樓,民雄
urn:www.ncyu.edu.tw:power:10006,09-05-7116-00-8,林森主校區,林森
urn:www.ncyu.edu.tw:power:10007,09-05-7116-10-0,林森樂育堂,林森
urn:www.ncyu.edu.tw:power:10008,09-18-5706-95-7,新民主校區,新民
urn:www.ncyu.edu.tw:power:10009,09-18-5706-92-4,新民動物醫院及泳池區,新民
urn:www.ncyu.edu.tw:power:10010,09-30-6631-08-9,社口林場10號,社口
urn:www.ncyu.edu.tw:power:10011,09-30-6631-05-6,社口林場10-1號,社口
urn:www.ncyu.edu.tw:power:10012,09-11-5365-00-4,忠義街首長宿舍,宿舍
urn:www.ncyu.edu.tw:power:10013,09-16-8246-20-4,八掌段803-1地號,未知
urn:www.ncyu.edu.tw:power:10014,09-16-8355-20-7,短竹段999-37地號,未知
