水號,繳費年月,繳費金額,用水度數,同期增減金額,同期增減度數,序號,代碼,校區,供水區,水號.y,裝置日期,供水區說明
51-0300-0800-2,2020-01-01,52495,3159,29266,1790,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-02-01,13419,769,-10072,-616,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-03-01,11588,657,-15973,-977,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-04-01,13435,770,-3580,-219,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-05-01,17997,1049,1554,95,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-06-01,20024,1173,-752,-46,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-07-01,18977,1109,2665,163,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-08-01,23376,1378,10905,667,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-09-01,31274,1861,16285,996,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-10-01,25599,1514,4921,301,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-11-01,25141,1486,2076,127,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2020-12-01,29654,1762,4742,290,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-01-01,21005,1233,-31490,-1926,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-02-01,22608,1331,9189,562,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-03-01,13958,802,2370,145,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-04-01,20760,1218,7325,448,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-05-01,31813,1894,13816,845,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-06-01,27398,1624,7374,451,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-07-01,13616,781,-5361,-328,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-08-01,11571,656,-11805,-722,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-09-01,11425,647,-19849,-1214,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-10-01,12976,742,-12623,-772,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-11-01,13435,770,,-716,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2021-12-01,18733,1094,,,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2022-01-01,16117,934,,,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2022-02-01,16836,978,,,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2022-03-01,9789,547,,,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2022-04-01,15610,903,,,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2022-05-01,15217,879,,,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2022-06-01,16820,977,,,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2022-07-01,13779,791,,,6,C1,林森,林森全校區,51030008002,"",""
51-0300-0800-2,2022-08-01,9201,511,,,6,C1,林森,林森全校區,51030008002,"",""
51-0632-9700-9,2008-01-01,295,22,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-02-01,281,28,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-03-01,377,21,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-04-01,308,23,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-05-01,268,20,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
