id,畢業學校,學年,入學方式,學籍系所名稱,畢業學校代碼,rank,人數,縣市名稱,地址
15297,世新大學,109,聯合分發,教育學系,1015,3,1,臺北市,臺北市木柵路一段17巷1號
15775,中國醫藥大學,101,聯合分發,獸醫學系,1035,5,1,臺中市,臺中市北屯區經貿路一段
15325,中正國防幹部預備學校,102,申請入學,教育學系,NA,2,1,高雄市,高雄市鳳山區凱旋路1號
15326,中正國防幹部預備學校,106,聯合分發,生物機電工程學系,NA,5,1,高雄市,高雄市鳳山區凱旋路1號
15327,中正國防幹部預備學校,108,申請入學,電子物理學系,NA,5,1,高雄市,高雄市鳳山區凱旋路1號
15328,中正國防幹部預備學校,110,聯合分發,生物事業管理學系,NA,4,1,高雄市,高雄市鳳山區凱旋路1號
16163,台南應用科技大學,102,聯合分發,音樂學系,1051,4,1,臺南市,臺南市永康區中正路529號
16164,台南應用科技大學,103,聯合分發,音樂學系,1051,3,1,臺南市,臺南市永康區中正路529號
16165,台南應用科技大學,104,聯合分發,音樂學系,1051,2,1,臺南市,臺南市永康區中正路529號
16166,台南應用科技大學,105,聯合分發,音樂學系,1051,6,1,臺南市,臺南市永康區中正路529號
16167,嘉義高中進修學校,106,申請入學,應用經濟學系,200B03,1,1,嘉義市,嘉義市東區大雅路二段738號
16168,嘉義高中進修學校,110,申請入學,體育與健康休閒學系,200B03,3,1,嘉義市,嘉義市東區大雅路二段738號
1,國立中央大學附屬中壢高中,107,申請入學,資訊工程學系,30305,1,3,桃園市,桃園市中壢區三光路115號
2,國立中央大學附屬中壢高中,110,申請入學,行銷與觀光管理學系,30305,2,1,桃園市,桃園市中壢區三光路115號
3,國立中央大學附屬中壢高中,110,聯合分發,應用經濟學系,30305,5,1,桃園市,桃園市中壢區三光路115號
4,國立中央大學附屬中壢高中,103,申請入學,動物科學系,30305,2,1,桃園市,桃園市中壢區三光路115號
5,國立中央大學附屬中壢高中,103,聯合分發,資訊工程學系,30305,4,1,桃園市,桃園市中壢區三光路115號
6,國立中央大學附屬中壢高中,106,聯合分發,植物醫學系,30305,5,1,桃園市,桃園市中壢區三光路115號
7,國立中央大學附屬中壢高中,106,申請入學,音樂學系,30305,4,1,桃園市,桃園市中壢區三光路115號
8,國立中央大學附屬中壢高中,110,申請入學,電機工程學系,30305,2,1,桃園市,桃園市中壢區三光路115號
9,國立中央大學附屬中壢高中,103,聯合分發,植物醫學系,30305,2,1,桃園市,桃園市中壢區三光路115號
10,國立中央大學附屬中壢高中,103,申請入學,生物資源學系,30305,1,1,桃園市,桃園市中壢區三光路115號
11,國立中央大學附屬中壢高中,103,聯合分發,音樂學系,30305,3,1,桃園市,桃園市中壢區三光路115號
12,國立中央大學附屬中壢高中,109,聯合分發,數位學習設計與管理學系,30305,3,1,桃園市,桃園市中壢區三光路115號
13,國立中央大學附屬中壢高中,108,聯合分發,應用化學系,30305,2,2,桃園市,桃園市中壢區三光路115號
14,國立中央大學附屬中壢高中,110,聯合分發,行銷與觀光管理學系,30305,2,1,桃園市,桃園市中壢區三光路115號
15,國立中央大學附屬中壢高中,107,聯合分發,生物資源學系,30305,1,1,桃園市,桃園市中壢區三光路115號
16,國立中央大學附屬中壢高中,103,聯合分發,應用經濟學系,30305,2,1,桃園市,桃園市中壢區三光路115號
17,國立中央大學附屬中壢高中,109,聯合分發,幼兒教育學系,30305,7,1,桃園市,桃園市中壢區三光路115號
18,國立中央大學附屬中壢高中,110,申請入學,音樂學系,30305,4,1,桃園市,桃園市中壢區三光路115號
19,國立中央大學附屬中壢高中,107,聯合分發,教育學系,30305,1,2,桃園市,桃園市中壢區三光路115號
20,國立中央大學附屬中壢高中,107,聯合分發,輔導與諮商學系,30305,6,1,桃園市,桃園市中壢區三光路115號
21,國立中央大學附屬中壢高中,109,申請入學,農藝學系,30305,1,2,桃園市,桃園市中壢區三光路115號
22,國立中央大學附屬中壢高中,110,聯合分發,資訊管理學系,30305,6,1,桃園市,桃園市中壢區三光路115號
23,國立中央大學附屬中壢高中,105,聯合分發,微生物免疫與生物藥學系,30305,2,1,桃園市,桃園市中壢區三光路115號
24,國立中央大學附屬中壢高中,108,聯合分發,輔導與諮商學系,30305,5,1,桃園市,桃園市中壢區三光路115號
25,國立中央大學附屬中壢高中,105,申請入學,財務金融學系,30305,1,1,桃園市,桃園市中壢區三光路115號
26,國立中央大學附屬中壢高中,105,聯合分發,動物科學系,30305,1,2,桃園市,桃園市中壢區三光路115號
27,國立中央大學附屬中壢高中,110,聯合分發,電子物理學系,30305,5,1,桃園市,桃園市中壢區三光路115號
28,國立中央大學附屬中壢高中,104,聯合分發,輔導與諮商學系,30305,10,1,桃園市,桃園市中壢區三光路115號
29,國立中央大學附屬中壢高中,103,聯合分發,木質材料與設計學系,30305,3,1,桃園市,桃園市中壢區三光路115號
30,國立中央大學附屬中壢高中,108,繁星推薦,音樂學系,30305,1,1,桃園市,桃園市中壢區三光路115號
31,國立中央大學附屬中壢高中,109,聯合分發,輔導與諮商學系,30305,1,2,桃園市,桃園市中壢區三光路115號
32,國立中央大學附屬中壢高中,107,申請入學,財務金融學系,30305,3,1,桃園市,桃園市中壢區三光路115號
33,國立中央大學附屬中壢高中,104,聯合分發,特殊教育學系,30305,2,1,桃園市,桃園市中壢區三光路115號
34,國立中央大學附屬中壢高中,106,聯合分發,動物科學系,30305,4,1,桃園市,桃園市中壢區三光路115號
35,國立中央大學附屬中壢高中,107,聯合分發,電機工程學系,30305,2,1,桃園市,桃園市中壢區三光路115號
36,國立中央大學附屬中壢高中,108,聯合分發,應用歷史學系,30305,2,1,桃園市,桃園市中壢區三光路115號
37,國立中央大學附屬中壢高中,107,申請入學,幼兒教育學系,30305,3,1,桃園市,桃園市中壢區三光路115號
38,國立中央大學附屬中壢高中,105,聯合分發,生化科技學系,30305,4,1,桃園市,桃園市中壢區三光路115號
39,國立中央大學附屬中壢高中,105,聯合分發,水生生物科學系,30305,2,1,桃園市,桃園市中壢區三光路115號
40,國立中央大學附屬中壢高中,103,聯合分發,財務金融學系,30305,3,1,桃園市,桃園市中壢區三光路115號
41,國立中央大學附屬中壢高中,105,聯合分發,應用化學系,30305,2,2,桃園市,桃園市中壢區三光路115號
42,國立中央大學附屬中壢高中,109,申請入學,園藝學系,30305,2,1,桃園市,桃園市中壢區三光路115號
43,國立中央大學附屬中壢高中,106,申請入學,微生物免疫與生物藥學系,30305,1,1,桃園市,桃園市中壢區三光路115號
44,國立中央大學附屬中壢高中,108,申請入學,園藝學系,30305,3,1,桃園市,桃園市中壢區三光路115號
45,國立中央大學附屬中壢高中,103,聯合分發,食品科學系,30305,5,1,桃園市,桃園市中壢區三光路115號
46,國立中央大學附屬中壢高中,106,聯合分發,土木與水資源工程學系,30305,5,1,桃園市,桃園市中壢區三光路115號
47,國立中央大學附屬中壢高中,107,聯合分發,外國語言學系,30305,5,2,桃園市,桃園市中壢區三光路115號
48,國立中央大學附屬中壢高中,109,聯合分發,生化科技學系,30305,4,1,桃園市,桃園市中壢區三光路115號
49,國立中央大學附屬中壢高中,106,申請入學,體育與健康休閒學系,30305,3,1,桃園市,桃園市中壢區三光路115號
50,國立中央大學附屬中壢高中,108,申請入學,輔導與諮商學系,30305,4,1,桃園市,桃園市中壢區三光路115號
51,國立中央大學附屬中壢高中,108,聯合分發,植物醫學系,30305,1,2,桃園市,桃園市中壢區三光路115號
52,國立中央大學附屬中壢高中,104,聯合分發,微生物免疫與生物藥學系,30305,3,1,桃園市,桃園市中壢區三光路115號
53,國立中央大學附屬中壢高中,110,聯合分發,外國語言學系,30305,14,1,桃園市,桃園市中壢區三光路115號
54,國立中央大學附屬中壢高中,106,聯合分發,幼兒教育學系,30305,1,2,桃園市,桃園市中壢區三光路115號
55,國立中央大學附屬中壢高中,103,聯合分發,電機工程學系,30305,6,1,桃園市,桃園市中壢區三光路115號
56,國立中央大學附屬中壢高中,107,聯合分發,數位學習設計與管理學系,30305,1,1,桃園市,桃園市中壢區三光路115號
57,國立中央大學附屬中壢高中,109,申請入學,音樂學系,30305,4,1,桃園市,桃園市中壢區三光路115號
58,國立中央大學附屬中壢高中,107,聯合分發,中國文學系,30305,4,1,桃園市,桃園市中壢區三光路115號
59,國立中央大學附屬中壢高中,109,聯合分發,動物科學系,30305,2,1,桃園市,桃園市中壢區三光路115號
