學年,入學方式,學籍系所名稱,畢業學校代碼,畢業學校,rank,人數
101,申請入學,中國文學系,050315,國立苑裡高中,1,1
101,申請入學,中國文學系,071311,私立精誠高中,1,1
101,申請入學,中國文學系,080305,國立中興高中,1,1
101,申請入學,中國文學系,090305,國立斗六高中,1,1
101,申請入學,中國文學系,100302,國立新港藝術高中,1,1
101,申請入學,中國文學系,110302,國立新豐高中,1,1
101,申請入學,中國文學系,120319,國立鳳新高中,1,1
101,申請入學,中國文學系,124302,市立文山高中,1,1
101,申請入學,中國文學系,200303,國立嘉義高中,1,1
101,申請入學,中國文學系,551301,私立立志高中,1,1
101,申請入學,企業管理學系,553302,市立三民高中,1,2
101,申請入學,企業管理學系,,無,2,1
101,申請入學,企業管理學系,061314,私立僑泰高中,2,1
101,申請入學,企業管理學系,130302,國立屏東女中,2,1
101,申請入學,企業管理學系,540301,國立中山大學附屬國光高中,2,1
101,申請入學,企業管理學系,593302,市立瑞祥高中,2,1
101,申請入學,動物科學系,010304,板橋高中,1,1
101,申請入學,動物科學系,070406,國立彰化高商,1,1
101,申請入學,動物科學系,090305,國立斗六高中,1,1
101,申請入學,動物科學系,111323,私立黎明高中,1,1
101,申請入學,動物科學系,114306,市立大灣高中,1,1
101,申請入學,動物科學系,120319,國立鳳新高中,1,1
101,申請入學,動物科學系,130302,國立屏東女中,1,1
101,申請入學,動物科學系,130305,國立屏東高中,1,1
101,申請入學,動物科學系,180302,國立新竹女中,1,1
101,申請入學,動物科學系,180309,國立新竹高中,1,1
101,申請入學,動物科學系,190303,臺中二中,1,1
101,申請入學,動物科學系,190315,文華高中,1,1
101,申請入學,動物科學系,193313,市立西苑高中,1,1
101,申請入學,動物科學系,200303,國立嘉義高中,1,1
101,申請入學,動物科學系,313302,市立中崙高中,1,1
101,申請入學,園藝學系,080305,國立中興高中,1,2
101,申請入學,園藝學系,323402,市立松山工農,1,2
101,申請入學,園藝學系,030306,國立武陵高中,3,1
101,申請入學,園藝學系,030403,國立北科大附屬桃園農工,3,1
101,申請入學,園藝學系,061313,私立明道高中,3,1
101,申請入學,園藝學系,063305,市立清水高中,3,1
101,申請入學,園藝學系,091307,私立永年高中,3,1
101,申請入學,園藝學系,101304,私立協同高中,3,1
101,申請入學,園藝學系,114306,市立大灣高中,3,1
101,申請入學,園藝學系,130305,國立屏東高中,3,1
101,申請入學,園藝學系,193303,市立忠明高中,3,1
101,申請入學,園藝學系,381304,私立再興中學,3,1
101,申請入學,園藝學系,540301,國立中山大學附屬國光高中,3,1
101,申請入學,土木與水資源工程學系,061313,私立明道高中,1,2
101,申請入學,土木與水資源工程學系,014311,市立三重高中,2,1
101,申請入學,土木與水資源工程學系,061314,私立僑泰高中,2,1
101,申請入學,土木與水資源工程學系,063303,市立大甲高中,2,1
101,申請入學,土木與水資源工程學系,070301,國立彰化女中,2,1
101,申請入學,土木與水資源工程學系,110311,國立北門高中,2,1
101,申請入學,土木與水資源工程學系,110312,國立新營高中,2,1
101,申請入學,土木與水資源工程學系,120303,國立鳳山高中,2,1
101,申請入學,土木與水資源工程學系,120319,國立鳳新高中,2,1
101,申請入學,土木與水資源工程學系,130305,國立屏東高中,2,1
101,申請入學,土木與水資源工程學系,193316,市立惠文高中,2,1
101,申請入學,土木與水資源工程學系,200302,國立嘉義女中,2,1
101,申請入學,土木與水資源工程學系,210303,國立臺南二中,2,1
101,申請入學,土木與水資源工程學系,210305,國立臺南一中,2,1
101,申請入學,土木與水資源工程學系,210306,國立臺南女中,2,1
101,申請入學,外國語言學系,061318,私立立人高中,1,2
101,申請入學,外國語言學系,090315,國立虎尾高中,1,2
101,申請入學,外國語言學系,130322,國立屏北高中,1,2
101,申請入學,外國語言學系,210309,國立家齊高中,1,2
101,申請入學,外國語言學系,034319,市立平鎮高中,5,1
101,申請入學,外國語言學系,050310,國立竹南高中,5,1
101,申請入學,外國語言學系,063305,市立清水高中,5,1
101,申請入學,外國語言學系,110308,國立臺南大學附中,5,1
101,申請入學,外國語言學系,111313,私立南光高中,5,1
101,申請入學,外國語言學系,111321,臺南市興國高中,5,1
101,申請入學,外國語言學系,121405,私立中山工商,5,1
101,申請入學,外國語言學系,403303,市立南湖高中,5,1
101,申請入學,外國語言學系,533302,市立新莊高中,5,1
101,申請入學,幼兒教育學系,030325,桃園市市立陽明高中,1,2
101,申請入學,幼兒教育學系,013336,市立中和高中,2,1
101,申請入學,幼兒教育學系,014311,市立三重高中,2,1
101,申請入學,幼兒教育學系,014362,市立錦和高中,2,1
101,申請入學,幼兒教育學系,030327,國立內壢高中,2,1
101,申請入學,幼兒教育學系,034312,市立大溪高中,2,1
101,申請入學,幼兒教育學系,050315,國立苑裡高中,2,1
101,申請入學,幼兒教育學系,061313,私立明道高中,2,1
101,申請入學,幼兒教育學系,080307,國立竹山高中,2,1
101,申請入學,幼兒教育學系,090306,國立北港高中,2,1
101,申請入學,幼兒教育學系,110317,國立新化高中,2,1
101,申請入學,幼兒教育學系,121405,私立中山工商,2,1
101,申請入學,幼兒教育學系,191309,私立明德高中,2,1
101,申請入學,幼兒教育學系,193315,市立東山高中,2,1
101,申請入學,幼兒教育學系,200302,國立嘉義女中,2,1
101,申請入學,幼兒教育學系,201304,私立興華高中,2,1
101,申請入學,幼兒教育學系,211315,私立瀛海高中,2,1
101,申請入學,幼兒教育學系,383301,市立景美女中,2,1
101,申請入學,幼兒教育學系,393401,市立南港高工,2,1
101,申請入學,幼兒教育學系,533301,市立左營高中,2,1
101,申請入學,幼兒教育學系,540301,國立中山大學附屬國光高中,2,1
101,申請入學,幼兒教育學系,553302,市立三民高中,2,1
101,申請入學,幼兒教育學系,581302,天主教道明中學,2,1
101,申請入學,微生物免疫與生物藥學系,190303,臺中二中,1,2
101,申請入學,微生物免疫與生物藥學系,014315,市立永平高中,2,1
101,申請入學,微生物免疫與生物藥學系,030325,桃園市市立陽明高中,2,1
101,申請入學,微生物免疫與生物藥學系,031309,桃園市育達高中,2,1
101,申請入學,微生物免疫與生物藥學系,061318,私立立人高中,2,1
101,申請入學,微生物免疫與生物藥學系,063303,市立大甲高中,2,1
101,申請入學,微生物免疫與生物藥學系,110312,國立新營高中,2,1
101,申請入學,微生物免疫與生物藥學系,121405,私立中山工商,2,1
101,申請入學,微生物免疫與生物藥學系,130306,國立潮州高中,2,1
101,申請入學,微生物免疫與生物藥學系,193316,市立惠文高中,2,1
101,申請入學,微生物免疫與生物藥學系,200302,國立嘉義女中,2,1
101,申請入學,微生物免疫與生物藥學系,H10305,中壢高中,2,1
101,申請入學,應用化學系,080305,國立中興高中,1,3
101,申請入學,應用化學系,114306,市立大灣高中,1,3
101,申請入學,應用化學系,034312,市立大溪高中,3,1
101,申請入學,應用化學系,034314,市立壽山高中,3,1
101,申請入學,應用化學系,050315,國立苑裡高中,3,1
101,申請入學,應用化學系,061315,私立華盛頓高中,3,1
101,申請入學,應用化學系,070319,國立溪湖高中,3,1
101,申請入學,應用化學系,190315,文華高中,3,1
101,申請入學,應用化學系,191314,私立嶺東高中,3,1
101,申請入學,應用化學系,200302,國立嘉義女中,3,1
101,申請入學,應用數學系,070319,國立溪湖高中,1,2
101,申請入學,應用數學系,084309,縣立旭光高中,1,2
101,申請入學,應用數學系,070F01,國立和美實驗學校,3,1
101,申請入學,應用數學系,061313,私立明道高中,3,1
101,申請入學,應用數學系,061314,私立僑泰高中,3,1
101,申請入學,應用數學系,061318,私立立人高中,3,1
101,申請入學,應用數學系,063303,市立大甲高中,3,1
101,申請入學,應用數學系,070307,國立彰化高中,3,1
101,申請入學,應用數學系,071311,私立精誠高中,3,1
