學制班別,主聘單位,學年期,專任師資數,教師人數
學士班,應用經濟學系,1102,B,7
學士班,電機工程學系,1102,B,8
學士班,機械與能源工程學系,1102,B,8
學士班,財務金融學系,1102,B,9
學士班,動物科學系,1102,B,9
學士班,輔導與諮商學系,1102,B,9
學士班,木質材料與設計學系,1102,B,9
學士班,生物事業管理學系,1102,B,9
學士班,視覺藝術學系,1102,B,9
學士班,土木與水資源工程學系,1102,B,9
學士班,植物醫學系,1102,B,9
學士班,景觀學系,1102,B,10
學士班,農藝學系,1102,B,10
學士班,森林暨自然資源學系,1102,B,10
學士班,生物農業科技學系,1102,B,10
學士班,生物資源學系,1102,B,10
學士班,水生生物科學系,1102,B,10
學士班,特殊教育學系,1102,B,10
學士班,幼兒教育學系,1102,B,10
學士班,資訊管理學系,1102,B,10
學士班,企業管理學系,1102,B,11
學士班,生化科技學系,1102,B,11
學士班,數位學習設計與管理學系,1102,B,11
學士班,行銷與觀光管理學系,1102,B,11
學士班,應用歷史學系,1102,B,11
學士班,園藝學系,1102,B,11
學士班,微生物免疫與生物藥學系,1102,B,12
學士班,電子物理學系,1102,B,13
學士班,獸醫學系,1102,B,13
學士班,應用數學系,1102,B,13
學士班,食品科學系,1102,B,14
學士班,音樂學系,1102,B,14
學士班,生物機電工程學系,1102,B,15
學士班,資訊工程學系,1102,B,15
學士班,外國語言學系,1102,B,17
學士班,體育與健康休閒學系,1102,B,19
學士班,應用化學系,1102,B,19
學士班,中國文學系,1102,B,19
學士班,教育學系,1102,B,25
學士班,應用經濟學系,1101,B,8
學士班,電機工程學系,1101,B,9
學士班,機械與能源工程學系,1101,B,8
學士班,財務金融學系,1101,B,9
學士班,動物科學系,1101,B,9
學士班,輔導與諮商學系,1101,B,9
學士班,木質材料與設計學系,1101,B,9
學士班,生物事業管理學系,1101,B,10
學士班,視覺藝術學系,1101,B,10
學士班,土木與水資源工程學系,1101,B,10
學士班,植物醫學系,1101,B,9
學士班,景觀學系,1101,B,10
學士班,農藝學系,1101,B,10
學士班,森林暨自然資源學系,1101,B,10
學士班,生物農業科技學系,1101,B,10
學士班,生物資源學系,1101,B,10
學士班,水生生物科學系,1101,B,9
學士班,特殊教育學系,1101,B,10
學士班,幼兒教育學系,1101,B,10
學士班,資訊管理學系,1101,B,10
學士班,企業管理學系,1101,B,13
學士班,生化科技學系,1101,B,12
學士班,數位學習設計與管理學系,1101,B,11
學士班,行銷與觀光管理學系,1101,B,12
學士班,應用歷史學系,1101,B,11
學士班,園藝學系,1101,B,11
學士班,微生物免疫與生物藥學系,1101,B,12
學士班,電子物理學系,1101,B,14
學士班,獸醫學系,1101,B,13
學士班,應用數學系,1101,B,14
學士班,食品科學系,1101,B,14
學士班,音樂學系,1101,B,15
學士班,生物機電工程學系,1101,B,15
學士班,資訊工程學系,1101,B,16
學士班,外國語言學系,1101,B,17
學士班,體育與健康休閒學系,1101,B,18
學士班,應用化學系,1101,B,18
學士班,中國文學系,1101,B,18
學士班,教育學系,1101,B,26
學士班,應用經濟學系,1092,B,7
學士班,電機工程學系,1092,B,9
學士班,機械與能源工程學系,1092,B,9
學士班,財務金融學系,1092,B,9
學士班,動物科學系,1092,B,10
學士班,輔導與諮商學系,1092,B,13
學士班,木質材料與設計學系,1092,B,9
學士班,生物事業管理學系,1092,B,10
學士班,視覺藝術學系,1092,B,10
學士班,土木與水資源工程學系,1092,B,11
學士班,植物醫學系,1092,B,9
學士班,景觀學系,1092,B,9
學士班,農藝學系,1092,B,10
學士班,森林暨自然資源學系,1092,B,10
學士班,生物農業科技學系,1092,B,10
學士班,生物資源學系,1092,B,10
學士班,水生生物科學系,1092,B,11
學士班,特殊教育學系,1092,B,9
學士班,幼兒教育學系,1092,B,11
學士班,資訊管理學系,1092,B,10
學士班,企業管理學系,1092,B,13
學士班,生化科技學系,1092,B,12
學士班,數位學習設計與管理學系,1092,B,11
學士班,行銷與觀光管理學系,1092,B,11
學士班,應用歷史學系,1092,B,11
學士班,園藝學系,1092,B,11
學士班,微生物免疫與生物藥學系,1092,B,13
學士班,電子物理學系,1092,B,14
學士班,獸醫學系,1092,B,12
學士班,應用數學系,1092,B,14
學士班,食品科學系,1092,B,14
學士班,音樂學系,1092,B,15
學士班,生物機電工程學系,1092,B,14
學士班,資訊工程學系,1092,B,16
學士班,外國語言學系,1092,B,18
學士班,體育與健康休閒學系,1092,B,19
學士班,應用化學系,1092,B,18
學士班,中國文學系,1092,B,19
學士班,教育學系,1092,B,17
學士班,應用經濟學系,1091,B,7
學士班,電機工程學系,1091,B,8
學士班,機械與能源工程學系,1091,B,9
學士班,財務金融學系,1091,B,9
學士班,動物科學系,1091,B,11
學士班,輔導與諮商學系,1091,B,14
學士班,木質材料與設計學系,1091,B,11
學士班,生物事業管理學系,1091,B,10
學士班,視覺藝術學系,1091,B,10
學士班,土木與水資源工程學系,1091,B,12
學士班,植物醫學系,1091,B,8
學士班,景觀學系,1091,B,10
學士班,農藝學系,1091,B,11
學士班,森林暨自然資源學系,1091,B,10
學士班,生物農業科技學系,1091,B,11
學士班,生物資源學系,1091,B,10
學士班,水生生物科學系,1091,B,11
學士班,特殊教育學系,1091,B,10
學士班,幼兒教育學系,1091,B,11
學士班,資訊管理學系,1091,B,10
學士班,企業管理學系,1091,B,14
學士班,生化科技學系,1091,B,12
學士班,數位學習設計與管理學系,1091,B,11
學士班,行銷與觀光管理學系,1091,B,11
學士班,應用歷史學系,1091,B,10
學士班,園藝學系,1091,B,10
學士班,微生物免疫與生物藥學系,1091,B,13
學士班,電子物理學系,1091,B,14
學士班,獸醫學系,1091,B,12
學士班,應用數學系,1091,B,14
學士班,食品科學系,1091,B,14
學士班,音樂學系,1091,B,15
學士班,生物機電工程學系,1091,B,14
學士班,資訊工程學系,1091,B,16
學士班,外國語言學系,1091,B,18
學士班,體育與健康休閒學系,1091,B,20
學士班,應用化學系,1091,B,20
學士班,中國文學系,1091,B,19
學士班,教育學系,1091,B,17
學士班,應用經濟學系,1082,B,8
學士班,電機工程學系,1082,B,8
學士班,機械與能源工程學系,1082,B,9
學士班,財務金融學系,1082,B,9
學士班,動物科學系,1082,B,11
學士班,輔導與諮商學系,1082,B,14
學士班,木質材料與設計學系,1082,B,11
學士班,生物事業管理學系,1082,B,10
學士班,視覺藝術學系,1082,B,10
學士班,土木與水資源工程學系,1082,B,12
學士班,植物醫學系,1082,B,8
學士班,景觀學系,1082,B,10
學士班,農藝學系,1082,B,11
學士班,森林暨自然資源學系,1082,B,10
學士班,生物農業科技學系,1082,B,11
學士班,生物資源學系,1082,B,9
學士班,水生生物科學系,1082,B,10
學士班,特殊教育學系,1082,B,10
學士班,幼兒教育學系,1082,B,11
學士班,資訊管理學系,1082,B,10
學士班,企業管理學系,1082,B,14
學士班,生化科技學系,1082,B,12
學士班,數位學習設計與管理學系,1082,B,11
學士班,行銷與觀光管理學系,1082,B,11
學士班,應用歷史學系,1082,B,9
學士班,園藝學系,1082,B,11
學士班,微生物免疫與生物藥學系,1082,B,13
學士班,電子物理學系,1082,B,14
學士班,獸醫學系,1082,B,13
學士班,應用數學系,1082,B,14
學士班,食品科學系,1082,B,15
學士班,音樂學系,1082,B,15
學士班,生物機電工程學系,1082,B,14
學士班,資訊工程學系,1082,B,16
學士班,外國語言學系,1082,B,18
學士班,體育與健康休閒學系,1082,B,20
學士班,應用化學系,1082,B,21
學士班,中國文學系,1082,B,20
學士班,教育學系,1082,B,17
學士班,應用經濟學系,1081,B,8
學士班,電機工程學系,1081,B,9
學士班,機械與能源工程學系,1081,B,9
學士班,財務金融學系,1081,B,9
學士班,動物科學系,1081,B,12
學士班,輔導與諮商學系,1081,B,14
學士班,木質材料與設計學系,1081,B,10
學士班,生物事業管理學系,1081,B,10
學士班,視覺藝術學系,1081,B,10
學士班,土木與水資源工程學系,1081,B,12
學士班,植物醫學系,1081,B,8
學士班,景觀學系,1081,B,10
學士班,農藝學系,1081,B,10
學士班,森林暨自然資源學系,1081,B,10
學士班,生物農業科技學系,1081,B,11
學士班,生物資源學系,1081,B,9
學士班,水生生物科學系,1081,B,10
學士班,特殊教育學系,1081,B,10
學士班,幼兒教育學系,1081,B,11
學士班,資訊管理學系,1081,B,10
學士班,企業管理學系,1081,B,14
學士班,生化科技學系,1081,B,12
學士班,數位學習設計與管理學系,1081,B,11
學士班,行銷與觀光管理學系,1081,B,11
學士班,應用歷史學系,1081,B,10
學士班,園藝學系,1081,B,9
學士班,微生物免疫與生物藥學系,1081,B,13
學士班,電子物理學系,1081,B,14
學士班,獸醫學系,1081,B,12
學士班,應用數學系,1081,B,14
學士班,食品科學系,1081,B,15
學士班,音樂學系,1081,B,15
學士班,生物機電工程學系,1081,B,14
學士班,資訊工程學系,1081,B,16
學士班,外國語言學系,1081,B,19
學士班,體育與健康休閒學系,1081,B,20
學士班,應用化學系,1081,B,21
學士班,中國文學系,1081,B,20
學士班,教育學系,1081,B,17
學士班,應用經濟學系,1072,B,8
學士班,電機工程學系,1072,B,9
學士班,機械與能源工程學系,1072,B,10
學士班,財務金融學系,1072,B,9
學士班,動物科學系,1072,B,12
學士班,輔導與諮商學系,1072,B,13
學士班,木質材料與設計學系,1072,B,10
學士班,生物事業管理學系,1072,B,10
學士班,視覺藝術學系,1072,B,10
學士班,土木與水資源工程學系,1072,B,12
學士班,植物醫學系,1072,B,9
學士班,景觀學系,1072,B,10
學士班,農藝學系,1072,B,10
學士班,森林暨自然資源學系,1072,B,10
學士班,生物農業科技學系,1072,B,10
學士班,生物資源學系,1072,B,9
學士班,水生生物科學系,1072,B,10
學士班,特殊教育學系,1072,B,10
學士班,幼兒教育學系,1072,B,11
學士班,資訊管理學系,1072,B,11
學士班,企業管理學系,1072,B,14
學士班,生化科技學系,1072,B,12
學士班,數位學習設計與管理學系,1072,B,11
學士班,行銷與觀光管理學系,1072,B,12
學士班,應用歷史學系,1072,B,9
學士班,園藝學系,1072,B,11
學士班,微生物免疫與生物藥學系,1072,B,13
學士班,電子物理學系,1072,B,14
學士班,獸醫學系,1072,B,12
學士班,應用數學系,1072,B,14
學士班,食品科學系,1072,B,15
學士班,音樂學系,1072,B,15
學士班,生物機電工程學系,1072,B,13
學士班,資訊工程學系,1072,B,16
學士班,外國語言學系,1072,B,19
學士班,體育與健康休閒學系,1072,B,20
學士班,應用化學系,1072,B,20
學士班,中國文學系,1072,B,20
學士班,教育學系,1072,B,17
學士班,應用經濟學系,1071,B,8
學士班,電機工程學系,1071,B,9
學士班,機械與能源工程學系,1071,B,9
學士班,財務金融學系,1071,B,9
學士班,動物科學系,1071,B,12
學士班,輔導與諮商學系,1071,B,15
