id,學年度,學期,學院,單位,學制班別,班次,學籍分組,年級,正式學籍之在學學生總人數男,正式學籍之在學學生總人數女,延修生人數男,延修生人數女,轉學生男,轉學生女,補充說明
urn:ncyu.edu.tw:student:number:00001,109,2,人文藝術學院,中國文學系,進修學士班,,,1,6,12,,,0,0,
urn:ncyu.edu.tw:student:number:00002,109,2,人文藝術學院,中國文學系,進修學士班,,,2,7,13,,,0,0,
urn:ncyu.edu.tw:student:number:00003,109,2,人文藝術學院,中國文學系,進修學士班,,,3,6,7,,,0,0,
urn:ncyu.edu.tw:student:number:00004,109,2,人文藝術學院,中國文學系,進修學士班,,,4,7,11,,,0,0,
urn:ncyu.edu.tw:student:number:00005,109,2,人文藝術學院,中國文學系,進修學士班,,,5,1,1,1,1,0,0,
urn:ncyu.edu.tw:student:number:00006,109,2,人文藝術學院,中國文學系,碩士在職專班,,,1,1,4,,,0,0,
urn:ncyu.edu.tw:student:number:00007,109,2,人文藝術學院,中國文學系,碩士在職專班,,,2,3,3,,,0,0,
urn:ncyu.edu.tw:student:number:00008,109,2,人文藝術學院,中國文學系,碩士在職專班,,,3,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00009,109,2,人文藝術學院,中國文學系,碩士在職專班,,,4,2,9,2,9,0,0,
urn:ncyu.edu.tw:student:number:00010,109,2,人文藝術學院,中國文學系,碩士班,,,1,5,5,,,0,0,
urn:ncyu.edu.tw:student:number:00011,109,2,人文藝術學院,中國文學系,碩士班,,,2,3,1,,,0,0,
urn:ncyu.edu.tw:student:number:00012,109,2,人文藝術學院,中國文學系,碩士班,,,3,4,6,4,6,0,0,
urn:ncyu.edu.tw:student:number:00013,109,2,人文藝術學院,中國文學系,碩士班,,,4,1,6,1,6,0,0,
urn:ncyu.edu.tw:student:number:00014,109,2,人文藝術學院,中國文學系,學士班,,,1,23,26,,,0,0,
urn:ncyu.edu.tw:student:number:00015,109,2,人文藝術學院,中國文學系,學士班,,,2,12,33,,,0,0,
urn:ncyu.edu.tw:student:number:00016,109,2,人文藝術學院,中國文學系,學士班,,,3,17,34,,,0,0,
urn:ncyu.edu.tw:student:number:00017,109,2,人文藝術學院,中國文學系,學士班,,,4,18,29,,,0,0,
urn:ncyu.edu.tw:student:number:00018,109,2,人文藝術學院,外國語言學系,進修學士班,,,4,1,0,,,0,0,
urn:ncyu.edu.tw:student:number:00019,109,2,人文藝術學院,外國語言學系,碩士班,,,1,0,10,,,0,0,
urn:ncyu.edu.tw:student:number:00020,109,2,人文藝術學院,外國語言學系,碩士班,,,2,0,5,,,0,0,
urn:ncyu.edu.tw:student:number:00021,109,2,人文藝術學院,外國語言學系,碩士班,,,3,2,5,2,5,0,0,
urn:ncyu.edu.tw:student:number:00022,109,2,人文藝術學院,外國語言學系,碩士班,,,4,0,6,0,6,0,0,
urn:ncyu.edu.tw:student:number:00023,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,1,18,28,,,0,0,
urn:ncyu.edu.tw:student:number:00024,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,2,16,28,,,0,0,
urn:ncyu.edu.tw:student:number:00025,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,3,19,31,,,0,0,
urn:ncyu.edu.tw:student:number:00026,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,4,15,33,,,0,0,
urn:ncyu.edu.tw:student:number:00027,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,5,3,2,3,2,0,0,
urn:ncyu.edu.tw:student:number:00028,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,1,12,34,,,0,0,
urn:ncyu.edu.tw:student:number:00029,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,2,13,27,,,0,0,
urn:ncyu.edu.tw:student:number:00030,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,3,18,31,,,0,0,
urn:ncyu.edu.tw:student:number:00031,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,4,15,36,,,0,0,
urn:ncyu.edu.tw:student:number:00032,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,5,2,4,2,4,0,0,
urn:ncyu.edu.tw:student:number:00033,109,2,人文藝術學院,音樂學系,碩士班,,,1,4,8,,,0,0,
urn:ncyu.edu.tw:student:number:00034,109,2,人文藝術學院,音樂學系,碩士班,,,2,2,10,,,0,0,
urn:ncyu.edu.tw:student:number:00035,109,2,人文藝術學院,音樂學系,碩士班,,,3,2,4,2,4,0,0,
urn:ncyu.edu.tw:student:number:00036,109,2,人文藝術學院,音樂學系,碩士班,,,4,2,1,2,1,0,0,
urn:ncyu.edu.tw:student:number:00037,109,2,人文藝術學院,音樂學系,學士班,,,1,17,18,,,0,0,
urn:ncyu.edu.tw:student:number:00038,109,2,人文藝術學院,音樂學系,學士班,,,2,11,29,,,0,0,
urn:ncyu.edu.tw:student:number:00039,109,2,人文藝術學院,音樂學系,學士班,,,3,16,33,,,0,0,
urn:ncyu.edu.tw:student:number:00040,109,2,人文藝術學院,音樂學系,學士班,,,4,17,25,,,0,0,
urn:ncyu.edu.tw:student:number:00041,109,2,人文藝術學院,音樂學系,學士班,,,5,8,4,8,4,0,0,
urn:ncyu.edu.tw:student:number:00042,109,2,人文藝術學院,音樂學系,學士班,,,6,2,3,2,3,0,0,
urn:ncyu.edu.tw:student:number:00043,109,2,人文藝術學院,視覺藝術學系,碩士班,,,1,5,8,,,0,0,
urn:ncyu.edu.tw:student:number:00044,109,2,人文藝術學院,視覺藝術學系,碩士班,,,2,8,11,,,0,0,
urn:ncyu.edu.tw:student:number:00045,109,2,人文藝術學院,視覺藝術學系,碩士班,,,3,4,13,4,13,0,0,
urn:ncyu.edu.tw:student:number:00046,109,2,人文藝術學院,視覺藝術學系,碩士班,,,4,5,7,5,7,0,0,
urn:ncyu.edu.tw:student:number:00047,109,2,人文藝術學院,視覺藝術學系,學士班,,,1,8,38,,,0,0,
urn:ncyu.edu.tw:student:number:00048,109,2,人文藝術學院,視覺藝術學系,學士班,,,2,7,38,,,0,0,
urn:ncyu.edu.tw:student:number:00049,109,2,人文藝術學院,視覺藝術學系,學士班,,,3,4,38,,,0,0,
urn:ncyu.edu.tw:student:number:00050,109,2,人文藝術學院,視覺藝術學系,學士班,,,4,6,41,,,0,0,
urn:ncyu.edu.tw:student:number:00051,109,2,人文藝術學院,視覺藝術學系,學士班,,,5,0,4,0,4,0,0,
urn:ncyu.edu.tw:student:number:00052,109,2,人文藝術學院,視覺藝術學系,學士班,,,6,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00053,109,2,人文藝術學院,應用歷史學系,碩士在職專班,,,1,2,0,,,0,0,
urn:ncyu.edu.tw:student:number:00054,109,2,人文藝術學院,應用歷史學系,碩士在職專班,,,2,2,1,,,0,0,
urn:ncyu.edu.tw:student:number:00055,109,2,人文藝術學院,應用歷史學系,碩士在職專班,,,3,2,0,2,0,0,0,
urn:ncyu.edu.tw:student:number:00056,109,2,人文藝術學院,應用歷史學系,碩士在職專班,,,4,0,5,0,5,0,0,
urn:ncyu.edu.tw:student:number:00057,109,2,人文藝術學院,應用歷史學系,碩士班,,,1,4,0,,,0,0,
urn:ncyu.edu.tw:student:number:00058,109,2,人文藝術學院,應用歷史學系,碩士班,,,2,4,2,,,0,0,
urn:ncyu.edu.tw:student:number:00059,109,2,人文藝術學院,應用歷史學系,碩士班,,,3,5,2,5,2,0,0,
urn:ncyu.edu.tw:student:number:00060,109,2,人文藝術學院,應用歷史學系,碩士班,,,4,3,4,3,4,0,0,
urn:ncyu.edu.tw:student:number:00061,109,2,人文藝術學院,應用歷史學系,學士班,,,1,35,13,,,0,0,
urn:ncyu.edu.tw:student:number:00062,109,2,人文藝術學院,應用歷史學系,學士班,,,2,32,16,,,0,0,
urn:ncyu.edu.tw:student:number:00063,109,2,人文藝術學院,應用歷史學系,學士班,,,3,27,15,,,0,0,
urn:ncyu.edu.tw:student:number:00064,109,2,人文藝術學院,應用歷史學系,學士班,,,4,31,9,,,0,0,
urn:ncyu.edu.tw:student:number:00065,109,2,人文藝術學院,應用歷史學系,學士班,,,5,2,0,2,0,0,0,
urn:ncyu.edu.tw:student:number:00066,109,2,生命科學院,水生生物科學系,碩士班,,,1,8,3,,,0,0,
urn:ncyu.edu.tw:student:number:00067,109,2,生命科學院,水生生物科學系,碩士班,,,2,3,2,,,0,0,
urn:ncyu.edu.tw:student:number:00068,109,2,生命科學院,水生生物科學系,碩士班,,,3,8,0,8,0,0,0,
urn:ncyu.edu.tw:student:number:00069,109,2,生命科學院,水生生物科學系,碩士班,,,4,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00070,109,2,生命科學院,水生生物科學系,學士班,,,1,22,24,,,0,0,
urn:ncyu.edu.tw:student:number:00071,109,2,生命科學院,水生生物科學系,學士班,,,2,22,18,,,0,0,
urn:ncyu.edu.tw:student:number:00072,109,2,生命科學院,水生生物科學系,學士班,,,3,22,11,,,0,0,
urn:ncyu.edu.tw:student:number:00073,109,2,生命科學院,水生生物科學系,學士班,,,4,17,19,,,0,0,
urn:ncyu.edu.tw:student:number:00074,109,2,生命科學院,水生生物科學系,學士班,,,5,2,1,2,1,0,0,
urn:ncyu.edu.tw:student:number:00075,109,2,生命科學院,水生生物科學系,學士班,,,6,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00076,109,2,生命科學院,生化科技學系,碩士在職專班,,,1,4,4,,,0,0,
urn:ncyu.edu.tw:student:number:00077,109,2,生命科學院,生化科技學系,碩士在職專班,,,2,2,5,,,0,0,
urn:ncyu.edu.tw:student:number:00078,109,2,生命科學院,生化科技學系,碩士在職專班,,,3,1,2,1,2,0,0,
urn:ncyu.edu.tw:student:number:00079,109,2,生命科學院,生化科技學系,碩士在職專班,,,4,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00080,109,2,生命科學院,生化科技學系,碩士班,,,1,7,1,,,0,0,
urn:ncyu.edu.tw:student:number:00081,109,2,生命科學院,生化科技學系,碩士班,,,3,1,1,1,1,0,0,
urn:ncyu.edu.tw:student:number:00082,109,2,生命科學院,生化科技學系,學士班,,,1,26,20,,,0,0,
urn:ncyu.edu.tw:student:number:00083,109,2,生命科學院,生化科技學系,學士班,,,2,27,17,,,0,0,
urn:ncyu.edu.tw:student:number:00084,109,2,生命科學院,生化科技學系,學士班,,,3,21,21,,,0,0,
urn:ncyu.edu.tw:student:number:00085,109,2,生命科學院,生化科技學系,學士班,,,4,18,26,,,0,0,
urn:ncyu.edu.tw:student:number:00086,109,2,生命科學院,生化科技學系,學士班,,,5,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00087,109,2,生命科學院,生命科學全英文碩士學位學程,碩士班,,,2,1,3,,,0,0,
urn:ncyu.edu.tw:student:number:00088,109,2,生命科學院,生物資源學系,碩士班,,,1,3,2,,,0,0,
urn:ncyu.edu.tw:student:number:00089,109,2,生命科學院,生物資源學系,碩士班,,,2,9,2,,,0,0,
urn:ncyu.edu.tw:student:number:00090,109,2,生命科學院,生物資源學系,碩士班,,,3,2,2,2,2,0,0,
urn:ncyu.edu.tw:student:number:00091,109,2,生命科學院,生物資源學系,學士班,,,1,16,29,,,0,0,
urn:ncyu.edu.tw:student:number:00092,109,2,生命科學院,生物資源學系,學士班,,,2,14,25,,,0,0,
