統計處科系所代碼,單位
01111001,教育學系
01111006,師範學院教學專業國際碩士學位學程
01113017,特殊教育學系
01114018,教育行政與政策發展研究所
01116021,數位學習設計與管理學系
01121016,幼兒教育學系
01131010,數理教育研究所
01141113,體育與健康休閒學系
02131025,視覺藝術學系
02151024,音樂學系
02221033,應用歷史學系
02311031,外國語言學系
02322029,中國文學系
03111034,應用經濟學系
03131035,輔導與諮商學系
04121041,財務金融學系
04131038,企業管理學系
04131045,生物事業管理學系
04131046,管理學院碩士在職專班
04134036,公共政策研究所
04143044,行銷與觀光管理學系
05111048,生命科學全英文碩士學位學程
05111052,生物資源學系
05121053,生化科技學系
05199058,微生物免疫與生物藥學系
05311059,應用化學系
05331061,電子物理學系
05411062,應用數學系
06131063,資訊管理學系
06131066,資訊工程學系
07141064,電機工程學系
07151067,生物機電工程學系
07151069,機械與能源工程學系
07211088,食品科學系
07312072,景觀學系
07321070,土木與水資源工程學系
08111073,農學院農學碩士在職專班
08111074,農藝學系
08111077,農業科學博士學位學程
08112079,動物科學系
08121080,園藝學系
08192092,生物農業科技學系
08192094,農學院農業科技全英碩士學位學程
08194084,植物醫學系
08199076,農場管理進修學士學位學程
08211096,森林暨自然資源學系
08211106,木質材料與設計學系
08312047,水生生物科學系
08411108,獸醫學系
10151044,行銷與觀光管理學系
10151110,管理學院外籍生全英文授課觀光暨管理碩士學位學程
10152113,體育與健康休閒學系
