,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,小計,低收入戶學生,中低收入戶學生,身心障礙學生及身心障礙人士子女,特殊境遇家庭之子女,原住民學生
,101,1,公立,一般大學,1,國立政治大學,732,93,33,428,14,164
,101,1,公立,一般大學,2,國立清華大學,504,70,21,363,10,40
,101,1,公立,一般大學,3,國立臺灣大學,1364,133,48,913,24,246
,101,1,公立,一般大學,4,國立臺灣師範大學,775,104,30,429,15,197
,101,1,公立,一般大學,5,國立成功大學,1010,123,47,702,33,105
,101,1,公立,一般大學,6,國立中興大學,697,112,25,473,19,68
,101,1,公立,一般大學,7,國立交通大學,496,67,19,361,14,35
,101,1,公立,一般大學,8,國立中央大學,551,61,21,412,19,38
,101,1,公立,一般大學,9,國立中山大學,496,90,24,321,25,36
,101,1,公立,一般大學,12,國立臺灣海洋大學,473,82,32,301,14,44
,101,1,公立,一般大學,13,國立中正大學,638,87,35,425,22,69
,101,1,公立,一般大學,14,國立高雄師範大學,413,67,32,242,15,57
,101,1,公立,一般大學,15,國立彰化師範大學,431,62,34,262,26,47
,101,1,公立,一般大學,16,國立陽明大學,144,18,2,103,4,17
,101,1,公立,一般大學,17,國立臺北大學,560,86,26,336,5,107
,101,1,公立,一般大學,18,國立嘉義大學,886,133,86,513,36,118
,101,1,公立,一般大學,19,國立高雄大學,339,55,23,215,13,33
,101,1,公立,一般大學,20,國立東華大學,1026,164,39,379,14,430
,101,1,公立,一般大學,21,國立暨南國際大學,377,44,33,214,24,62
,101,1,公立,一般大學,28,國立臺北藝術大學,168,18,7,86,6,51
,101,1,公立,一般大學,29,國立臺灣藝術大學,291,34,8,187,4,58
,101,1,公立,一般大學,30,國立臺東大學,502,78,27,165,16,216
,101,1,公立,一般大學,31,國立宜蘭大學,413,82,25,243,13,50
,101,1,公立,一般大學,32,國立聯合大學,544,87,60,322,17,58
,101,1,公立,一般大學,35,國立臺南藝術大學,97,14,7,58,2,16
,101,1,公立,一般大學,36,國立臺南大學,451,80,42,245,23,61
,101,1,公立,一般大學,37,國立臺北教育大學,281,52,10,144,7,68
,101,1,公立,一般大學,38,國立新竹教育大學,263,38,20,130,8,67
