,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,學制,學生總人數,學生學期內退學人數,男,女
,101,1,公立,一般大學,1,國立政治大學,學士班(日間),9782,89,43,46
,101,1,公立,一般大學,1,國立政治大學,碩士班(日間),3596,113,64,49
,101,1,公立,一般大學,1,國立政治大學,碩士在職專班,1636,46,28,18
,101,1,公立,一般大學,1,國立政治大學,博士班,1014,28,18,10
,101,1,公立,一般大學,2,國立清華大學,學士班(日間),6325,122,91,31
,101,1,公立,一般大學,2,國立清華大學,碩士班(日間),3804,53,35,18
,101,1,公立,一般大學,2,國立清華大學,碩士在職專班,291,10,8,2
,101,1,公立,一般大學,2,國立清華大學,博士班,2028,80,65,15
,101,1,公立,一般大學,3,國立臺灣大學,學士班(日間),16915,319,207,112
,101,1,公立,一般大學,3,國立臺灣大學,學士班(進修),29,6,2,4
,101,1,公立,一般大學,3,國立臺灣大學,碩士班(日間),9741,234,135,99
,101,1,公立,一般大學,3,國立臺灣大學,碩士在職專班,1119,23,20,3
,101,1,公立,一般大學,3,國立臺灣大學,博士班,4889,174,124,50
,101,1,公立,一般大學,4,國立臺灣師範大學,學士班(日間),7768,133,70,63
,101,1,公立,一般大學,4,國立臺灣師範大學,碩士班(日間),4115,173,85,88
,101,1,公立,一般大學,4,國立臺灣師範大學,碩士在職專班,2037,49,20,29
,101,1,公立,一般大學,4,國立臺灣師範大學,博士班,1387,42,22,20
,101,1,公立,一般大學,5,國立成功大學,學士班(日間),11688,263,173,90
,101,1,公立,一般大學,5,國立成功大學,學士班(進修),2,1,0,1
,101,1,公立,一般大學,5,國立成功大學,碩士班(日間),6404,128,81,47
,101,1,公立,一般大學,5,國立成功大學,碩士在職專班,1303,41,30,11
,101,1,公立,一般大學,5,國立成功大學,博士班,3020,150,117,33
,101,1,公立,一般大學,6,國立中興大學,學士班(日間),8321,250,169,81
,101,1,公立,一般大學,6,國立中興大學,學士班(進修),1145,34,16,18
,101,1,公立,一般大學,6,國立中興大學,碩士班(日間),3419,122,74,48
