,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,男,女,總計
,101,公立,一般大學,1,國立政治大學,140101,教育學系,學士班(日間),4,11,15
,101,公立,一般大學,1,國立政治大學,220201,中國文學系,學士班(日間),4,20,24
,101,公立,一般大學,1,國立政治大學,220307,英國語文學系,學士班(日間),11,24,35
,101,公立,一般大學,1,國立政治大學,220320,日本語文學系,學士班(日間),5,16,21
,101,公立,一般大學,1,國立政治大學,220322,阿拉伯語文學系,學士班(日間),6,11,17
,101,公立,一般大學,1,國立政治大學,220324,韓國語文學系,學士班(日間),3,19,22
,101,公立,一般大學,1,國立政治大學,220326,土耳其語文學系,學士班(日間),7,9,16
,101,公立,一般大學,1,國立政治大學,220327,歐洲語文學系,學士班(日間),13,40,53
,101,公立,一般大學,1,國立政治大學,220333,斯拉夫語文學系,學士班(日間),6,17,23
,101,公立,一般大學,1,國立政治大學,220901,歷史學系,學士班(日間),11,6,17
,101,公立,一般大學,1,國立政治大學,221101,哲學系,學士班(日間),9,10,19
,101,公立,一般大學,1,國立政治大學,310101,經濟學系,學士班(日間),16,10,26
,101,公立,一般大學,1,國立政治大學,310201,政治學系,學士班(日間),6,8,14
,101,公立,一般大學,1,國立政治大學,310301,社會學系,學士班(日間),4,9,13
,101,公立,一般大學,1,國立政治大學,310401,民族學系,學士班(日間),3,2,5
,101,公立,一般大學,1,國立政治大學,310501,心理學系,學士班(日間),5,2,7
,101,公立,一般大學,1,國立政治大學,310801,公共行政學系,學士班(日間),4,5,9
,101,公立,一般大學,1,國立政治大學,310811,地政學系,學士班(日間),32,10,42
,101,公立,一般大學,1,國立政治大學,310905,外交學系,學士班(日間),13,16,29
,101,公立,一般大學,1,國立政治大學,320102,傳播學院傳播學士學位學程,學士班(日間),3,6,9
,101,公立,一般大學,1,國立政治大學,320201,新聞學系,學士班(日間),11,12,23
,101,公立,一般大學,1,國立政治大學,320301,廣播電視學系,學士班(日間),6,8,14
,101,公立,一般大學,1,國立政治大學,320802,廣告學系,學士班(日間),5,19,24
,101,公立,一般大學,1,國立政治大學,340201,會計學系,學士班(日間),3,13,16
,101,公立,一般大學,1,國立政治大學,340301,企業管理學系,學士班(日間),10,15,25
,101,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,學士班(日間),10,6,16
,101,公立,一般大學,1,國立政治大學,340504,財務管理學系,學士班(日間),6,3,9
,101,公立,一般大學,1,國立政治大學,340505,金融學系,學士班(日間),9,7,16
,101,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,學士班(日間),5,6,11
,101,公立,一般大學,1,國立政治大學,340701,財政學系,學士班(日間),3,8,11
,101,公立,一般大學,1,國立政治大學,380101,法律學系,學士班(日間),19,10,29
,101,公立,一般大學,1,國立政治大學,460102,應用數學系,學士班(日間),15,2,17
,101,公立,一般大學,1,國立政治大學,460201,統計學系,學士班(日間),8,2,10
,101,公立,一般大學,1,國立政治大學,480109,資訊管理學系,學士班(日間),8,6,14
,101,公立,一般大學,1,國立政治大學,520116,資訊科學系,學士班(日間),10,0,10
,101,公立,一般大學,2,國立清華大學,220201,中國文學系,學士班(日間),4,10,14
,101,公立,一般大學,2,國立清華大學,220301,外國語文學系,學士班(日間),7,13,20
,101,公立,一般大學,2,國立清華大學,229999,人文社會學院學士班,學士班(日間),6,8,14
,101,公立,一般大學,2,國立清華大學,310101,經濟學系,學士班(日間),11,8,19
,101,公立,一般大學,2,國立清華大學,340501,計量財務金融學系,學士班(日間),2,2,4
,101,公立,一般大學,2,國立清華大學,349996,科技管理學院學士班,學士班(日間),2,3,5
,101,公立,一般大學,2,國立清華大學,420103,生命科學系,學士班(日間),10,1,11
,101,公立,一般大學,2,國立清華大學,429903,生命科學院學士班,學士班(日間),3,0,3
,101,公立,一般大學,2,國立清華大學,440101,化學系,學士班(日間),9,1,10
,101,公立,一般大學,2,國立清華大學,440301,物理學系,學士班(日間),19,1,20
,101,公立,一般大學,2,國立清華大學,449999,理學院學士班,學士班(日間),6,1,7
,101,公立,一般大學,2,國立清華大學,460101,數學系,學士班(日間),19,4,23
,101,公立,一般大學,2,國立清華大學,520101,電機工程學系,學士班(日間),18,0,18
,101,公立,一般大學,2,國立清華大學,520114,資訊工程學系,學士班(日間),19,2,21
,101,公立,一般大學,2,國立清華大學,520196,電機資訊學院學士班,學士班(日間),1,0,1
,101,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,學士班(日間),21,1,22
,101,公立,一般大學,2,國立清華大學,520401,化學工程學系,學士班(日間),9,1,10
,101,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,學士班(日間),31,5,36
