,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,僑生總計,男,女,港澳生總計,男,女
,101,公立,一般大學,1,國立政治大學,140101,教育學系,學士班(日間),11,2,9,2,0,2
,101,公立,一般大學,1,國立政治大學,140101,教育學系,碩士班(日間),1,0,1,1,0,1
,101,公立,一般大學,1,國立政治大學,140101,教育學系,博士班,1,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,140203,華語文教學碩士學位學程,碩士班(日間),6,1,5,0,0,0
,101,公立,一般大學,1,國立政治大學,140401,幼兒教育研究所,碩士班(日間),0,0,0,2,0,2
,101,公立,一般大學,1,國立政治大學,220201,中國文學系,學士班(日間),8,2,6,11,5,6
,101,公立,一般大學,1,國立政治大學,220201,中國文學系,碩士班(日間),2,1,1,3,3,0
,101,公立,一般大學,1,國立政治大學,220307,英國語文學系,學士班(日間),5,0,5,1,0,1
,101,公立,一般大學,1,國立政治大學,220320,日本語文學系,學士班(日間),3,1,2,4,2,2
,101,公立,一般大學,1,國立政治大學,220320,日本語文學系,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,1,國立政治大學,220322,阿拉伯語文學系,學士班(日間),1,1,0,0,0,0
,101,公立,一般大學,1,國立政治大學,220324,韓國語文學系,學士班(日間),4,0,4,3,0,3
,101,公立,一般大學,1,國立政治大學,220326,土耳其語文學系,學士班(日間),5,1,4,2,0,2
,101,公立,一般大學,1,國立政治大學,220327,歐洲語文學程,學士班(日間),6,2,4,3,1,2
,101,公立,一般大學,1,國立政治大學,220333,斯拉夫語文學系,學士班(日間),3,2,1,3,0,3
,101,公立,一般大學,1,國立政治大學,220801,宗教研究所,博士班,1,1,0,0,0,0
,101,公立,一般大學,1,國立政治大學,220901,歷史學系,學士班(日間),2,0,2,5,3,2
,101,公立,一般大學,1,國立政治大學,220901,歷史學系,碩士班(日間),1,1,0,2,1,1
,101,公立,一般大學,1,國立政治大學,220901,歷史學系,博士班,1,1,0,1,1,0
,101,公立,一般大學,1,國立政治大學,221101,哲學系,學士班(日間),5,4,1,6,3,3
,101,公立,一般大學,1,國立政治大學,221101,哲學系,碩士班(日間),1,0,1,2,2,0
,101,公立,一般大學,1,國立政治大學,221101,哲學系,博士班,1,1,0,0,0,0
,101,公立,一般大學,1,國立政治大學,310101,經濟學系,學士班(日間),3,2,1,0,0,0
,101,公立,一般大學,1,國立政治大學,310201,政治學系,學士班(日間),0,0,0,1,1,0
,101,公立,一般大學,1,國立政治大學,310201,政治學系,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,1,國立政治大學,310201,政治學系,博士班,1,1,0,0,0,0
,101,公立,一般大學,1,國立政治大學,310301,社會學系,學士班(日間),6,2,4,4,1,3
