,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,總計,男,女
,101,公立,一般大學,1,國立政治大學,220201,中國文學系,碩士班(日間),1,1,0
,101,公立,一般大學,1,國立政治大學,220201,中國文學系,博士班,2,0,2
,101,公立,一般大學,1,國立政治大學,220801,宗教研究所,碩士班(日間),1,0,1
,101,公立,一般大學,1,國立政治大學,221101,哲學系,碩士班(日間),1,0,1
,101,公立,一般大學,1,國立政治大學,310101,經濟學系,碩士班(日間),2,2,0
,101,公立,一般大學,1,國立政治大學,310101,經濟學系,博士班,1,1,0
,101,公立,一般大學,1,國立政治大學,310201,政治學系,碩士班(日間),1,1,0
,101,公立,一般大學,1,國立政治大學,310301,社會學系,碩士班(日間),2,1,1
,101,公立,一般大學,1,國立政治大學,310401,民族學系,碩士班(日間),1,1,0
,101,公立,一般大學,1,國立政治大學,310705,日本研究碩士學位學程,碩士班(日間),1,1,0
,101,公立,一般大學,1,國立政治大學,310811,地政學系,碩士班(日間),2,1,1
,101,公立,一般大學,1,國立政治大學,310905,外交學系,碩士班(日間),1,0,1
,101,公立,一般大學,1,國立政治大學,311002,國家發展研究所,碩士班(日間),1,1,0
,101,公立,一般大學,1,國立政治大學,311003,勞工研究所,碩士班(日間),1,1,0
,101,公立,一般大學,1,國立政治大學,320115,國際傳播英語碩士學位學程,碩士班(日間),1,0,1
,101,公立,一般大學,1,國立政治大學,320201,新聞學系,碩士班(日間),3,0,3
,101,公立,一般大學,1,國立政治大學,320201,新聞學系,博士班,2,0,2
,101,公立,一般大學,1,國立政治大學,320301,廣播電視學系,碩士班(日間),1,0,1
,101,公立,一般大學,1,國立政治大學,340201,會計學系,博士班,1,0,1
,101,公立,一般大學,1,國立政治大學,340301,企業管理學系,碩士班(日間),3,3,0
,101,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),2,0,2
,101,公立,一般大學,1,國立政治大學,340505,金融學系,碩士班(日間),3,1,2
,101,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,碩士班(日間),1,0,1
,101,公立,一般大學,1,國立政治大學,349901,科技管理研究所,碩士班(日間),3,2,1
,101,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),4,2,2
,101,公立,一般大學,1,國立政治大學,380101,法律學系,博士班,1,1,0
,101,公立,一般大學,1,國立政治大學,380204,法律科際整合研究所,碩士班(日間),1,1,0
,101,公立,一般大學,1,國立政治大學,520116,資訊科學系,碩士班(日間),1,1,0
,101,公立,一般大學,1,國立政治大學,760301,社會工作研究所,碩士班(日間),1,0,1
,101,公立,一般大學,2,國立清華大學,220101,臺灣文學研究所,碩士班(日間),1,0,1
,101,公立,一般大學,2,國立清華大學,220201,中國文學系,碩士班(日間),1,0,1
,101,公立,一般大學,2,國立清華大學,220901,歷史研究所,碩士班(日間),1,1,0
,101,公立,一般大學,2,國立清華大學,220901,歷史研究所,博士班,1,1,0
,101,公立,一般大學,2,國立清華大學,310301,社會學研究所,碩士班(日間),1,0,1
,101,公立,一般大學,2,國立清華大學,340501,計量財務金融學系,碩士班(日間),4,2,2
,101,公立,一般大學,2,國立清華大學,349901,科技管理研究所,碩士班(日間),1,1,0
,101,公立,一般大學,2,國立清華大學,380203,科技法律研究所,碩士班(日間),1,1,0
,101,公立,一般大學,2,國立清華大學,429903,生命科學院不分系招生,碩士班(日間),2,0,2
,101,公立,一般大學,2,國立清華大學,440101,化學系,碩士班(日間),1,1,0
,101,公立,一般大學,2,國立清華大學,440301,物理學系,碩士班(日間),2,2,0
,101,公立,一般大學,2,國立清華大學,480401,資訊系統與應用研究所,碩士班(日間),2,2,0
,101,公立,一般大學,2,國立清華大學,520101,電機工程學系,碩士班(日間),3,3,0
,101,公立,一般大學,2,國立清華大學,520103,電子工程研究所,碩士班(日間),2,2,0
,101,公立,一般大學,2,國立清華大學,520106,光電工程研究所,碩士班(日間),1,1,0
,101,公立,一般大學,2,國立清華大學,520114,資訊工程學系,碩士班(日間),6,4,2
,101,公立,一般大學,2,國立清華大學,520126,通訊工程研究所,碩士班(日間),2,1,1
,101,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,碩士班(日間),3,2,1
,101,公立,一般大學,2,國立清華大學,520401,化學工程學系,碩士班(日間),1,1,0
,101,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),1,1,0
,101,公立,一般大學,2,國立清華大學,520518,奈米工程與微系統研究所,碩士班(日間),1,0,1
,101,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系工程管理組,碩士班(日間),1,1,0
,101,公立,一般大學,2,國立清華大學,521202,核子工程與科學研究所,碩士班(日間),2,2,0
,101,公立,一般大學,3,國立臺灣大學,210501,戲劇學系,碩士班(日間),1,0,1
,101,公立,一般大學,3,國立臺灣大學,220101,臺灣文學研究所,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,220201,中國文學系,碩士班(日間),4,1,3
,101,公立,一般大學,3,國立臺灣大學,220301,外國語文學系,碩士班(日間),1,0,1
,101,公立,一般大學,3,國立臺灣大學,220901,歷史學系,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,221101,哲學系,碩士班(日間),2,1,1
,101,公立,一般大學,3,國立臺灣大學,221101,哲學系,博士班,1,0,1
,101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,碩士班(日間),3,1,2
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系,碩士班(日間),3,2,1
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系,博士班,1,1,0
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系,碩士班(日間),2,2,0
