,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,系所名稱,學制,校際選課人次
,101,1,公立,一般大學,1,國立政治大學,教育學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,教育學系,碩士班(日間),3
,101,1,公立,一般大學,1,國立政治大學,教育學系,博士班,2
,101,1,公立,一般大學,1,國立政治大學,華語文教學碩士學位學程,碩士班(日間),5
,101,1,公立,一般大學,1,國立政治大學,華語文教學博士學位學程,博士班,1
,101,1,公立,一般大學,1,國立政治大學,幼兒教育研究所,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,中國文學系,碩士班(日間),14
,101,1,公立,一般大學,1,國立政治大學,中國文學系,博士班,5
,101,1,公立,一般大學,1,國立政治大學,英國語文學系,學士班(日間),3
,101,1,公立,一般大學,1,國立政治大學,英國語文學系,碩士班(日間),7
,101,1,公立,一般大學,1,國立政治大學,英國語文學系,博士班,2
,101,1,公立,一般大學,1,國立政治大學,阿拉伯語文學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,韓國語文學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,語言學研究所,博士班,1
,101,1,公立,一般大學,1,國立政治大學,宗教研究所,碩士班(日間),2
,101,1,公立,一般大學,1,國立政治大學,宗教研究所,博士班,5
,101,1,公立,一般大學,1,國立政治大學,歷史學系,碩士班(日間),7
,101,1,公立,一般大學,1,國立政治大學,歷史學系,博士班,4
,101,1,公立,一般大學,1,國立政治大學,台灣史研究所,碩士班(日間),6
,101,1,公立,一般大學,1,國立政治大學,台灣史研究所,博士班,1
,101,1,公立,一般大學,1,國立政治大學,哲學系,碩士班(日間),6
,101,1,公立,一般大學,1,國立政治大學,哲學系,博士班,2
,101,1,公立,一般大學,1,國立政治大學,政治學系,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,政治學系,博士班,1
,101,1,公立,一般大學,1,國立政治大學,社會學系,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,心理學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,心理學系,碩士班(日間),4
,101,1,公立,一般大學,1,國立政治大學,輔導與諮商碩士學位學程,碩士班(日間),2
,101,1,公立,一般大學,1,國立政治大學,東亞研究所,碩士班(日間),3
,101,1,公立,一般大學,1,國立政治大學,東亞研究所,博士班,1
,101,1,公立,一般大學,1,國立政治大學,公共行政學系,博士班,2
,101,1,公立,一般大學,1,國立政治大學,地政學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,地政學系,博士班,1
,101,1,公立,一般大學,1,國立政治大學,新聞學系,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,新聞學系,博士班,1
,101,1,公立,一般大學,1,國立政治大學,廣播電視學系,學士班(日間),2
,101,1,公立,一般大學,1,國立政治大學,廣播電視學系,碩士班(日間),5
,101,1,公立,一般大學,1,國立政治大學,科技管理研究所,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,法律學系,碩士班(日間),1
