,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,系所名稱,學制,輔系人次
,101,1,公立,一般大學,1,國立政治大學,教育學系,學士班(日間),157
,101,1,公立,一般大學,1,國立政治大學,中國文學系,學士班(日間),135
,101,1,公立,一般大學,1,國立政治大學,英國語文學系,學士班(日間),109
,101,1,公立,一般大學,1,國立政治大學,日本語文學系,學士班(日間),55
,101,1,公立,一般大學,1,國立政治大學,阿拉伯語文學系,學士班(日間),54
,101,1,公立,一般大學,1,國立政治大學,韓國語文學系,學士班(日間),85
,101,1,公立,一般大學,1,國立政治大學,土耳其語文學系,學士班(日間),64
,101,1,公立,一般大學,1,國立政治大學,歐洲語文學系,學士班(日間),150
,101,1,公立,一般大學,1,國立政治大學,斯拉夫語文學系,學士班(日間),69
,101,1,公立,一般大學,1,國立政治大學,歷史學系,學士班(日間),105
,101,1,公立,一般大學,1,國立政治大學,哲學系,學士班(日間),46
,101,1,公立,一般大學,1,國立政治大學,經濟學系,學士班(日間),94
,101,1,公立,一般大學,1,國立政治大學,政治學系,學士班(日間),79
,101,1,公立,一般大學,1,國立政治大學,社會學系,學士班(日間),55
,101,1,公立,一般大學,1,國立政治大學,民族學系,學士班(日間),56
,101,1,公立,一般大學,1,國立政治大學,心理學系,學士班(日間),39
,101,1,公立,一般大學,1,國立政治大學,公共行政學系,學士班(日間),59
,101,1,公立,一般大學,1,國立政治大學,地政學系,學士班(日間),122
,101,1,公立,一般大學,1,國立政治大學,外交學系,學士班(日間),121
,101,1,公立,一般大學,1,國立政治大學,傳播學士學位學程,學士班(日間),35
,101,1,公立,一般大學,1,國立政治大學,新聞學系,學士班(日間),125
,101,1,公立,一般大學,1,國立政治大學,廣播電視學系,學士班(日間),47
,101,1,公立,一般大學,1,國立政治大學,廣告學系,學士班(日間),50
,101,1,公立,一般大學,1,國立政治大學,會計學系,學士班(日間),74
,101,1,公立,一般大學,1,國立政治大學,企業管理學系,學士班(日間),75
,101,1,公立,一般大學,1,國立政治大學,國際經營與貿易學系,學士班(日間),57
,101,1,公立,一般大學,1,國立政治大學,財務管理學系,學士班(日間),42
,101,1,公立,一般大學,1,國立政治大學,金融學系,學士班(日間),47
,101,1,公立,一般大學,1,國立政治大學,風險管理與保險學系,學士班(日間),40
,101,1,公立,一般大學,1,國立政治大學,財政學系,學士班(日間),114
,101,1,公立,一般大學,1,國立政治大學,法律學系,學士班(日間),186
,101,1,公立,一般大學,1,國立政治大學,應用數學系,學士班(日間),15
,101,1,公立,一般大學,1,國立政治大學,統計學系,學士班(日間),28
,101,1,公立,一般大學,1,國立政治大學,資訊管理學系,學士班(日間),52
,101,1,公立,一般大學,1,國立政治大學,資訊科學系,學士班(日間),19
,101,1,公立,一般大學,2,國立清華大學,中國文學系,學士班(日間),13
,101,1,公立,一般大學,2,國立清華大學,外國語文學系,學士班(日間),25
,101,1,公立,一般大學,2,國立清華大學,人文社會學院學士班,學士班(日間),13
,101,1,公立,一般大學,2,國立清華大學,經濟學系,學士班(日間),51
,101,1,公立,一般大學,2,國立清華大學,計量財務金融學系,學士班(日間),43
,101,1,公立,一般大學,2,國立清華大學,科技管理學院學士班,學士班(日間),5
,101,1,公立,一般大學,2,國立清華大學,生命科學系,學士班(日間),15
,101,1,公立,一般大學,2,國立清華大學,生命科學院學士班,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,化學系,學士班(日間),7
,101,1,公立,一般大學,2,國立清華大學,物理學系,學士班(日間),13
,101,1,公立,一般大學,2,國立清華大學,數學系,學士班(日間),39
,101,1,公立,一般大學,2,國立清華大學,電機工程學系,學士班(日間),13
,101,1,公立,一般大學,2,國立清華大學,資訊工程學系,學士班(日間),14
,101,1,公立,一般大學,2,國立清華大學,電機資訊學院學士班,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,動力機械工程學系,學士班(日間),12
,101,1,公立,一般大學,2,國立清華大學,化學工程學系,學士班(日間),5
,101,1,公立,一般大學,2,國立清華大學,材料科學工程學系,學士班(日間),14
,101,1,公立,一般大學,2,國立清華大學,工業工程與工程管理學系,學士班(日間),27
,101,1,公立,一般大學,2,國立清華大學,生醫工程與環境科學系,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,工程與系統科學系,學士班(日間),13
,101,1,公立,一般大學,3,國立臺灣大學,戲劇學系,學士班(日間),18
,101,1,公立,一般大學,3,國立臺灣大學,中國文學系,學士班(日間),33
,101,1,公立,一般大學,3,國立臺灣大學,外國語文學系,學士班(日間),93
,101,1,公立,一般大學,3,國立臺灣大學,日本語文學系,學士班(日間),43
,101,1,公立,一般大學,3,國立臺灣大學,歷史學系,學士班(日間),43
,101,1,公立,一般大學,3,國立臺灣大學,人類學系,學士班(日間),21
