學年度,設立別 ,學校類別,學校代碼,學校名稱,合作國別（地區）,建立跨國(境)學位合作(雙聯學制)學校數
101,公立,一般大學,1,國立政治大學,法國,3
101,公立,一般大學,1,國立政治大學,德意志聯邦共和國,1
101,公立,一般大學,1,國立政治大學,澳大利亞,2
101,公立,一般大學,1,國立政治大學,美國,9
101,公立,一般大學,2,國立清華大學,美國,1
101,公立,一般大學,2,國立清華大學,大陸地區,7
101,公立,一般大學,2,國立清華大學,瑞典王國,1
101,公立,一般大學,2,國立清華大學,法國,1
101,公立,一般大學,3,國立臺灣大學,芬蘭共和國,1
101,公立,一般大學,3,國立臺灣大學,比利時王國,1
101,公立,一般大學,3,國立臺灣大學,香港,2
101,公立,一般大學,3,國立臺灣大學,捷克共和國,1
101,公立,一般大學,3,國立臺灣大學,俄羅斯聯邦,1
101,公立,一般大學,3,國立臺灣大學,越南社會主義共和國,1
101,公立,一般大學,3,國立臺灣大學,法國,10
101,公立,一般大學,3,國立臺灣大學,德意志聯邦共和國,1
101,公立,一般大學,3,國立臺灣大學,馬來西亞,1
101,公立,一般大學,3,國立臺灣大學,荷蘭王國,2
101,公立,一般大學,3,國立臺灣大學,奧地利共和國,1
101,公立,一般大學,3,國立臺灣大學,大陸地區,2
101,公立,一般大學,3,國立臺灣大學,美國,8
101,公立,一般大學,3,國立臺灣大學,日本,4
101,公立,一般大學,3,國立臺灣大學,大韓民國(南韓),1
101,公立,一般大學,4,國立臺灣師範大學,法國,1
101,公立,一般大學,4,國立臺灣師範大學,美國,1
101,公立,一般大學,5,國立成功大學,義大利共和國,1
101,公立,一般大學,5,國立成功大學,法國,2
101,公立,一般大學,5,國立成功大學,德意志聯邦共和國,1
101,公立,一般大學,5,國立成功大學,馬來西亞,1
101,公立,一般大學,5,國立成功大學,英國,4
101,公立,一般大學,5,國立成功大學,美國,8
101,公立,一般大學,5,國立成功大學,大韓民國(南韓),1
101,公立,一般大學,6,國立中興大學,捷克共和國,1
101,公立,一般大學,6,國立中興大學,法國,2
101,公立,一般大學,6,國立中興大學,澳大利亞,1
101,公立,一般大學,6,國立中興大學,美國,3
101,公立,一般大學,6,國立中興大學,日本,2
101,公立,一般大學,7,國立交通大學,比利時王國,1
101,公立,一般大學,7,國立交通大學,加拿大,1
101,公立,一般大學,7,國立交通大學,法國,1
101,公立,一般大學,7,國立交通大學,德意志聯邦共和國,1
101,公立,一般大學,7,國立交通大學,馬來西亞,1
101,公立,一般大學,7,國立交通大學,瑞典王國,1
101,公立,一般大學,7,國立交通大學,印度尼西亞共和國,1
101,公立,一般大學,7,國立交通大學,大陸地區,3
101,公立,一般大學,7,國立交通大學,美國,3
101,公立,一般大學,9,國立中山大學,美國,1
101,公立,一般大學,9,國立中山大學,法國,1
101,公立,一般大學,9,國立中山大學,印度尼西亞共和國,1
101,公立,一般大學,12,國立臺灣海洋大學,丹麥王國,1
101,公立,一般大學,12,國立臺灣海洋大學,法國,1
101,公立,一般大學,12,國立臺灣海洋大學,泰王國(泰國),1
101,公立,一般大學,12,國立臺灣海洋大學,印度尼西亞共和國,1
101,公立,一般大學,12,國立臺灣海洋大學,大韓民國(南韓),1
101,公立,一般大學,13,國立中正大學,大陸地區,1
101,公立,一般大學,13,國立中正大學,美國,2
101,公立,一般大學,14,國立高雄師範大學,大韓民國(南韓),1
101,公立,一般大學,15,國立彰化師範大學,美國,1
101,公立,一般大學,16,國立陽明大學,法國,1
101,公立,一般大學,16,國立陽明大學,英國,1
101,公立,一般大學,17,國立臺北大學,法國,2
101,公立,一般大學,17,國立臺北大學,英國,2
101,公立,一般大學,17,國立臺北大學,瑞士聯邦,3
101,公立,一般大學,17,國立臺北大學,美國,7
101,公立,一般大學,19,國立高雄大學,澳大利亞,1
101,公立,一般大學,19,國立高雄大學,英國,1
101,公立,一般大學,19,國立高雄大學,美國,1
101,公立,一般大學,20,國立東華大學,法國,1
101,公立,一般大學,20,國立東華大學,美國,2
101,公立,一般大學,20,國立東華大學,大韓民國(南韓),1
101,公立,一般大學,30,國立臺東大學,日本,2
101,公立,一般大學,32,國立聯合大學,芬蘭共和國,1
101,公立,一般大學,32,國立聯合大學,蒙古國,1
101,公立,一般大學,36,國立臺南大學,澳大利亞,2
101,公立,一般大學,38,國立新竹教育大學,美國,2
101,公立,一般大學,39,國立臺中教育大學,美國,1
101,公立,一般大學,40,國立屏東教育大學,日本,1
101,公立,一般大學,3002,臺北市立大學,美國,2
101,公立,技專校院,22,國立臺灣科技大學,比利時王國,1
101,公立,技專校院,22,國立臺灣科技大學,印度尼西亞共和國,6
101,公立,技專校院,22,國立臺灣科技大學,美國,1
101,公立,技專校院,23,國立雲林科技大學,大韓民國(南韓),1
101,公立,技專校院,23,國立雲林科技大學,馬來西亞,1
101,公立,技專校院,24,國立屏東科技大學,印度尼西亞共和國,1
101,公立,技專校院,25,國立臺北科技大學,美國,1
101,公立,技專校院,26,國立高雄第一科技大學,日本,6
101,公立,技專校院,26,國立高雄第一科技大學,美國,2
101,公立,技專校院,26,國立高雄第一科技大學,加拿大,1
101,公立,技專校院,27,國立高雄應用科技大學,美國,1
101,公立,技專校院,46,國立臺北護理健康大學,澳大利亞,1
101,公立,技專校院,47,國立高雄餐旅大學,日本,1
101,公立,技專校院,47,國立高雄餐旅大學,英國,1
101,公立,技專校院,47,國立高雄餐旅大學,加拿大,1
101,公立,技專校院,47,國立高雄餐旅大學,阿富汗伊斯蘭國,1
101,私立,一般大學,1001,東海大學,美國,3
101,私立,一般大學,1001,東海大學,澳大利亞,2
101,私立,一般大學,1001,東海大學,馬來西亞,1
101,私立,一般大學,1002,輔仁大學,美國,2
101,私立,一般大學,1002,輔仁大學,澳大利亞,1
101,私立,一般大學,1003,東吳大學,美國,4
101,私立,一般大學,1003,東吳大學,法國,1
101,私立,一般大學,1003,東吳大學,日本,1
101,私立,一般大學,1004,中原大學,菲律賓共和國,1
101,私立,一般大學,1004,中原大學,英國,1
101,私立,一般大學,1004,中原大學,印度尼西亞共和國,1
101,私立,一般大學,1004,中原大學,美國,5
101,私立,一般大學,1004,中原大學,日本,1
101,私立,一般大學,1005,淡江大學,澳大利亞,3
101,私立,一般大學,1005,淡江大學,馬來西亞,4
101,私立,一般大學,1005,淡江大學,法國,2
101,私立,一般大學,1005,淡江大學,日本,3
101,私立,一般大學,1005,淡江大學,美國,3
101,私立,一般大學,1006,中國文化大學,馬來西亞,4
101,私立,一般大學,1006,中國文化大學,美國,3
101,私立,一般大學,1006,中國文化大學,大韓民國(南韓),5
101,私立,一般大學,1006,中國文化大學,日本,1
101,私立,一般大學,1007,逢甲大學,俄羅斯聯邦,1
101,私立,一般大學,1007,逢甲大學,法國,2
101,私立,一般大學,1007,逢甲大學,越南社會主義共和國,2
101,私立,一般大學,1007,逢甲大學,馬來西亞,3
101,私立,一般大學,1007,逢甲大學,英國,3
101,私立,一般大學,1007,逢甲大學,澳大利亞,1
101,私立,一般大學,1007,逢甲大學,大陸地區,8
101,私立,一般大學,1007,逢甲大學,美國,7
101,私立,一般大學,1008,靜宜大學,大陸地區,1
101,私立,一般大學,1008,靜宜大學,美國,1
101,私立,一般大學,1008,靜宜大學,大韓民國(南韓),1
101,私立,一般大學,1010,元智大學,美國,6
101,私立,一般大學,1010,元智大學,荷蘭王國,1
101,私立,一般大學,1010,元智大學,澳大利亞,2
101,私立,一般大學,1010,元智大學,瑞典王國,1
101,私立,一般大學,1010,元智大學,馬來西亞,3
101,私立,一般大學,1010,元智大學,越南社會主義共和國,2
101,私立,一般大學,1010,元智大學,大陸地區,1
101,私立,一般大學,1011,中華大學,斯洛伐克共和國,1
101,私立,一般大學,1012,大葉大學,法國,1
101,私立,一般大學,1012,大葉大學,美國,2
101,私立,一般大學,1012,大葉大學,日本,1
101,私立,一般大學,1013,華梵大學,英國,1
101,私立,一般大學,1014,義守大學,澳大利亞,1
101,私立,一般大學,1014,義守大學,大陸地區,3
101,私立,一般大學,1014,義守大學,美國,4
101,私立,一般大學,1014,義守大學,越南社會主義共和國,2
101,私立,一般大學,1014,義守大學,馬來西亞,6
101,私立,一般大學,1014,義守大學,英國,2
101,私立,一般大學,1015,世新大學,美國,1
101,私立,一般大學,1017,實踐大學,芬蘭共和國,1
101,私立,一般大學,1017,實踐大學,德意志聯邦共和國,2
101,私立,一般大學,1017,實踐大學,英國,2
101,私立,一般大學,1017,實踐大學,美國,1
101,私立,一般大學,1019,高雄醫學大學,瑞典王國,1
101,私立,一般大學,1019,高雄醫學大學,匈牙利共和國,1
101,私立,一般大學,1020,南華大學,美國,2
101,私立,一般大學,1020,南華大學,澳大利亞,1
101,私立,一般大學,1022,大同大學,美國,1
101,私立,一般大學,1022,大同大學,澳大利亞,1
101,私立,一般大學,1022,大同大學,法國,1
101,私立,一般大學,1028,臺北醫學大學,英國,1
101,私立,一般大學,1035,中國醫藥大學,美國,2
101,私立,一般大學,1039,玄奘大學,馬來西亞,3
101,私立,一般大學,1039,玄奘大學,美國,1
101,私立,一般大學,1039,玄奘大學,日本,1
101,私立,一般大學,1048,亞洲大學,蒙古國,1
101,私立,一般大學,1048,亞洲大學,越南社會主義共和國,1
101,私立,一般大學,1048,亞洲大學,馬來西亞,1
101,私立,一般大學,1049,開南大學,日本,2
101,私立,一般大學,1058,明道大學,日本,1
101,私立,技專校院,1018,朝陽科技大學,馬來西亞,5
101,私立,技專校院,1018,朝陽科技大學,越南社會主義共和國,2
101,私立,技專校院,1018,朝陽科技大學,英國,2
101,私立,技專校院,1018,朝陽科技大學,日本,2
101,私立,技專校院,1018,朝陽科技大學,大韓民國(南韓),1
101,私立,技專校院,1023,南臺科技大學,法國,1
101,私立,技專校院,1023,南臺科技大學,奧地利共和國,1
101,私立,技專校院,1023,南臺科技大學,英國,4
101,私立,技專校院,1023,南臺科技大學,美國,1
101,私立,技專校院,1023,南臺科技大學,日本,4
101,私立,技專校院,1025,嘉南藥理大學,泰王國(泰國),4
101,私立,技專校院,1036,健行科技大學,美國,1
101,私立,技專校院,1040,建國科技大學,大韓民國(南韓),2
101,私立,技專校院,1043,大仁科技大學,大韓民國(南韓),1
101,私立,技專校院,1046,中國科技大學,美國,1
101,私立,技專校院,1051,台南應用科技大學,蒙古國,1
101,私立,技專校院,1051,台南應用科技大學,英國,1
101,私立,技專校院,1054,景文科技大學,紐西蘭,1
101,私立,技專校院,1054,景文科技大學,英國,1
101,私立,技專校院,1063,育達科技大學,越南社會主義共和國,1
101,私立,技專校院,1072,大華科技大學,日本,1
101,私立,技專校院,1164,致理技術學院,愛爾蘭共和國,1
102,公立,一般大學,1,國立政治大學,美國,8
102,公立,一般大學,1,國立政治大學,紐西蘭,2
102,公立,一般大學,1,國立政治大學,德意志聯邦共和國,2
102,公立,一般大學,1,國立政治大學,法國,3
102,公立,一般大學,2,國立清華大學,以色列,1
102,公立,一般大學,2,國立清華大學,加拿大,1
102,公立,一般大學,2,國立清華大學,法國,2
102,公立,一般大學,2,國立清華大學,印度共和國,1
102,公立,一般大學,2,國立清華大學,大陸地區,4
102,公立,一般大學,3,國立臺灣大學,大韓民國(南韓),1
102,公立,一般大學,3,國立臺灣大學,日本,3
102,公立,一般大學,3,國立臺灣大學,美國,10
102,公立,一般大學,3,國立臺灣大學,荷蘭王國,2
102,公立,一般大學,3,國立臺灣大學,奧地利共和國,1
102,公立,一般大學,3,國立臺灣大學,大陸地區,2
102,公立,一般大學,3,國立臺灣大學,香港,2
102,公立,一般大學,3,國立臺灣大學,俄羅斯聯邦,1
102,公立,一般大學,3,國立臺灣大學,捷克共和國,1
102,公立,一般大學,3,國立臺灣大學,馬來西亞,1
102,公立,一般大學,3,國立臺灣大學,德意志聯邦共和國,1
