,學年度,設立別 ,學校類別,學校代碼,學校名稱,縣市別,校舍總樓地板面積,校地面積總計,可使用校地,校舍基地,露天運動場地,其他校地,無法使用校地
,101,公立,一般大學,1,國立政治大學,臺北市,391252,1033971,1015470,80673,68704,866093,18501
,101,公立,一般大學,2,國立清華大學,臺北市,1475,1976,1976,1169,0,807,0
,101,公立,一般大學,2,國立清華大學,宜蘭縣,0,221565,221565,0,0,221565,0
,101,公立,一般大學,2,國立清華大學,新竹縣,0,101134,0,0,0,0,101134
,101,公立,一般大學,2,國立清華大學,新竹市,504953,950364,950364,196470,32300,721594,0
,101,公立,一般大學,3,國立臺灣大學,臺北市,1214079,1355368,1355368,435513,25429,894426,0
,101,公立,一般大學,4,國立臺灣師範大學,新北市,67402,252631,252631,25841,38552,188238,0
,101,公立,一般大學,4,國立臺灣師範大學,臺北市,343244,220719,220560,113106,55314,52140,159
,101,公立,一般大學,5,國立成功大學,臺南市,856169,1865573,1865573,238668,45345,1581560,0
,101,公立,一般大學,6,國立中興大學,臺中市,482429,549595,549595,100802,30909,417884,0
,101,公立,一般大學,7,國立交通大學,臺北市,3477,1793,1793,1172,0,621,0
,101,公立,一般大學,7,國立交通大學,臺南市,18813,82000,82000,2848,0,79152,0
,101,公立,一般大學,7,國立交通大學,新竹縣,10338,25001,25001,3477,0,21524,0
,101,公立,一般大學,7,國立交通大學,新竹市,489107,770114,770114,95439,118090,556585,0
,101,公立,一般大學,8,國立中央大學,桃園縣,409963,614853,614853,100624,22143,492086,0
,101,公立,一般大學,8,國立中央大學,南投縣,496,930,930,195,0,735,0
,101,公立,一般大學,8,國立中央大學,嘉義縣,165,991,991,134,0,857,0
,101,公立,一般大學,9,國立中山大學,高雄市,321068,734097,289469,64530,70000,154939,444628
,101,公立,一般大學,12,國立臺灣海洋大學,基隆市,206877,329858,243436,53900,15383,174153,86422
,101,公立,一般大學,13,國立中正大學,臺北市,373,33,33,33,0,0,0
,101,公立,一般大學,13,國立中正大學,嘉義縣,470343,1305956,1305956,116216,12738,1177002,0
,101,公立,一般大學,13,國立中正大學,嘉義市,2352,1300,1300,618,0,682,0
,101,公立,一般大學,14,國立高雄師範大學,高雄市,256607,641543,641543,46408,61620,533515,0
,101,公立,一般大學,15,國立彰化師範大學,臺中市,577,517,517,288,0,229,0
,101,公立,一般大學,15,國立彰化師範大學,彰化縣,221704,516186,516186,45863,21281,449042,0
,101,公立,一般大學,16,國立陽明大學,臺北市,178908,498235,498235,45301,23508,429426,0
,101,公立,一般大學,17,國立臺北大學,新北市,200090,545323,545323,58951,23158,463214,0
,101,公立,一般大學,17,國立臺北大學,臺北市,70287,46274,46274,38169,4074,4031,0
,101,公立,一般大學,18,國立嘉義大學,嘉義縣,102258,203319,203319,24913,32900,145506,0
,101,公立,一般大學,18,國立嘉義大學,嘉義市,282351,1342134,1237508,83169,46997,1107342,104626
,101,公立,一般大學,19,國立高雄大學,高雄市,195428,825197,825197,68726,30500,725971,0
,101,公立,一般大學,20,國立東華大學,臺北市,315,32,32,32,0,0,0
,101,公立,一般大學,20,國立東華大學,花蓮縣,410454,2588801,2584436,391694,98680,2094062,4365
,101,公立,一般大學,21,國立暨南國際大學,南投縣,212047,1486313,1486313,63226,53400,1369687,0
,101,公立,一般大學,28,國立臺北藝術大學,臺北市,106074,370501,370501,37746,15136,317619,0
,101,公立,一般大學,29,國立臺灣藝術大學,新北市,71073,97459,78959,19703,10350,48906,18500
