,學年度,設立別 ,學校類別,學校代碼,學校名稱,日間學制學生數,日間專任教師（含助教）,生師比（日間學制學生數/日間學制專任教師(含助教)）
,101,公立,一般大學,1,國立政治大學,14392,732,19.66
,101,公立,一般大學,2,國立清華大學,12157,651,18.67
,101,公立,一般大學,3,國立臺灣大學,31545,2020,15.62
,101,公立,一般大學,4,國立臺灣師範大學,13270,897,14.79
,101,公立,一般大學,5,國立成功大學,21112,1315,16.05
,101,公立,一般大學,6,國立中興大學,13140,777,16.91
,101,公立,一般大學,7,國立交通大學,12807,710,18.04
,101,公立,一般大學,8,國立中央大學,10838,659,16.45
,101,公立,一般大學,9,國立中山大學,8573,496,17.28
,101,公立,一般大學,12,國立臺灣海洋大學,7111,424,16.77
,101,公立,一般大學,13,國立中正大學,10348,545,18.99
,101,公立,一般大學,14,國立高雄師範大學,5233,309,16.94
,101,公立,一般大學,15,國立彰化師範大學,6804,390,17.45
,101,公立,一般大學,16,國立陽明大學,4454,407,10.94
,101,公立,一般大學,17,國立臺北大學,7150,361,19.81
,101,公立,一般大學,18,國立嘉義大學,9744,527,18.49
,101,公立,一般大學,19,國立高雄大學,4826,227,21.26
,101,公立,一般大學,20,國立東華大學,9731,536,18.15
,101,公立,一般大學,21,國立暨南國際大學,5497,274,20.06
,101,公立,一般大學,28,國立臺北藝術大學,2551,186,13.72
,101,公立,一般大學,29,國立臺灣藝術大學,3078,172,17.9
,101,公立,一般大學,30,國立臺東大學,3813,176,21.66
,101,公立,一般大學,31,國立宜蘭大學,4740,239,19.83
,101,公立,一般大學,32,國立聯合大學,6601,291,22.68
,101,公立,一般大學,35,國立臺南藝術大學,1486,103,14.43
,101,公立,一般大學,36,國立臺南大學,5201,243,21.4
,101,公立,一般大學,37,國立臺北教育大學,4450,222,20.05
,101,公立,一般大學,38,國立新竹教育大學,3334,186,17.92
,101,公立,一般大學,39,國立臺中教育大學,4263,204,20.9
,101,公立,一般大學,40,國立屏東教育大學,4075,199,20.48
,101,公立,一般大學,44,國立體育大學,1971,96,20.53
,101,公立,一般大學,48,國立金門大學,2880,119,24.2
,101,公立,一般大學,49,國立臺灣體育運動大學,2706,93,29.1
,101,公立,一般大學,3001,臺北市立教育大學,3953,219,18.05
,101,公立,一般大學,3102,臺北市立體育學院,2170,117,18.55
,101,公立,技專校院,22,國立臺灣科技大學,9577,494,19.39
,101,公立,技專校院,23,國立雲林科技大學,8751,365,23.98
,101,公立,技專校院,24,國立屏東科技大學,9505,397,23.94
,101,公立,技專校院,25,國立臺北科技大學,9016,463,19.47
,101,公立,技專校院,26,國立高雄第一科技大學,6829,255,26.78
,101,公立,技專校院,27,國立高雄應用科技大學,9040,400,22.6
,101,公立,技專校院,33,國立虎尾科技大學,8799,334,26.34
,101,公立,技專校院,34,國立高雄海洋科技大學,5833,236,24.72
,101,公立,技專校院,42,國立澎湖科技大學,2661,110,24.19
,101,公立,技專校院,43,國立勤益科技大學,7241,300,24.14
,101,公立,技專校院,46,國立臺北護理健康大學,3457,167,20.7
,101,公立,技專校院,47,國立高雄餐旅大學,3575,150,23.83
,101,公立,技專校院,50,國立臺中科技大學,10036,412,24.36
,101,公立,技專校院,136,國立屏東商業技術學院,3225,155,20.81
,101,公立,技專校院,142,國立臺北商業技術學院,4333,194,22.34
,101,公立,技專校院,144,國立臺灣戲曲學院,493,32,15.41
,101,公立,技專校院,221,國立臺南護理專科學校,1768,81,21.83
,101,公立,技專校院,222,國立臺東專科學校,883,66,13.38
,101,私立,一般大學,1001,東海大學,15608,551,28.33
,101,私立,一般大學,1002,輔仁大學,20471,713,28.71
,101,私立,一般大學,1003,東吳大學,13146,450,29.21
,101,私立,一般大學,1004,中原大學,14973,507,29.53
,101,私立,一般大學,1005,淡江大學,24031,829,28.99
,101,私立,一般大學,1006,中國文化大學,23027,738,31.2
,101,私立,一般大學,1007,逢甲大學,18718,641,29.2
,101,私立,一般大學,1008,靜宜大學,11854,379,31.28
,101,私立,一般大學,1009,長庚大學,7049,604,11.67
,101,私立,一般大學,1010,元智大學,8746,328,26.66
,101,私立,一般大學,1011,中華大學,7810,298,26.21
,101,私立,一般大學,1012,大葉大學,8590,312,27.53
,101,私立,一般大學,1013,華梵大學,3360,136,24.71
,101,私立,一般大學,1014,義守大學,12850,530,24.25
,101,私立,一般大學,1015,世新大學,10444,319,32.74
,101,私立,一般大學,1016,銘傳大學,17845,619,28.83
,101,私立,一般大學,1017,實踐大學,12696,405,31.35
,101,私立,一般大學,1019,高雄醫學大學,6565,531,12.36
,101,私立,一般大學,1020,南華大學,4388,213,20.6
,101,私立,一般大學,1021,真理大學,8102,343,23.62
,101,私立,一般大學,1022,大同大學,4522,197,22.95
,101,私立,一般大學,1027,慈濟大學,3299,266,12.4
,101,私立,一般大學,1028,臺北醫學大學,5557,507,10.96
,101,私立,一般大學,1029,中山醫學大學,7253,450,16.12
,101,私立,一般大學,1033,長榮大學,9182,354,25.94
,101,私立,一般大學,1035,中國醫藥大學,7336,502,14.61
,101,私立,一般大學,1039,玄奘大學,4142,163,25.41
,101,私立,一般大學,1048,亞洲大學,10134,348,29.12
,101,私立,一般大學,1049,開南大學,8363,291,28.74
,101,私立,一般大學,1050,佛光大學,3129,148,21.14
,101,私立,一般大學,1058,明道大學,3611,186,19.41
,101,私立,一般大學,1059,康寧大學,1344,79,17.01
,101,私立,一般大學,1067,台灣首府大學,3803,154,24.69
,101,私立,一般大學,1125,興國管理學院,199,48,4.15
,101,私立,一般大學,1176,稻江科技暨管理學院,1613,99,16.29
,101,私立,一般大學,1195,馬偕醫學院,337,51,6.61
,101,私立,技專校院,1018,朝陽科技大學,12120,401,30.22
,101,私立,技專校院,1023,南臺科技大學,14395,584,24.65
,101,私立,技專校院,1024,崑山科技大學,9193,416,22.1
,101,私立,技專校院,1025,嘉南藥理大學,13059,516,25.31
,101,私立,技專校院,1026,樹德科技大學,8548,278,30.75
,101,私立,技專校院,1030,龍華科技大學,6698,256,26.16
,101,私立,技專校院,1031,輔英科技大學,8823,399,22.11
,101,私立,技專校院,1032,明新科技大學,9043,418,21.63
,101,私立,技專校院,1034,弘光科技大學,8232,355,23.19
,101,私立,技專校院,1036,健行科技大學,9228,349,26.44
,101,私立,技專校院,1037,正修科技大學,9682,440,22
,101,私立,技專校院,1038,萬能科技大學,5535,291,19.02
,101,私立,技專校院,1040,建國科技大學,7287,292,24.96
