,學校名稱,學校代碼,105 學年度專任教師數,104 學年度專任教師數,103 學年度專任教師數,102 學年度專任教師數,104 學年度專任教師數增減比率,103 學年度專任教師數增減比率,102 學年度專任教師數增減比率
,國立政治大學,1,731,744,756,724,-1.7%,-1.6%,4.4%
,國立清華大學,2,655,662,662,660,-1.1%,0.0%,0.3%
,國立臺灣大學,3,2056,2066,2057,2043,-0.5%,0.4%,0.7%
,國立臺灣師範大學,4,820,894,884,892,-8.3%,1.1%,-0.9%
,國立成功大學,5,1342,1347,1353,1338,-0.4%,-0.4%,1.1%
,國立中興大學,6,771,778,799,791,-0.9%,-2.6%,1.0%
,國立交通大學,7,729,720,714,720,1.3%,0.8%,-0.8%
,國立中央大學,8,655,663,662,668,-1.2%,0.2%,-0.9%
,國立中山大學,9,515,525,513,506,-1.9%,2.3%,1.4%
,國立臺灣海洋大學,12,415,410,426,426,1.2%,-3.8%,0.0%
,國立中正大學,13,536,543,546,549,-1.3%,-0.5%,-0.5%
,國立高雄師範大學,14,293,301,300,307,-2.7%,0.3%,-2.3%
,國立彰化師範大學,15,377,381,379,386,-1.0%,0.5%,-1.8%
,國立陽明大學,16,404,408,404,417,-1.0%,1.0%,-3.1%
,國立臺北大學,17,369,377,377,378,-2.1%,0.0%,-0.3%
,國立嘉義大學,18,519,524,491,518,-1.0%,6.7%,-5.2%
,國立高雄大學,19,236,232,237,228,1.7%,-2.1%,3.9%
,國立東華大學,20,492,509,525,545,-3.3%,-3.0%,-3.7%
,國立暨南國際大學,21,266,262,265,260,1.5%,-1.1%,1.9%
,國立臺北藝術大學,28,163,164,179,186,-0.6%,-8.4%,-3.8%
,國立臺灣藝術大學,29,160,165,166,171,-3.0%,-0.6%,-2.9%
,國立臺東大學,30,186,183,182,181,1.6%,0.5%,0.6%
,國立宜蘭大學,31,233,239,240,243,-2.5%,-0.4%,-1.2%
,國立聯合大學,32,292,295,293,295,-1.0%,0.7%,-0.7%
,國立臺南藝術大學,35,106,102,108,108,3.9%,-5.6%,0.0%
,國立臺南大學,36,242,242,245,244,0.0%,-1.2%,0.4%
,國立臺北教育大學,37,224,228,230,223,-1.8%,-0.9%,3.1%
,國立清華大學南大校區(原：國立新竹教育大學),38,179,176,173,180,1.7%,1.7%,-3.9%
,國立臺中教育大學,39,198,198,197,203,0.0%,0.5%,-3.0%
,國立體育大學,44,92,91,92,93,1.1%,-1.1%,-1.1%
,國立金門大學,48,145,140,138,131,3.6%,1.4%,5.3%
,國立臺灣體育運動大學,49,103,95,98,92,8.4%,-3.1%,6.5%
,國立屏東大學,52,341,350,346,346,-2.6%,1.2%,0.0%
,臺北市立大學,3002,329,337,336,345,-2.4%,0.3%,-2.6%
,國立臺灣科技大學,22,462,470,472,470,-1.7%,-0.4%,0.4%
,國立雲林科技大學,23,370,368,366,366,0.5%,0.5%,0.0%
,國立屏東科技大學,24,398,391,396,400,1.8%,-1.3%,-1.0%
,國立臺北科技大學,25,445,460,463,466,-3.3%,-0.6%,-0.6%
,國立高雄第一科技大學,26,266,261,264,256,1.9%,-1.1%,3.1%
,國立高雄應用科技大學,27,355,365,376,382,-2.7%,-2.9%,-1.6%
,國立虎尾科技大學,33,330,330,331,335,0.0%,-0.3%,-1.2%
,國立高雄海洋科技大學,34,234,226,233,231,3.5%,-3.0%,0.9%
,國立澎湖科技大學,42,123,119,118,121,3.4%,0.8%,-2.5%
,國立勤益科技大學,43,286,290,297,300,-1.4%,-2.4%,-1.0%
,國立臺北護理健康大學,46,171,167,166,164,2.4%,0.6%,1.2%
,國立高雄餐旅大學,47,149,136,157,149,9.6%,-13.4%,5.4%
,國立臺中科技大學,50,403,403,413,410,0.0%,-2.4%,0.7%
,國立臺北商業大學,51,206,205,203,195,0.5%,1.0%,4.1%
,國立臺灣戲曲學院,144,34,34,34,34,0.0%,0.0%,0.0%
,國立臺南護理專科學校,221,88,52,54,54,69.2%,-3.7%,0.0%
,國立臺東專科學校,222,63,71,67,68,-11.3%,6.0%,-1.5%
,東海大學,1001,541,547,544,550,-1.1%,0.6%,-1.1%
,輔仁大學,1002,712,716,718,716,-0.6%,-0.3%,0.3%
,東吳大學,1003,442,445,448,449,-0.7%,-0.7%,-0.2%
,中原大學,1004,505,510,505,513,-1.0%,1.0%,-1.6%
,淡江大學,1005,796,816,821,829,-2.5%,-0.6%,-1.0%
,中國文化大學,1006,757,776,792,804,-2.4%,-2.0%,-1.5%
,逢甲大學,1007,657,644,638,643,2.0%,0.9%,-0.8%
,靜宜大學,1008,374,366,374,381,2.2%,-2.1%,-1.8%
,長庚大學,1009,619,609,594,602,1.6%,2.5%,-1.3%
,元智大學,1010,318,312,327,328,1.9%,-4.6%,-0.3%
,中華大學,1011,278,282,296,296,-1.4%,-4.7%,0.0%
,大葉大學,1012,338,334,326,330,1.2%,2.5%,-1.2%
,華梵大學,1013,120,131,133,134,-8.4%,-1.5%,-0.7%
,義守大學,1014,501,517,525,518,-3.1%,-1.5%,1.4%
,世新大學,1015,319,310,317,311,2.9%,-2.2%,1.9%
,銘傳大學,1016,593,602,602,613,-1.5%,0.0%,-1.8%
,實踐大學,1017,410,405,419,425,1.2%,-3.3%,-1.4%
,高雄醫學大學,1019,563,562,555,542,0.2%,1.3%,2.4%
,南華大學,1020,225,234,222,215,-3.8%,5.4%,3.3%
,真理大學,1021,294,315,329,335,-6.7%,-4.3%,-1.8%
,大同大學,1022,176,186,191,196,-5.4%,-2.6%,-2.6%
,慈濟大學,1027,257,263,257,259,-2.3%,2.3%,-0.8%
,臺北醫學大學,1028,580,565,555,534,2.7%,1.8%,3.9%
,中山醫學大學,1029,417,423,451,443,-1.4%,-6.2%,1.8%
,長榮大學,1033,343,334,337,353,2.7%,-0.9%,-4.5%
,中國醫藥大學,1035,508,489,511,510,3.9%,-4.3%,0.2%
,玄奘大學,1039,158,155,159,177,1.9%,-2.5%,-10.2%
,亞洲大學,1048,395,355,367,365,11.3%,-3.3%,0.5%
,開南大學,1049,272,283,293,289,-3.9%,-3.4%,1.4%
,佛光大學,1050,175,169,161,155,3.6%,5.0%,3.9%
,明道大學,1058,146,159,179,195,-8.2%,-11.2%,-8.2%
,台灣首府大學,1067,123,129,141,155,-4.7%,-8.5%,-9.0%
,康寧大學,1079,171,173,184,185,-1.2%,-6.0%,-0.5%
,中信金融管理學院,1125,27,15,-,-,80.0%,-,-
,稻江科技暨管理學院,1176,63,76,84,98,-17.1%,-9.5%,-14.3%
,馬偕醫學院,1195,107,97,75,62,10.3%,29.3%,21.0%
,法鼓文理學院,1196,21,23,13,-,-8.7%,76.9%,-
,朝陽科技大學,1018,407,400,404,402,1.8%,-1.0%,0.5%
,南臺科技大學,1023,576,579,583,596,-0.5%,-0.7%,-2.2%
,崑山科技大學,1024,376,390,403,418,-3.6%,-3.2%,-3.6%
,嘉南藥理大學,1025,493,502,495,504,-1.8%,1.4%,-1.8%
,樹德科技大學,1026,282,272,272,279,3.7%,0.0%,-2.5%
,龍華科技大學,1030,244,249,256,255,-2.0%,-2.7%,0.4%
,輔英科技大學,1031,340,361,379,392,-5.8%,-4.7%,-3.3%
,明新科技大學,1032,375,387,391,405,-3.1%,-1.0%,-3.5%
,弘光科技大學,1034,328,337,348,337,-2.7%,-3.2%,3.3%
,健行科技大學,1036,325,337,337,339,-3.6%,0.0%,-0.6%
,正修科技大學,1037,440,443,434,439,-0.7%,2.1%,-1.1%
,萬能科技大學,1038,249,276,282,282,-9.8%,-2.1%,0.0%
,建國科技大學,1040,275,280,283,293,-1.8%,-1.1%,-3.4%
,明志科技大學,1041,197,191,192,195,3.1%,-0.5%,-1.5%
,高苑科技大學,1042,269,278,283,290,-3.2%,-1.8%,-2.4%
,大仁科技大學,1043,271,295,304,305,-8.1%,-3.0%,-0.3%
,聖約翰科技大學,1044,194,215,229,246,-9.8%,-6.1%,-6.9%
,嶺東科技大學,1045,268,257,258,259,4.3%,-0.4%,-0.4%
,中國科技大學,1046,312,330,326,339,-5.5%,1.2%,-3.8%
,中臺科技大學,1047,263,269,274,284,-2.2%,-1.8%,-3.5%
,台南應用科技大學,1051,330,330,336,335,0.0%,-1.8%,0.3%
,遠東科技大學,1052,243,264,281,288,-8.0%,-6.0%,-2.4%
,元培醫事科技大學,1053,221,231,233,240,-4.3%,-0.9%,-2.9%
,景文科技大學,1054,230,262,267,271,-12.2%,-1.9%,-1.5%
,中華醫事科技大學,1055,296,305,310,316,-3.0%,-1.6%,-1.9%
,東南科技大學,1056,223,222,228,223,0.5%,-2.6%,2.2%
,德明財經科技大學,1057,240,238,246,246,0.8%,-3.3%,0.0%
,南開科技大學,1060,198,201,204,204,-1.5%,-1.5%,0.0%
,中華科技大學,1061,251,253,281,288,-0.8%,-10.0%,-2.4%
,僑光科技大學,1062,228,236,255,258,-3.4%,-7.5%,-1.2%
,育達科技大學,1063,137,163,195,212,-16.0%,-16.4%,-8.0%
,美和科技大學,1064,241,252,260,282,-4.4%,-3.1%,-7.8%
,吳鳳科技大學,1065,159,160,160,209,-0.6%,0.0%,-23.4%
,環球科技大學,1066,182,191,201,215,-4.7%,-5.0%,-6.5%
,中州科技大學,1068,137,145,152,177,-5.5%,-4.6%,-14.1%
,修平科技大學,1069,225,244,245,257,-7.8%,-0.4%,-4.7%
,長庚科技大學,1070,354,355,365,373,-0.3%,-2.7%,-2.1%
,臺北城市科技大學,1071,249,257,268,280,-3.1%,-4.1%,-4.3%
,大華科技大學,1072,119,137,152,187,-13.1%,-9.9%,-18.7%
,醒吾科技大學,1073,244,249,259,269,-2.0%,-3.9%,-3.7%
,南榮科技大學,1074,110,127,132,129,-13.4%,-3.8%,2.3%
,文藻外語大學,1075,272,309,309,310,-12.0%,0.0%,-0.3%
,華夏科技大學,1076,171,181,189,193,-5.5%,-4.2%,-2.1%
,慈濟科技大學,1077,150,153,150,145,-2.0%,2.0%,3.4%
,致理科技大學,1078,268,258,256,252,3.9%,0.8%,1.6%
,大漢技術學院,1148,51,64,58,73,-20.3%,10.3%,-20.5%
,和春技術學院,1159,124,118,119,143,5.1%,-0.8%,-16.8%
,亞東技術學院,1166,171,161,162,163,6.2%,-0.6%,-0.6%
,南亞技術學院,1168,161,181,223,232,-11.0%,-18.8%,-3.9%
,德霖技術學院,1179,203,214,224,225,-5.1%,-4.5%,-0.4%
,蘭陽技術學院,1182,98,111,130,154,-11.7%,-14.6%,-15.6%
,黎明技術學院,1183,147,144,144,170,2.1%,0.0%,-15.3%
,東方設計學院,1184,155,152,158,168,2.0%,-3.8%,-6.0%
,經國管理暨健康學院,1185,136,132,132,136,3.0%,0.0%,-2.9%
,崇右技術學院,1187,104,109,113,118,-4.6%,-3.5%,-4.2%
,大同技術學院,1188,69,73,73,81,-5.5%,0.0%,-9.9%
,亞太創意技術學院,1189,71,94,122,131,-24.5%,-23.0%,-6.9%
,臺灣觀光學院,1192,47,52,54,57,-9.6%,-3.7%,-5.3%
,台北海洋技術學院,1197,174,179,176,174,-2.8%,1.7%,1.1%
,馬偕醫護管理專科學校,1282,140,131,129,122,6.9%,1.6%,5.7%
,仁德醫護管理專科學校,1283,208,169,179,172,23.1%,-5.6%,4.1%
,樹人醫護管理專科學校,1284,213,209,213,207,1.9%,-1.9%,2.9%
,慈惠醫護管理專科學校,1285,171,171,170,167,0.0%,0.6%,1.8%
,耕莘健康管理專科學校,1286,174,162,154,149,7.4%,5.2%,3.4%
,敏惠醫護管理專科學校,1287,127,121,123,126,5.0%,-1.6%,-2.4%
,高美醫護管理專科學校,1288,32,41,44,38,-22.0%,-6.8%,15.8%
,育英醫護管理專科學校,1289,74,77,77,81,-3.9%,0.0%,-4.9%
,崇仁醫護管理專科學校,1290,121,119,120,124,1.7%,-0.8%,-3.2%
,聖母醫護管理專科學校,1291,115,116,122,122,-0.9%,-4.9%,0.0%
,新生醫護管理專科學校,1292,190,199,210,209,-4.5%,-5.2%,0.5%
