學校名稱,課程資訊公開網址
國立臺灣大學,https://nol.ntu.edu.tw/
國立政治大學,http://wa.nccu.edu.tw/QryTor/
國立清華大學,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立中興大學,https://onepiece.nchu.edu.tw/cofsys/plsql/crseqry_home
國立成功大學,http://course-query.acad.ncku.edu.tw/qry/
國立交通大學,http://timetable.nctu.edu.tw/
國立中央大學,https://course.ncu.edu.tw/Course/main/query/byKeywords
國立中山大學,http://selcrs.nsysu.edu.tw/menu1/qrycrsfrm.asp?HIS=1&eng=0
國立中正大學,https://ecourse.ccu.edu.tw/
國立臺灣海洋大學,http://academic.ntou.edu.tw/files/11-1003-1126-1.php
國立陽明大學,https://portal.ym.edu.tw/course/CSCS/CSCS01S01
國立東華大學,http://sys.ndhu.edu.tw/aa/class/course/Default.aspx
國立暨南國際大學,https://ccweb.ncnu.edu.tw/student/aspmaker_course_opened_detail_viewlist.asp
國立臺北大學,https://sea.cc.ntpu.edu.tw/pls/dev_stud/course_query_all.chi_main
國立嘉義大學,https://web085003.adm.ncyu.edu.tw/pub_course.aspx
國立高雄大學,http://course.nuk.edu.tw/QueryCourse/QueryCourse.asp
國立臺東大學,https://infosys.nttu.edu.tw/n_CourseBase_Select/CourseListPublic.aspx
國立宜蘭大學,"http://academic.niu.edu.tw/files/15-1003-2043,c467-1.php"
國立聯合大學,http://www.nuu.edu.tw/UIPWeb/wSite/ct?xItem=137696&ctNode=23464&mp=2&idPath=10959_23464
國立臺南大學,http://info.nutn.edu.tw/Page/Index/class
國立金門大學,http://select.nqu.edu.tw/kmkuas/index_sky.html
國立屏東大學,http://webap.nptu.edu.tw/Web/Secure/default.aspx
國立臺灣師範大學,http://iweb.ntnu.edu.tw/aa/course_zone.html
國立彰化師範大學,http://webadmin.ncue.edu.tw/er16/web_edit/edit_show.asp?ClassID=584
國立高雄師範大學,http://140.127.40.75/schedule/scheduleTeacher.aspx
國立臺北教育大學,http://financial.ntue.edu.tw/a04.asp?id=400
國立臺中教育大學,http://www.ntcu.edu.tw/newweb/financial/4-5.htm
國立臺北藝術大學,http://info.tnua.edu.tw/otherinfo/teaching.php
