學校名稱,課程資訊公開網址 
國立臺灣科技大學,http://140.118.31.215/querycourse/querycondition.aspx
國立臺北科技大學,http://aps.ntut.edu.tw/course/tw/course.jsp
國立雲林科技大學,http://facts.yuntech.edu.tw/index.php/2013-09-27-01-26-09/2015-11-23-05-48-24
國立虎尾科技大學,http://jm.nfu.edu.tw/index.php/zh/public/content/133-2015-12-24-09-09-26
國立高雄第一科技大學,http://www.center.nkfust.edu.tw/course/
國立高雄應用科技大學,http://public.kuas.edu.tw/files/11-1020-502.php
國立高雄海洋科技大學,http://www.nkmu.edu.tw/schoolfees2/s4_3_2.html
國立屏東科技大學,http://public.npust.edu.tw/files/11-1002-6715.php?Lang=zh-tw
國立澎湖科技大學,http://www.npu.edu.tw/from/index-1.asp?m=2&m1=7&m2=454&gp=381&id=3886
國立勤益科技大學,"http://info.ncut.edu.tw/files/15-1042-37427,c4374-1.php"
國立臺北護理健康大學,http://system10.ntunhs.edu.tw/AcadInfoSystem/Modules/Main/Index.aspx
國立高雄餐旅大學,http://finance.nkuht.edu.tw/page63/super_pages.php?ID=page6301
國立臺中科技大學,http://academic.nutc.edu.tw/curriculum/show_subject/select_menu.asp
國立臺北商業大學校,http://info.ntub.edu.tw/files/11-1022-2223.php
國立臺灣戲曲學院,http://210.71.61.91/tcpa/
國立臺南護理專科學校,http://210.71.102.108/ntin/
國立臺東專科學校,http://sys.ntc.edu.tw:1111/PUB/HCUCur.asp
崑山科技大學,http://information.ksu.edu.tw/content/30a4ad586fa895cda0b854949298f861.html
南臺科技大學,http://account.stust.edu.tw/tc/node/F1
朝陽科技大學,http://web.cyut.edu.tw/files/90-1000-32.php
明新科技大學,http://sss.must.edu.tw/cosinfo/
樹德科技大學,http://public.stu.edu.tw/%E5%AD%B8%E6%A0%A1%E5%85%B6%E5%AE%83%E9%87%8D%E8%A6%81%E8%B3%87%E8%A8%8A/%E9%96%8B%E8%AA%B2%E8%88%87%E5%B8%AB%E8%B3%87%E8%B3%87%E8%A8%8A/%E5%90%84%E5%AD%B8%E7%B3%BB%E6%89%80%E7%A7%91%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B%E3%80%81%E5%90%84%E5%AD%B8%E5%88%B6%E3%80%81%E5%90%84%E5%B9%B4%E7%B4%9A%E5%85%A5%E5%AD%B8%E5%B9%B4%E5%BA%A6%E8%AA%B2/
大華科技大學,http://info.tust.edu.tw/files/11-1038-3550.php?Lang=zh-tw
弘光科技大學,http://120.107.138.242/~HK_25/other/super_pages.php?ID=unit17
輔英科技大學,http://cos.fy.edu.tw/fywww/new/new_info/cos_info/yco_1000.asp
嘉南藥理大學,http://info.cnu.edu.tw/
台南應用科技大學,http://192.192.3.194/SC2008/Main4ST.asp?ScrX=1280&ScrY=1024&RUN=
明志科技大學,http://public.mcut.edu.tw/bin/home.php
黎明技術學院,http://message.lit.edu.tw/files/13-1025-11529.php?Lang=zh-tw
東南科技大學,http://infossl.tnu.edu.tw/dept_QueryIntro971.php
亞東技術學院,http://portal.oit.edu.tw/index.php?sid=CosQuery&mode=Query
吳鳳科技大學,http://www.wfu.edu.tw/publicinfo/4-4_teachers_information.htm
正修科技大學,http://li.csu.edu.tw/UIPWeb/wSite/lp?ctNode=15213&mp=info&idPath=10937_10976_15213
東方設計學院,http://acad.tf.edu.tw/public/%E6%99%82%E5%BA%8F%E8%A1%A8.htm
華夏科技大學,http://ws.hwh.edu.tw/fip/file/4-4.html
蘭陽技術學院,http://www.fit.edu.tw/index/teacher
健行科技大學,http://www.uch.edu.tw/web/index.php?option=com_wrapper&view=wrapper&Itemid=250
修平科技大學,https://sites.google.com/a/hust.edu.tw/financial/xue-xiao-qi-ta-zhong-yao-zi-xun/kai-ke-yu-shi-zi-zi-xun
聖約翰科技大學,http://sjuweb.sju.edu.tw/SJUFinancial/FA4_9.aspx
