學年度,設立別 ,學校類別,學校代碼,學校名稱,,,總計,男,女,男,女,男,女,男,女,男,女,男,女
101,公立,一般大學,1,國立政治大學,220101,台灣文學研究所,1,0,1,0,0,0,0,0,1,0,0,0,0
101,公立,一般大學,1,國立政治大學,220307,英國語文學系,6,4,2,0,0,2,1,1,0,1,1,0,0
101,公立,一般大學,1,國立政治大學,220320,日本語文學系,3,2,1,0,1,0,0,0,0,0,0,2,0
101,公立,一般大學,1,國立政治大學,220322,阿拉伯語文學系,2,2,0,0,0,0,0,1,0,0,0,1,0
101,公立,一般大學,1,國立政治大學,220324,韓國語文學系,4,4,0,1,0,0,0,1,0,0,0,2,0
101,公立,一般大學,1,國立政治大學,220326,土耳其語文學系,4,4,0,0,0,1,0,1,0,0,0,2,0
101,公立,一般大學,1,國立政治大學,220327,歐洲語文學系,3,1,2,0,0,0,0,1,2,0,0,0,0
101,公立,一般大學,1,國立政治大學,220333,斯拉夫語文學系,4,1,3,0,2,0,0,1,0,0,0,0,1
101,公立,一般大學,1,國立政治大學,220701,語言學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,1,國立政治大學,220901,歷史學系,2,1,1,0,0,0,1,1,0,0,0,0,0
101,公立,一般大學,1,國立政治大學,310401,民族學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,1,國立政治大學,310728,亞太研究英語博士學位學程,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,1,國立政治大學,310999,國際事務學院,2,2,0,0,0,1,0,0,0,0,0,1,0
101,公立,一般大學,1,國立政治大學,340310,國際經營管理英語碩士學位學程,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,1,國立政治大學,440302,應用物理研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,1,國立政治大學,999901,外文中心,3,0,3,0,0,0,0,0,0,0,0,0,3
101,公立,一般大學,2,國立清華大學,220201,中國文學系,4,3,1,1,0,0,0,2,1,0,0,0,0
101,公立,一般大學,2,國立清華大學,220301,外國語文學系,4,0,4,0,1,0,2,0,0,0,1,0,0
101,公立,一般大學,2,國立清華大學,220901,歷史研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,221001,人類學研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,349951,服務科學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,420313,分子與細胞生物研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,440101,化學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,440301,物理學系,6,6,0,4,0,1,0,0,0,0,0,1,0
101,公立,一般大學,2,國立清華大學,460101,數學系,2,2,0,1,0,1,0,0,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,520101,電機工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,520114,資訊工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,520401,化學工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,521104,生醫工程與環境科學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,999901,通識教育中心,2,2,0,0,0,2,0,0,0,0,0,0,0
101,公立,一般大學,2,國立清華大學,999901,體育室,1,1,0,0,0,0,0,0,0,1,0,0,0
101,公立,一般大學,2,國立清華大學,999905,師資培育中心,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,210401,音樂學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,210703,藝術史研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,220201,中國文學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,220301,外國語文學系,21,14,7,2,0,4,4,2,0,4,3,2,0
101,公立,一般大學,3,國立臺灣大學,220320,日本語文學系,4,3,1,2,0,0,0,0,0,1,1,0,0
101,公立,一般大學,3,國立臺灣大學,220501,翻譯碩士學位學程,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,221101,哲學系,3,3,0,1,0,1,0,1,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,4,4,0,1,0,0,0,3,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,340201,會計學系,1,0,1,0,0,0,0,0,1,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,349999,管理學院,1,0,1,0,0,0,0,0,1,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,420106,植物科學研究所,2,2,0,1,0,1,0,0,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,420107,昆蟲學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,440203,地質科學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,440301,物理學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,3,國立臺灣大學,440508,海洋研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
