學年度,設立別 ,學校類別,學校代碼,學校名稱,中文圖書總類,哲學類,宗教類,科學類,應用科學類,社會科學類,史地類(含世界史地類),語言文學類,藝術類,外文圖書,,線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),,報紙(種),期刊中日文(種),西文(種),圖書閱覽座位數,借書(含視聽資料及其他館藏)人次,圖書(含視聽資料及其他館藏)借閱冊數,線上及光碟資料庫(含電子書及電子期刊)檢索人次
101,公立,一般大學,1,國立政治大學,344872,53057,39793,33161,79586,318343,225493,212229,19896,620685,231890,280,42,55272,617573,27657,429,1962,1670,2985,222520,667561,2768365
101,公立,一般大學,2,國立清華大學,65791,26234,17313,56742,62677,99383,95897,115824,37021,333395,301841,434,8,93242,1585595,83917,45,1930,1328,1465,106095,422601,325012
101,公立,一般大學,3,國立臺灣大學,134142,64533,40015,106095,301909,395257,261062,254839,80256,2265003,856237,505,0,43349,2494002,166124,29,3228,5718,3345,252653,758077,29578392
101,公立,一般大學,4,國立臺灣師範大學,137550,69373,21794,60512,72819,238785,150855,202184,64356,483242,124767,387,4,71779,1103461,66391,21,1281,1146,1667,132969,328148,6428534
101,公立,一般大學,5,國立成功大學,190936,31949,20956,48926,103976,119571,97870,121016,38390,550730,413190,540,35,47954,603458,48932,17,2600,979,3104,250465,1535371,6304707
101,公立,一般大學,6,國立中興大學,106066,22359,9493,47512,82469,88861,61047,85431,18509,249581,135364,385,0,53245,763414,58357,18,1440,231,2047,135592,304035,1963671
101,公立,一般大學,7,國立交通大學,87585,16966,9412,59843,70384,73053,37163,62257,34573,346395,163253,297,3,62485,570115,65657,19,1077,1913,1310,162986,415653,2390259
101,公立,一般大學,8,國立中央大學,80993,21347,14344,25055,40046,67309,51803,74616,22401,246081,150343,397,16,43604,563752,51644,27,1311,1095,1485,120180,464867,964071
101,公立,一般大學,9,國立中山大學,81961,25417,11665,35747,61404,83351,58086,92566,28535,324482,139067,262,29,90010,255261,24155,18,636,752,1051,104915,300616,1112746
101,公立,一般大學,12,國立臺灣海洋大學,31783,13544,3400,33579,42751,45989,23855,41891,12381,99578,73040,256,3,59988,118668,10115,9,782,253,784,36980,236968,784284
