name,title
學門代碼,學門代碼
學門名稱,學門名稱
99學年度畢業生102薪資年博士未滿35歲平均薪資,99學年度畢業生102薪資年博士未滿35歲平均薪資
99學年度畢業生102薪資年博士35歲以上平均薪資,99學年度畢業生102薪資年博士35歲以上平均薪資
99學年度畢業生103薪資年博士未滿35歲平均薪資,99學年度畢業生103薪資年博士未滿35歲平均薪資
99學年度畢業生103薪資年博士35歲以上平均薪資,99學年度畢業生103薪資年博士35歲以上平均薪資
100學年度畢業生103薪資年博士未滿35歲平均薪資,100學年度畢業生103薪資年博士未滿35歲平均薪資
100學年度畢業生103薪資年博士35歲以上平均薪資,100學年度畢業生103薪資年博士35歲以上平均薪資
99學年度畢業生102薪資年博士未滿35歲已投入職場比率%,99學年度畢業生102薪資年博士未滿35歲已投入職場比率%
99學年度畢業生102薪資年博士35歲以上已投入職場比率%,99學年度畢業生102薪資年博士35歲以上已投入職場比率%
99學年度畢業生103薪資年博士未滿35歲已投入職場比率%,99學年度畢業生103薪資年博士未滿35歲已投入職場比率%
99學年度畢業生103薪資年博士35歲以上已投入職場比率%,99學年度畢業生103薪資年博士35歲以上已投入職場比率%
100學年度畢業生103薪資年博士未滿35歲已投入職場比率%,100學年度畢業生103薪資年博士未滿35歲已投入職場比率%
100學年度畢業生103薪資年博士35歲以上已投入職場比率%,100學年度畢業生103薪資年博士35歲以上已投入職場比率%
