name,title
99學年度畢業生102年薪資年等級別,99學年度畢業生102年薪資年等級別
99學年度畢業生102年薪資年學制別,99學年度畢業生102年薪資年學制別
99學年度畢業生102年薪資年學門代碼,99學年度畢業生102年薪資年學門代碼
99學年度畢業生102年薪資年學門名稱,99學年度畢業生102年薪資年學門名稱
99學年度畢業生103年薪資年等級別,99學年度畢業生103年薪資年等級別
99學年度畢業生103年薪資年學制別,99學年度畢業生103年薪資年學制別
99學年度畢業生103年薪資年學門代碼,99學年度畢業生103年薪資年學門代碼
99學年度畢業生103年薪資年學門名稱,99學年度畢業生103年薪資年學門名稱
100學年度畢業生103年薪資年等級別,100學年度畢業生103年薪資年等級別
100學年度畢業生103年薪資年學制別,100學年度畢業生103年薪資年學制別
100學年度畢業生103年薪資年學門代碼,100學年度畢業生103年薪資年學門代碼
100學年度畢業生103年薪資年學門名稱,100學年度畢業生103年薪資年學門名稱
