學門代碼,學門名稱,99學年度畢業生102薪資年博士未滿35歲平均薪資,99學年度畢業生102薪資年博士35歲以上平均薪資,99學年度畢業生103薪資年博士未滿35歲平均薪資,99學年度畢業生103薪資年博士35歲以上平均薪資,100學年度畢業生103薪資年博士未滿35歲平均薪資,100學年度畢業生103薪資年博士35歲以上平均薪資,99學年度畢業生102薪資年博士未滿35歲已投入職場比率%,99學年度畢業生102薪資年博士35歲以上已投入職場比率%,99學年度畢業生103薪資年博士未滿35歲已投入職場比率%,99學年度畢業生103薪資年博士35歲以上已投入職場比率%,100學年度畢業生103薪資年博士未滿35歲已投入職場比率%,100學年度畢業生103薪資年博士35歲以上已投入職場比率%
14,教育學門,74639,94095,78191,96410,67604,94261,97.14%,94.81%,97.14%,93.87%,100.00%,93.53%
21,藝術學門,77731,80128,78044,82705,,76176,100.00%,88.89%,100.00%,88.89%,,89.47%
22,人文學門,69552,86547,70010,88667,69199,80879,89.58%,94.41%,89.58%,93.30%,90.48%,88.69%
23,設計學門,,92041,,95599,92075,87392,,100.00%,,100.00%,100.00%,94.44%
31,社會及行為科學學門,78690,83211,78541,84920,69357,88616,93.94%,91.43%,100.00%,89.52%,94.44%,90.60%
32,傳播學門,,86039,,82051,,93519,,90.00%,,100.00%,,100.00%
34,商業及管理學門,78496,105010,85310,110197,72800,104547,96.39%,95.11%,96.43%,94.22%,94.57%,93.27%
38,法律學門,,100951,,97918,,116808,,100.00%,,100.00%,,80.00%
42,生命科學學門,64728,103727,69604,111293,64787,89242,89.08%,94.94%,91.91%,97.47%,94.20%,98.73%
44,自然科學學門,76288,84258,86991,86713,80723,91188,94.67%,94.23%,94.59%,92.31%,96.46%,92.59%
46,數學及統計學門,61374,75263,71042,77594,66507,84464,92.59%,100.00%,96.55%,100.00%,97.14%,89.47%
48,電算機學門,72022,108801,76993,109025,78280,103692,93.10%,100.00%,100.00%,100.00%,95.65%,93.62%
52,工程學門,85210,106500,102263,114455,93886,112213,96.46%,94.71%,97.62%,93.61%,97.13%,96.07%
58,建築及都市規劃學門,60273,98054,56430,93542,75245,72781,100.00%,94.74%,100.00%,94.74%,100.00%,82.35%
62,農業科學學門,68463,79806,75725,82947,67177,81774,100.00%,97.62%,100.00%,100.00%,91.18%,97.96%
64,獸醫學門,65304,89036,71205,95985,81612,105614,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%
72,醫藥衛生學門,70617,179502,71197,198020,67780,217669,91.45%,96.77%,92.56%,96.37%,93.80%,96.02%
76,社會服務學門,,99282,,92883,,85100,,85.71%,,85.71%,,91.67%
81,民生學門,,107870,,116993,83953,120406,,100.00%,,100.00%,100.00%,100.00%
84,運輸服務學門,65003,115914,76360,106777,,95028,100.00%,100.00%,100.00%,100.00%,,100.00%
