99學年度畢業生102年薪資年學校代碼,99學年度畢業生102年薪資年學校名稱,99學年度畢業生102年薪資年體系別,99學年度畢業生102年薪資年公私立,99學年度畢業生102年薪資年畢業年,99學年度畢業生102年薪資年薪資年,99學年度畢業生102年薪資年等級別,99學年度畢業生102年薪資年學制別,99學年度畢業生103年薪資年學校代碼,99學年度畢業生103年薪資年學校名稱,99學年度畢業生103年薪資年體系別,99學年度畢業生103年薪資年公私立,99學年度畢業生103年薪資年畢業年,99學年度畢業生103年薪資年薪資年,99學年度畢業生103年薪資年等級別,99學年度畢業生103年薪資年學制別,100學年度畢業生103年薪資年學校代碼,100學年度畢業生103年薪資年學校名稱,100學年度畢業生103年薪資年體系別,100學年度畢業生103年薪資年公私立,100學年度畢業生103年薪資年畢業年,100學年度畢業生103年薪資年薪資年,100學年度畢業生103年薪資年等級別,100學年度畢業生103年薪資年學制別
0001,國立政治大學,一般,公立,99,102,博士,未滿35歲,0001,國立政治大學,一般,公立,99,103,博士,未滿35歲,0001,國立政治大學,一般,公立,100,103,博士,未滿35歲
0012,國立臺灣海洋大學,一般,公立,99,102,博士,未滿35歲,0012,國立臺灣海洋大學,一般,公立,99,103,博士,未滿35歲,0003,國立臺灣大學,一般,公立,100,103,學士,進修學制
0012,國立臺灣海洋大學,一般,公立,99,102,博士,35歲以上,0012,國立臺灣海洋大學,一般,公立,99,103,博士,35歲以上,0012,國立臺灣海洋大學,一般,公立,100,103,博士,未滿35歲
0014,國立高雄師範大學,一般,公立,99,102,博士,未滿35歲,0014,國立高雄師範大學,一般,公立,99,103,博士,未滿35歲,0012,國立臺灣海洋大學,一般,公立,100,103,博士,35歲以上
0016,國立陽明大學,一般,公立,99,102,碩士,在職專班,0016,國立陽明大學,一般,公立,99,103,碩士,在職專班,0014,國立高雄師範大學,一般,公立,100,103,博士,未滿35歲
0017,國立臺北大學,一般,公立,99,102,博士,35歲以上,0017,國立臺北大學,一般,公立,99,103,博士,35歲以上,0015,國立彰化師範大學,一般,公立,100,103,博士,未滿35歲
0018,國立嘉義大學,一般,公立,99,102,博士,未滿35歲,0018,國立嘉義大學,一般,公立,99,103,博士,未滿35歲,0016,國立陽明大學,一般,公立,100,103,碩士,在職專班
0018,國立嘉義大學,一般,公立,99,102,博士,35歲以上,0018,國立嘉義大學,一般,公立,99,103,博士,35歲以上,0017,國立臺北大學,一般,公立,100,103,博士,未滿35歲
0020,國立東華大學,一般,公立,99,102,博士,未滿35歲,0020,國立東華大學,一般,公立,99,103,博士,未滿35歲,0017,國立臺北大學,一般,公立,100,103,博士,35歲以上
0020,國立東華大學,一般,公立,99,102,博士,35歲以上,0020,國立東華大學,一般,公立,99,103,博士,35歲以上,0018,國立嘉義大學,一般,公立,100,103,博士,35歲以上
0020,國立東華大學,一般,公立,99,102,學士,進修學制,0020,國立東華大學,一般,公立,99,103,學士,進修學制,0020,國立東華大學,一般,公立,100,103,博士,未滿35歲
0021,國立暨南國際大學,一般,公立,99,102,博士,未滿35歲,0021,國立暨南國際大學,一般,公立,99,103,博士,未滿35歲,0020,國立東華大學,一般,公立,100,103,博士,35歲以上
0021,國立暨南國際大學,一般,公立,99,102,博士,35歲以上,0021,國立暨南國際大學,一般,公立,99,103,博士,35歲以上,0021,國立暨南國際大學,一般,公立,100,103,博士,未滿35歲
0021,國立暨南國際大學,一般,公立,99,102,學士,進修學制,0021,國立暨南國際大學,一般,公立,99,103,學士,進修學制,0021,國立暨南國際大學,一般,公立,100,103,博士,35歲以上
0023,國立雲林科技大學,技職,公立,99,102,博士,未滿35歲,0023,國立雲林科技大學,技職,公立,99,103,博士,未滿35歲,0023,國立雲林科技大學,技職,公立,100,103,博士,未滿35歲
0024,國立屏東科技大學,技職,公立,99,102,博士,未滿35歲,0024,國立屏東科技大學,技職,公立,99,103,博士,未滿35歲,0024,國立屏東科技大學,技職,公立,100,103,博士,未滿35歲
0024,國立屏東科技大學,技職,公立,99,102,博士,35歲以上,0024,國立屏東科技大學,技職,公立,99,103,博士,35歲以上,0024,國立屏東科技大學,技職,公立,100,103,博士,35歲以上
0025,國立臺北科技大學,技職,公立,99,102,博士,未滿35歲,0025,國立臺北科技大學,技職,公立,99,103,博士,未滿35歲,0025,國立臺北科技大學,技職,公立,100,103,博士,未滿35歲
0025,國立臺北科技大學,技職,公立,99,102,博士,35歲以上,0025,國立臺北科技大學,技職,公立,99,103,博士,35歲以上,0025,國立臺北科技大學,技職,公立,100,103,博士,35歲以上
0026,國立高雄第一科技大學,技職,公立,99,102,博士,未滿35歲,0026,國立高雄第一科技大學,技職,公立,99,103,博士,未滿35歲,0026,國立高雄第一科技大學,技職,公立,100,103,博士,未滿35歲
