學校代碼,學校名稱,99學年度畢業生102薪資年博士未滿35歲,99學年度畢業生102薪資年博士35歲以上,99學年度畢業生102薪資年碩士日間學制,99學年度畢業生102薪資年碩士在職專班,99學年度畢業生102薪資年學士日間學制,99學年度畢業生102薪資年學士進修學制,99學年度畢業生102薪資年專科日間學制,99學年度畢業生102薪資年專科進修學制,99學年度畢業生103薪資年博士未滿35歲,99學年度畢業生103薪資年博士35歲以上,99學年度畢業生103薪資年碩士日間學制,99學年度畢業生103薪資年碩士在職專班,99學年度畢業生103薪資年學士日間學制,99學年度畢業生103薪資年學士進修學制,99學年度畢業生103薪資年專科日間學制,99學年度畢業生103薪資年專科進修學制,100學年度畢業生103薪資年博士未滿35歲,100學年度畢業生103薪資年博士35歲以上,100學年度畢業生103薪資年碩士日間學制,100學年度畢業生103薪資年碩士在職專班,100學年度畢業生103薪資年學士日間學制,100學年度畢業生103薪資年學士進修學制,100學年度畢業生103薪資年專科日間學制,100學年度畢業生103薪資年專科進修學制
0001,國立政治大學,92.00%,96.36%,93.87%,94.74%,80.81%,,,,96.00%,96.36%,94.27%,92.60%,85.80%,,,,92.59%,90.00%,92.51%,97.29%,82.99%,,,
0002,國立清華大學,96.13%,96.20%,95.31%,94.05%,78.46%,,,,95.88%,94.94%,95.57%,94.05%,82.98%,,,,96.41%,95.83%,94.64%,93.07%,76.26%,,,
0003,國立臺灣大學,93.92%,95.20%,91.95%,94.62%,77.65%,87.85%,,,97.01%,94.40%,92.79%,90.32%,80.17%,89.72%,,,95.66%,95.45%,92.97%,94.05%,75.92%,76.19%,,
0004,國立臺灣師範大學,93.75%,93.58%,92.93%,95.89%,80.38%,,,,94.00%,92.66%,93.15%,95.54%,83.00%,,,,92.59%,99.10%,93.55%,96.27%,81.44%,,,
0005,國立成功大學,97.09%,95.77%,94.34%,95.63%,81.24%,,,,97.80%,95.07%,95.76%,96.22%,84.30%,,,,97.63%,95.12%,95.19%,97.39%,79.55%,,,
0006,國立中興大學,95.77%,94.67%,92.41%,97.14%,80.53%,83.92%,,,96.63%,96.00%,94.08%,96.90%,83.69%,84.62%,,,93.67%,94.74%,92.01%,95.44%,78.69%,82.30%,,
0007,國立交通大學,97.73%,98.08%,95.36%,97.31%,80.71%,,,,98.27%,98.08%,95.85%,96.74%,80.71%,,,,98.43%,95.18%,95.17%,96.80%,76.81%,,,
0008,國立中央大學,97.01%,97.10%,93.88%,97.03%,85.47%,,,,98.96%,95.65%,95.49%,96.58%,87.82%,,,,98.95%,95.08%,93.88%,96.69%,81.77%,,,
0009,國立中山大學,86.27%,91.80%,94.36%,95.95%,80.32%,,,,91.38%,88.52%,94.17%,96.36%,85.29%,,,,95.24%,94.59%,95.13%,95.02%,77.94%,,,
0012,國立臺灣海洋大學,93.33%,90.00%,93.86%,96.50%,84.64%,88.33%,,,94.44%,95.00%,94.59%,97.01%,89.01%,89.17%,,,100.00%,96.15%,94.19%,97.70%,84.14%,89.52%,,
