99學年度畢業生102年薪資年等級別,99學年度畢業生102年薪資年學制別,99學年度畢業生102年薪資年學門代碼,99學年度畢業生102年薪資年學門名稱,99學年度畢業生103年薪資年等級別,99學年度畢業生103年薪資年學制別,99學年度畢業生103年薪資年學門代碼,99學年度畢業生103年薪資年學門名稱,100學年度畢業生103年薪資年等級別,100學年度畢業生103年薪資年學制別,100學年度畢業生103年薪資年學門代碼,100學年度畢業生103年薪資年學門名稱
博士,未滿35歲,21,藝術學門,博士,未滿35歲,14,教育學門,博士,未滿35歲,22,人文學門
博士,未滿35歲,31,社會及行為科學學門,博士,未滿35歲,21,藝術學門,博士,未滿35歲,23,設計學門
博士,未滿35歲,46,數學及統計學門,博士,未滿35歲,46,數學及統計學門,博士,未滿35歲,48,電算機學門
博士,未滿35歲,48,電算機學門,博士,未滿35歲,48,電算機學門,博士,未滿35歲,58,建築及都市規劃學門
博士,未滿35歲,58,建築及都市規劃學門,博士,未滿35歲,58,建築及都市規劃學門,博士,未滿35歲,64,獸醫學門
博士,未滿35歲,62,農業科學學門,博士,未滿35歲,62,農業科學學門,博士,未滿35歲,81,民生學門
博士,未滿35歲,64,獸醫學門,博士,未滿35歲,64,獸醫學門,博士,35歲以上,21,藝術學門
博士,未滿35歲,84,運輸服務學門,博士,未滿35歲,84,運輸服務學門,博士,35歲以上,23,設計學門
博士,35歲以上,21,藝術學門,博士,35歲以上,21,藝術學門,博士,35歲以上,32,傳播學門
博士,35歲以上,23,設計學門,博士,35歲以上,23,設計學門,博士,35歲以上,38,法律學門
博士,35歲以上,32,傳播學門,博士,35歲以上,32,傳播學門,博士,35歲以上,46,數學及統計學門
博士,35歲以上,38,法律學門,博士,35歲以上,38,法律學門,博士,35歲以上,58,建築及都市規劃學門
博士,35歲以上,46,數學及統計學門,博士,35歲以上,46,數學及統計學門,博士,35歲以上,64,獸醫學門
博士,35歲以上,58,建築及都市規劃學門,博士,35歲以上,58,建築及都市規劃學門,博士,35歲以上,76,社會服務學門
博士,35歲以上,64,獸醫學門,博士,35歲以上,64,獸醫學門,博士,35歲以上,81,民生學門
博士,35歲以上,76,社會服務學門,博士,35歲以上,76,社會服務學門,博士,35歲以上,84,運輸服務學門
博士,35歲以上,81,民生學門,博士,35歲以上,81,民生學門,,,,
博士,35歲以上,84,運輸服務學門,博士,35歲以上,84,運輸服務學門,,,,
