99學年度畢業生102年薪資年學類人數少於30人清單_等級別,99學年度畢業生102年薪資年學類人數少於30人清單_學制別,99學年度畢業生102年薪資年學類人數少於30人清單_學門代碼,99學年度畢業生102年薪資年學類人數少於30人清單_學門名稱,99學年度畢業生102年薪資年學類人數少於30人清單_學類代碼,99學年度畢業生102年薪資年學類人數少於30人清單_學類名稱,99學年度畢業生103年薪資年學類人數少於30人清單_等級別,99學年度畢業生103年薪資年學類人數少於30人清單_學制別,99學年度畢業生103年薪資年學類人數少於30人清單_學門代碼,99學年度畢業生103年薪資年學類人數少於30人清單_學門名稱,99學年度畢業生103年薪資年學類人數少於30人清單_學類代碼,99學年度畢業生103年薪資年學類人數少於30人清單_學類名稱,100學年度畢業生103年薪資年學類人數少於30人清單_等級別,100學年度畢業生103年薪資年學類人數少於30人清單_學制別,100學年度畢業生103年薪資年學類人數少於30人清單_學門代碼,100學年度畢業生103年薪資年學類人數少於30人清單_學門名稱,100學年度畢業生103年薪資年學類人數少於30人清單_學類代碼,100學年度畢業生103年薪資年學類人數少於30人清單_學類名稱
碩士,日間學制,14,教育學門,1409,教育測驗評量學類,碩士,日間學制,14,教育學門,1409,教育測驗評量學類,碩士,日間學制,14,教育學門,1409,教育測驗評量學類
碩士,日間學制,21,藝術學門,2108,民俗藝術學類,碩士,日間學制,21,藝術學門,2108,民俗藝術學類,碩士,日間學制,21,藝術學門,2110,藝術行政學類
碩士,日間學制,21,藝術學門,2103,美術工藝學類,碩士,日間學制,21,藝術學門,2103,美術工藝學類,碩士,日間學制,22,人文學門,2210,人類學學類
碩士,日間學制,21,藝術學門,2110,藝術行政學類,碩士,日間學制,21,藝術學門,2110,藝術行政學類,碩士,日間學制,22,人文學門,2212,文獻學學類
碩士,日間學制,22,人文學門,2210,人類學學類,碩士,日間學制,22,人文學門,2210,人類學學類,碩士,日間學制,22,人文學門,2204,其他語文學類
碩士,日間學制,22,人文學門,2212,文獻學學類,碩士,日間學制,22,人文學門,2212,文獻學學類,碩士,日間學制,22,人文學門,2208,宗教學類
碩士,日間學制,22,人文學門,2204,其他語文學類,碩士,日間學制,22,人文學門,2204,其他語文學類,碩士,日間學制,22,人文學門,2205,翻譯學類
碩士,日間學制,22,人文學門,2208,宗教學類,碩士,日間學制,22,人文學門,2208,宗教學類,碩士,日間學制,31,社會及行為科學學門,3104,民族學類
碩士,日間學制,22,人文學門,2299,其他人文學類,碩士,日間學制,22,人文學門,2205,翻譯學類,碩士,日間學制,32,傳播學門,3207,圖文傳播學類
碩士,日間學制,22,人文學門,2205,翻譯學類,碩士,日間學制,31,社會及行為科學學門,3104,民族學類,碩士,日間學制,32,傳播學門,3204,公共關係學類
碩士,日間學制,31,社會及行為科學學門,3104,民族學類,碩士,日間學制,32,傳播學門,3207,圖文傳播學類,碩士,日間學制,32,傳播學門,3208,廣告學類
碩士,日間學制,32,傳播學門,3207,圖文傳播學類,碩士,日間學制,32,傳播學門,3204,公共關係學類,碩士,日間學制,32,傳播學門,3203,廣播電視學類
碩士,日間學制,32,傳播學門,3204,公共關係學類,碩士,日間學制,32,傳播學門,3208,廣告學類,碩士,日間學制,38,法律學門,3899,其他法律學類
碩士,日間學制,32,傳播學門,3208,廣告學類,碩士,日間學制,32,傳播學門,3203,廣播電視學類,碩士,日間學制,42,生命科學學門,4299,其他生命科學類
碩士,日間學制,32,傳播學門,3203,廣播電視學類,碩士,日間學制,38,法律學門,3899,其他法律學類,碩士,日間學制,44,自然科學學門,4406,天文及太空科學學類
碩士,日間學制,38,法律學門,3899,其他法律學類,碩士,日間學制,42,生命科學學門,4299,其他生命科學類,碩士,日間學制,46,數學及統計學門,4699,其他數學及統計學類
碩士,日間學制,42,生命科學學門,4299,其他生命科學類,碩士,日間學制,44,自然科學學門,4404,大氣科學學類,碩士,日間學制,52,工程學門,5208,測量工程學類
碩士,日間學制,44,自然科學學門,4404,大氣科學學類,碩士,日間學制,44,自然科學學門,4406,天文及太空科學學類,碩士,日間學制,62,農業科學學門,6209,農業技術學類
碩士,日間學制,44,自然科學學門,4406,天文及太空科學學類,碩士,日間學制,46,數學及統計學門,4699,其他數學及統計學類,碩士,日間學制,76,社會服務學門,7602,老年服務學類
碩士,日間學制,46,數學及統計學門,4699,其他數學及統計學類,碩士,日間學制,48,電算機學門,4804,系統設計學類,碩士,日間學制,76,社會服務學門,7601,身心障礙服務學類
碩士,日間學制,48,電算機學門,4802,網路學類,碩士,日間學制,52,工程學門,5208,測量工程學類,碩士,日間學制,81,民生學門,8107,服飾學類
碩士,日間學制,48,電算機學門,4804,系統設計學類,碩士,日間學制,58,建築及都市規劃學門,5899,其他建築及都巿規劃學類,碩士,日間學制,81,民生學門,8106,生活應用科學學類
碩士,日間學制,52,工程學門,5208,測量工程學類,碩士,日間學制,62,農業科學學門,6209,農業技術學類,碩士,日間學制,81,民生學門,8199,其他民生學類
碩士,日間學制,58,建築及都市規劃學門,5899,其他建築及都巿規劃學類,碩士,日間學制,72,醫藥衛生學門,7299,其他醫藥衛生學類,碩士,日間學制,81,民生學門,8108,美容學類
碩士,日間學制,62,農業科學學門,6209,農業技術學類,碩士,日間學制,76,社會服務學門,7602,老年服務學類,碩士,日間學制,84,運輸服務學門,8402,航空學類
碩士,日間學制,72,醫藥衛生學門,7299,其他醫藥衛生學類,碩士,日間學制,76,社會服務學門,7601,身心障礙服務學類,碩士,日間學制,84,運輸服務學門,8403,航海學類
碩士,日間學制,76,社會服務學門,7602,老年服務學類,碩士,日間學制,81,民生學門,8107,服飾學類,碩士,日間學制,85,環境保護學門,8599,其他環境保護學類
碩士,日間學制,76,社會服務學門,7601,身心障礙服務學類,碩士,日間學制,81,民生學門,8106,生活應用科學學類,碩士,日間學制,99,其他學門,9901,其他不能歸類之各學類
