學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
106,公立,一般大學,0001,國立政治大學,學士班(日間),9632,3934,5698
106,公立,一般大學,0001,國立政治大學,碩士班(日間),4028,1846,2182
106,公立,一般大學,0001,國立政治大學,碩士在職專班,1741,871,870
106,公立,一般大學,0001,國立政治大學,博士班,952,565,387
106,公立,一般大學,0002,國立清華大學,學士班(日間),8892,4758,4134
106,公立,一般大學,0002,國立清華大學,碩士班(日間),4955,3100,1855
106,公立,一般大學,0002,國立清華大學,碩士在職專班,1130,423,707
106,公立,一般大學,0002,國立清華大學,博士班,1687,1253,434
106,公立,一般大學,0003,國立臺灣大學,學士班(日間),16557,9393,7164
106,公立,一般大學,0003,國立臺灣大學,學士班(進修),1,1,0
106,公立,一般大學,0003,國立臺灣大學,碩士班(日間),10201,6188,4013
106,公立,一般大學,0003,國立臺灣大學,碩士在職專班,1427,930,497
106,公立,一般大學,0003,國立臺灣大學,博士班,3616,2542,1074
106,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),8085,3584,4501
106,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),3956,1635,2321
106,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,1992,584,1408
106,公立,一般大學,0004,國立臺灣師範大學,博士班,1393,711,682
106,公立,一般大學,0005,國立成功大學,學士班(日間),11481,7210,4271
106,公立,一般大學,0005,國立成功大學,碩士班(日間),6595,4138,2457
106,公立,一般大學,0005,國立成功大學,碩士在職專班,1343,855,488
106,公立,一般大學,0005,國立成功大學,博士班,1833,1287,546
106,公立,一般大學,0006,國立中興大學,學士班(日間),8073,4733,3340
106,公立,一般大學,0006,國立中興大學,學士班(進修),950,401,549
106,公立,一般大學,0006,國立中興大學,碩士班(日間),3321,1994,1327
106,公立,一般大學,0006,國立中興大學,碩士在職專班,1544,1028,516
106,公立,一般大學,0006,國立中興大學,博士班,989,703,286
106,公立,一般大學,0007,國立陽明交通大學,學士班(日間),5455,3815,1640
106,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),5543,3815,1728
106,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,1470,1029,441
