學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),合作學校國家(地區)別,合作學校國家(地區)區域別,修讀雙聯學制學生人數本國學生小計,修讀雙聯學制學生人數本國學生男,修讀雙聯學制學生人數本國學生女,修讀雙聯學制學生人數外國學生小計,修讀雙聯學制學生人數外國學生男,修讀雙聯學制學生人數外國學生女
105,2,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),大韓民國(南韓),其他亞洲地區,1,0,1,0,0,0
105,2,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),澳大利亞,其他亞洲地區,1,0,1,0,0,0
105,2,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),新加坡共和國,東協,1,0,1,0,0,0
105,2,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),美國,北美洲,3,1,2,0,0,0
105,2,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),法國,歐洲,3,3,0,7,2,5
105,2,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),德意志聯邦共和國,歐洲,0,0,0,1,0,1
105,2,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),美國,北美洲,2,2,0,0,0,0
105,2,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,英國,歐洲,0,0,0,2,1,1
105,2,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),大陸地區,大陸地區,1,0,1,4,2,2
105,2,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,英國,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),瑞典王國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),法國,歐洲,0,0,0,1,1,0
105,2,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,英國,歐洲,0,0,0,1,1,0
105,2,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,印度,南亞,0,0,0,1,1,0
105,2,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),大陸地區,大陸地區,2,0,2,0,0,0
105,2,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),瑞典王國,歐洲,2,1,1,0,0,0
105,2,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,英國,歐洲,2,1,1,2,2,0
105,2,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),大陸地區,大陸地區,2,0,2,0,0,0
105,2,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),大陸地區,大陸地區,0,0,0,2,1,1
