學年度,設立別,學校類別,學校統計處代碼,學校名稱,合作學校國家(地區)別,合作學校國家(地區)區域別,與國外及兩岸學校建立姊妹校數(109.02新增),建立跨國學位合作 (雙聯學制)學校數,與國外及兩岸學校進行學術合作交流計畫之件數(109.02新增)
105,公立,一般大學,0001,國立政治大學,新加坡共和國,東協,...,1,...
105,公立,一般大學,0001,國立政治大學,日本,其他亞洲地區,...,2,...
105,公立,一般大學,0001,國立政治大學,澳大利亞,其他亞洲地區,...,2,...
105,公立,一般大學,0001,國立政治大學,大韓民國(南韓),其他亞洲地區,...,2,...
105,公立,一般大學,0001,國立政治大學,德意志聯邦共和國,歐洲,...,2,...
105,公立,一般大學,0001,國立政治大學,法國,歐洲,...,3,...
105,公立,一般大學,0001,國立政治大學,美國,北美洲,...,9,...
105,公立,一般大學,0002,國立清華大學,印度,南亞,...,1,...
105,公立,一般大學,0002,國立清華大學,香港,港澳,...,1,...
105,公立,一般大學,0002,國立清華大學,大陸地區,大陸地區,...,13,...
105,公立,一般大學,0002,國立清華大學,以色列,其他亞洲地區,...,1,...
105,公立,一般大學,0002,國立清華大學,德意志聯邦共和國,歐洲,...,1,...
105,公立,一般大學,0002,國立清華大學,瑞士聯邦,歐洲,...,1,...
105,公立,一般大學,0002,國立清華大學,法國,歐洲,...,4,...
105,公立,一般大學,0002,國立清華大學,捷克共和國,歐洲,...,1,...
105,公立,一般大學,0002,國立清華大學,英國,歐洲,...,1,...
105,公立,一般大學,0002,國立清華大學,瑞典王國,歐洲,...,1,...
105,公立,一般大學,0002,國立清華大學,美國,北美洲,...,1,...
105,公立,一般大學,0002,國立清華大學,加拿大,北美洲,...,1,...
105,公立,一般大學,0003,國立臺灣大學,印度尼西亞共和國,東協,...,1,...
105,公立,一般大學,0003,國立臺灣大學,香港,港澳,...,1,...
105,公立,一般大學,0003,國立臺灣大學,日本,其他亞洲地區,...,5,...
105,公立,一般大學,0003,國立臺灣大學,法國,歐洲,...,3,...
105,公立,一般大學,0003,國立臺灣大學,荷蘭王國,歐洲,...,1,...
105,公立,一般大學,0003,國立臺灣大學,美國,北美洲,...,2,...
105,公立,一般大學,0004,國立臺灣師範大學,馬來西亞,東協,...,1,...
105,公立,一般大學,0004,國立臺灣師範大學,大陸地區,大陸地區,...,1,...
105,公立,一般大學,0004,國立臺灣師範大學,大韓民國(南韓),其他亞洲地區,...,5,...
105,公立,一般大學,0004,國立臺灣師範大學,日本,其他亞洲地區,...,3,...
105,公立,一般大學,0004,國立臺灣師範大學,芬蘭共和國,歐洲,...,1,...
105,公立,一般大學,0004,國立臺灣師範大學,德意志聯邦共和國,歐洲,...,1,...
105,公立,一般大學,0004,國立臺灣師範大學,法國,歐洲,...,1,...
105,公立,一般大學,0004,國立臺灣師範大學,比利時王國,歐洲,...,1,...
105,公立,一般大學,0004,國立臺灣師範大學,美國,北美洲,...,6,...
105,公立,一般大學,0005,國立成功大學,印度尼西亞共和國,東協,...,1,...
105,公立,一般大學,0005,國立成功大學,馬來西亞,東協,...,4,...
105,公立,一般大學,0005,國立成功大學,越南社會主義共和國,東協,...,1,...
105,公立,一般大學,0005,國立成功大學,泰國,東協,...,1,...
105,公立,一般大學,0005,國立成功大學,大陸地區,大陸地區,...,1,...
105,公立,一般大學,0005,國立成功大學,日本,其他亞洲地區,...,1,...
105,公立,一般大學,0005,國立成功大學,澳大利亞,其他亞洲地區,...,1,...
105,公立,一般大學,0005,國立成功大學,大韓民國(南韓),其他亞洲地區,...,1,...
105,公立,一般大學,0005,國立成功大學,法國,歐洲,...,2,...
105,公立,一般大學,0005,國立成功大學,英國,歐洲,...,4,...
105,公立,一般大學,0005,國立成功大學,義大利共和國,歐洲,...,1,...
105,公立,一般大學,0005,國立成功大學,德意志聯邦共和國,歐洲,...,1,...
105,公立,一般大學,0005,國立成功大學,美國,北美洲,...,9,...
105,公立,一般大學,0006,國立中興大學,越南社會主義共和國,東協,...,1,...
105,公立,一般大學,0006,國立中興大學,馬來西亞,東協,...,1,...
105,公立,一般大學,0006,國立中興大學,大陸地區,大陸地區,...,1,...
105,公立,一般大學,0006,國立中興大學,紐西蘭,其他亞洲地區,...,1,...
105,公立,一般大學,0006,國立中興大學,澳大利亞,其他亞洲地區,...,1,...
105,公立,一般大學,0006,國立中興大學,日本,其他亞洲地區,...,2,...
105,公立,一般大學,0006,國立中興大學,捷克共和國,歐洲,...,1,...
105,公立,一般大學,0006,國立中興大學,法國,歐洲,...,2,...
105,公立,一般大學,0006,國立中興大學,美國,北美洲,...,6,...
105,公立,一般大學,0006,國立中興大學,厄瓜多共和國,中南美洲,...,1,...
105,公立,一般大學,0007,國立陽明交通大學,馬來西亞,東協,...,2,...
105,公立,一般大學,0007,國立陽明交通大學,越南社會主義共和國,東協,...,2,...
105,公立,一般大學,0007,國立陽明交通大學,印度尼西亞共和國,東協,...,2,...
105,公立,一般大學,0007,國立陽明交通大學,大陸地區,大陸地區,...,6,...
105,公立,一般大學,0007,國立陽明交通大學,日本,其他亞洲地區,...,4,...
105,公立,一般大學,0007,國立陽明交通大學,大韓民國(南韓),其他亞洲地區,...,1,...
105,公立,一般大學,0007,國立陽明交通大學,澳大利亞,其他亞洲地區,...,1,...
105,公立,一般大學,0007,國立陽明交通大學,荷蘭王國,歐洲,...,1,...
105,公立,一般大學,0007,國立陽明交通大學,法國,歐洲,...,4,...
105,公立,一般大學,0007,國立陽明交通大學,瑞典王國,歐洲,...,1,...
105,公立,一般大學,0007,國立陽明交通大學,英國,歐洲,...,1,...
105,公立,一般大學,0007,國立陽明交通大學,比利時王國,歐洲,...,2,...
105,公立,一般大學,0007,國立陽明交通大學,美國,北美洲,...,8,...
105,公立,一般大學,0007,國立陽明交通大學,加拿大,北美洲,...,2,...
105,公立,一般大學,0009,國立中山大學,泰國,東協,...,1,...
105,公立,一般大學,0009,國立中山大學,印度尼西亞共和國,東協,...,1,...
105,公立,一般大學,0009,國立中山大學,大陸地區,大陸地區,...,1,...
105,公立,一般大學,0009,國立中山大學,比利時王國,歐洲,...,1,...
105,公立,一般大學,0009,國立中山大學,英國,歐洲,...,1,...
105,公立,一般大學,0009,國立中山大學,法國,歐洲,...,2,...
105,公立,一般大學,0009,國立中山大學,美國,北美洲,...,1,...
105,公立,一般大學,0012,國立臺灣海洋大學,印度尼西亞共和國,東協,...,1,...
105,公立,一般大學,0012,國立臺灣海洋大學,大陸地區,大陸地區,...,1,...
105,公立,一般大學,0012,國立臺灣海洋大學,大韓民國(南韓),其他亞洲地區,...,1,...
105,公立,一般大學,0012,國立臺灣海洋大學,日本,其他亞洲地區,...,1,...
105,公立,一般大學,0012,國立臺灣海洋大學,丹麥王國,歐洲,...,1,...
105,公立,一般大學,0012,國立臺灣海洋大學,法國,歐洲,...,1,...
105,公立,一般大學,0013,國立中正大學,日本,其他亞洲地區,...,1,...
105,公立,一般大學,0013,國立中正大學,澳大利亞,其他亞洲地區,...,1,...
105,公立,一般大學,0013,國立中正大學,美國,北美洲,...,4,...
105,公立,一般大學,0014,國立高雄師範大學,大韓民國(南韓),其他亞洲地區,...,1,...
105,公立,一般大學,0015,國立彰化師範大學,美國,北美洲,...,1,...
105,公立,一般大學,0016,國立陽明大學,馬來西亞,東協,...,1,...
105,公立,一般大學,0016,國立陽明大學,法國,歐洲,...,1,...
105,公立,一般大學,0017,國立臺北大學,瑞士聯邦,歐洲,...,2,...
105,公立,一般大學,0017,國立臺北大學,法國,歐洲,...,2,...
105,公立,一般大學,0017,國立臺北大學,英國,歐洲,...,3,...
105,公立,一般大學,0017,國立臺北大學,美國,北美洲,...,5,...
105,公立,一般大學,0019,國立高雄大學,泰國,東協,...,1,...
