學年度,設立別 ,學校類別,學校代碼,學校名稱,"日間/
進修",學制,"新生
註冊率","系所招生
特色說明",,
105,公立,一般大學,1,國立政治大學,日,學士班,98.17,學校未提供說明,,
105,公立,一般大學,1,國立政治大學,日,碩士班,91.97,學校未提供說明,,
105,公立,一般大學,1,國立政治大學,日,博士班,72.07,學校未提供說明,,
105,公立,一般大學,1,國立政治大學,職,碩士班,99.3,學校未提供說明,,
105,公立,一般大學,2,國立清華大學,日,學士班,95.89,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，申請金額不限，可以個人狀況及計畫實質內容核定金額。 二、本校致力開發多種跨領域學習課程，除教育學程外，另設29個跨院系學分學程，提供更為多元化及客制化學習機會。在課業之餘，校園內尚有文藝、音樂、體育、藝術、社會服務等社團，學生可培養多元興趣。 三、本校在多項學術指標：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛大學生等評比上均名列前茅，為國內頂尖學府。2015年英國QS世界大學排名，本校躍升至155名，較去年又進步12名，其排名各項指標表現為全國數一數二之成績。 四、大一新生均可住宿，校園景觀優美，人稱水木清華，全國第一。五、本校提供新生各管道入學之低收、中低收及特殊境遇家庭子女「旭日獎學金」，入學後得依本校「旭日獎學金施行要點」提出申請，經旭日獎學金委員會審議通過後核發，獎學金每年申請一次，最多四年。,,
105,公立,一般大學,2,國立清華大學,日,碩士班,93.46,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。還願獎學金依據實際需求提出申請，讓學生安心完成學業；逐夢獎學金為鼓勵學生勇於追尋並實現夢想，所提計畫亦不限於從事學術研究。 二、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2015年英國QS世界大學排名，本校躍升至155名，較去年又進步12名，其排名各項指標表現為全國數一數二之成績。 三、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有224所，包含亞洲137所、美洲29所、歐洲50所、大洋洲4所及非洲4所。在雙聯學位部分，本校有與瑞典林學平大學、美國凱斯西儲大學、法國n+i、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。,,
105,公立,一般大學,2,國立清華大學,日,博士班,89.43,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。還願獎學金依據實際需求提出申請，讓學生安心完成學業；逐夢獎學金為鼓勵學生勇於追尋並實現夢想，所提計畫亦不限於從事學術研究。 二、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2015年英國QS世界大學排名，本校躍升至155名，較去年又進步12名，其排名各項指標表現為全國數一數二之成績。 三、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有224所，包含亞洲137所、美洲29所、歐洲50所、大洋洲4所及非洲4所。在雙聯學位部分，本校有與瑞典林學平大學、美國凱斯西儲大學、法國n+i、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。,,
105,公立,一般大學,2,國立清華大學,職,碩士班,98.94,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。還願獎學金依據實際需求提出申請，讓學生安心完成學業；逐夢獎學金為鼓勵學生勇於追尋並實現夢想，所提計畫亦不限於從事學術研究。 二、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2015年英國QS世界大學排名，本校躍升至155名，較去年又進步12名，其排名各項指標表現為全國數一數二之成績。 三、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有224所，包含亞洲137所、美洲29所、歐洲50所、大洋洲4所及非洲4所。在雙聯學位部分，本校有與瑞典林學平大學、美國凱斯西儲大學、法國n+i、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。,,
105,公立,一般大學,3,國立臺灣大學,日,學士班,97.35,本校學士班計有54個學系，請參考各系所特色說明。本校招生訊息網址：http://www.aca.ntu.edu.tw/recruit.asp,,
105,公立,一般大學,3,國立臺灣大學,日,碩士班,96.97,本校碩士班計有116系所，請參考各系所特色說明。碩士班甄試網址：http://gra103.aca.ntu.edu.tw/graf，碩士班招生網址：http://gra103.aca.ntu.edu.tw/grab,,
