學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,參與競賽獲獎人次,學生論文出版及展演活動篇數(場數),學生論文出版及展演活動人次,在學學生出席國際會議人次
106,公立,一般大學,0001,國立政治大學,學士班(日間),203,0,0,31
106,公立,一般大學,0001,國立政治大學,碩士班(日間),29,22,18,11
106,公立,一般大學,0001,國立政治大學,碩士在職專班,0,1,1,0
106,公立,一般大學,0001,國立政治大學,博士班,3,90,44,0
106,公立,一般大學,0002,國立清華大學,學士班(日間),301,5,11,3
106,公立,一般大學,0002,國立清華大學,碩士班(日間),180,173,303,215
106,公立,一般大學,0002,國立清華大學,博士班,51,283,663,240
106,公立,一般大學,0003,國立臺灣大學,學士班(日間),132,8,20,31
106,公立,一般大學,0003,國立臺灣大學,碩士班(日間),63,81,79,247
106,公立,一般大學,0003,國立臺灣大學,博士班,36,126,124,240
106,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),523,12,44,9
106,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),142,218,216,224
106,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,1,13,13,30
106,公立,一般大學,0004,國立臺灣師範大學,博士班,8,156,146,137
106,公立,一般大學,0005,國立成功大學,學士班(日間),282,24,113,59
106,公立,一般大學,0005,國立成功大學,碩士班(日間),214,247,361,491
106,公立,一般大學,0005,國立成功大學,碩士在職專班,14,5,5,7
106,公立,一般大學,0005,國立成功大學,博士班,63,432,480,327
106,公立,一般大學,0006,國立中興大學,學士班(日間),90,1,5,8
106,公立,一般大學,0006,國立中興大學,碩士班(日間),50,102,108,157
106,公立,一般大學,0006,國立中興大學,碩士在職專班,0,2,2,7
106,公立,一般大學,0006,國立中興大學,博士班,17,74,78,94
106,公立,一般大學,0007,國立陽明交通大學,學士班(日間),158,0,1,0
106,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),175,149,209,344
106,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,5,2,2,28
106,公立,一般大學,0007,國立陽明交通大學,博士班,68,286,302,228
106,公立,一般大學,0008,國立中央大學,學士班(日間),154,0,0,0
106,公立,一般大學,0008,國立中央大學,碩士班(日間),42,33,33,52
106,公立,一般大學,0008,國立中央大學,博士班,23,69,69,94
106,公立,一般大學,0009,國立中山大學,學士班(日間),34,10,289,2
106,公立,一般大學,0009,國立中山大學,碩士班(日間),30,22,30,46
106,公立,一般大學,0009,國立中山大學,博士班,9,51,78,78
106,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),50,6,9,13
106,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),101,152,177,343
106,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,0,0,0,2
106,公立,一般大學,0012,國立臺灣海洋大學,博士班,3,42,34,52
106,公立,一般大學,0013,國立中正大學,學士班(日間),348,10,10,40
106,公立,一般大學,0013,國立中正大學,碩士班(日間),68,119,158,162
106,公立,一般大學,0013,國立中正大學,碩士在職專班,6,0,1,0
106,公立,一般大學,0013,國立中正大學,博士班,10,139,139,99
106,公立,一般大學,0014,國立高雄師範大學,學士班(日間),257,26,105,9
106,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),13,31,32,33
106,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,7,45,24,7
106,公立,一般大學,0014,國立高雄師範大學,博士班,0,45,24,4
106,公立,一般大學,0015,國立彰化師範大學,學士班(日間),274,13,24,7
106,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),42,82,98,68
106,公立,一般大學,0015,國立彰化師範大學,博士班,2,21,18,14
106,公立,一般大學,0016,國立陽明大學,學士班(日間),0,3,3,7
106,公立,一般大學,0016,國立陽明大學,碩士班(日間),1,94,94,94
106,公立,一般大學,0016,國立陽明大學,博士班,0,128,128,97
106,公立,一般大學,0017,國立臺北大學,學士班(日間),408,3,6,4
106,公立,一般大學,0017,國立臺北大學,學士班(進修),2,0,0,0
106,公立,一般大學,0017,國立臺北大學,碩士班(日間),19,8,10,5
106,公立,一般大學,0017,國立臺北大學,博士班,0,0,0,4
106,公立,一般大學,0018,國立嘉義大學,學士班(日間),111,39,49,52
106,公立,一般大學,0018,國立嘉義大學,學士班(進修),8,0,0,7
106,公立,一般大學,0018,國立嘉義大學,碩士班(日間),19,116,122,165
106,公立,一般大學,0018,國立嘉義大學,碩士在職專班,2,41,58,16
106,公立,一般大學,0018,國立嘉義大學,博士班,1,14,29,13
106,公立,一般大學,0019,國立高雄大學,學士班(日間),113,6,6,28
106,公立,一般大學,0019,國立高雄大學,學士班(進修),0,0,0,3
106,公立,一般大學,0019,國立高雄大學,碩士班(日間),18,39,64,74
106,公立,一般大學,0019,國立高雄大學,碩士在職專班,4,4,20,10
106,公立,一般大學,0019,國立高雄大學,博士班,0,3,3,1
106,公立,一般大學,0020,國立東華大學,學士班(日間),249,26,574,130
106,公立,一般大學,0020,國立東華大學,碩士班(日間),50,71,129,77
106,公立,一般大學,0020,國立東華大學,碩士在職專班,5,0,0,5
106,公立,一般大學,0020,國立東華大學,博士班,5,27,21,43
106,公立,一般大學,0021,國立暨南國際大學,學士班(日間),63,7,15,2
106,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),2,24,23,85
106,公立,一般大學,0021,國立暨南國際大學,博士班,0,24,19,15
106,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),55,17,44,21
106,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),205,26,39,83
106,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,0,0,0,22
106,公立,技專校院,0022,國立臺灣科技大學,博士班,10,17,20,22
106,公立,技專校院,0023,國立雲林科技大學,學士班(日間),273,7,122,0
106,公立,技專校院,0023,國立雲林科技大學,學士班(進修),2,0,0,0
106,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),112,346,400,54
106,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,5,14,14,0
