學年度,設立別,學校類別,學校統計處代碼,學校名稱,獎助生人數(含研究獎助生、附服務負擔助學生),勞僱型學生兼任助理人數(含研究助理、教學助理、工讀生)
109,公立,一般大學,0001,國立政治大學,3568,3736
109,公立,一般大學,0002,國立清華大學,6038,2255
109,公立,一般大學,0003,國立臺灣大學,11822,5847
109,公立,一般大學,0004,國立臺灣師範大學,2891,2325
109,公立,一般大學,0005,國立成功大學,7721,3852
109,公立,一般大學,0006,國立中興大學,3339,2765
109,公立,一般大學,0007,國立陽明交通大學,7501,2844
109,公立,一般大學,0008,國立中央大學,3493,3527
109,公立,一般大學,0009,國立中山大學,2827,3903
109,公立,一般大學,0012,國立臺灣海洋大學,956,2657
109,公立,一般大學,0013,國立中正大學,2467,1985
109,公立,一般大學,0014,國立高雄師範大學,409,1589
109,公立,一般大學,0015,國立彰化師範大學,614,611
109,公立,一般大學,0017,國立臺北大學,772,1883
109,公立,一般大學,0018,國立嘉義大學,937,2414
109,公立,一般大學,0019,國立高雄大學,815,536
109,公立,一般大學,0020,國立東華大學,759,2631
109,公立,一般大學,0021,國立暨南國際大學,1251,1917
109,公立,技專校院,0022,國立臺灣科技大學,3656,869
109,公立,技專校院,0023,國立雲林科技大學,1527,3525
109,公立,技專校院,0024,國立屏東科技大學,1879,937
109,公立,技專校院,0025,國立臺北科技大學,3991,910
109,公立,一般大學,0028,國立臺北藝術大學,24,581
109,公立,一般大學,0029,國立臺灣藝術大學,24,1094
109,公立,一般大學,0030,國立臺東大學,810,799
109,公立,一般大學,0031,國立宜蘭大學,871,759
109,公立,一般大學,0032,國立聯合大學,1037,842
109,公立,技專校院,0033,國立虎尾科技大學,830,1670
109,公立,一般大學,0035,國立臺南藝術大學,117,630
109,公立,一般大學,0036,國立臺南大學,438,1212
109,公立,一般大學,0037,國立臺北教育大學,505,1228
109,公立,一般大學,0039,國立臺中教育大學,780,437
109,公立,技專校院,0042,國立澎湖科技大學,195,472
109,公立,技專校院,0043,國立勤益科技大學,793,1429
109,公立,一般大學,0044,國立體育大學,159,3038
109,公立,技專校院,0046,國立臺北護理健康大學,3,734
109,公立,技專校院,0047,國立高雄餐旅大學,0,697
109,公立,一般大學,0048,國立金門大學,157,165
109,公立,一般大學,0049,國立臺灣體育運動大學,257,170
109,公立,技專校院,0050,國立臺中科技大學,217,1065
109,公立,技專校院,0051,國立臺北商業大學,792,225
109,公立,一般大學,0052,國立屏東大學,541,1797
109,公立,技專校院,0053,國立高雄科技大學,2187,4194
109,公立,技專校院,0144,國立臺灣戲曲學院,0,36
109,公立,技專校院,0221,國立臺南護理專科學校,13,419
109,公立,技專校院,0222,國立臺東專科學校,1,303
109,私立,一般大學,1001,東海大學,1155,2830
109,私立,一般大學,1002,輔仁大學,733,1774
109,私立,一般大學,1003,東吳大學,613,2445
109,私立,一般大學,1004,中原大學,1113,2666
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,854,2738
109,私立,一般大學,1006,中國文化大學,657,2055
109,私立,一般大學,1007,逢甲大學,2071,1944
109,私立,一般大學,1008,靜宜大學,244,1879
109,私立,一般大學,1009,長庚大學,1089,1160
109,私立,一般大學,1010,元智大學,971,2038
109,私立,一般大學,1011,中華大學學校財團法人中華大學,78,844
109,私立,一般大學,1012,大葉大學,390,788
109,私立,一般大學,1013,華梵大學,46,147
109,私立,一般大學,1014,義守大學,527,1420
109,私立,一般大學,1015,世新大學,189,683
109,私立,一般大學,1016,銘傳大學,614,1806
109,私立,一般大學,1017,實踐大學,139,1622
109,私立,技專校院,1018,朝陽科技大學,0,1959
109,私立,一般大學,1019,高雄醫學大學,423,1530
109,私立,一般大學,1020,南華大學,68,787
109,私立,一般大學,1021,真理大學,128,405
109,私立,一般大學,1022,大同大學,188,487
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,566,1290
109,私立,技專校院,1024,崑山科技大學,524,1866
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,12,1046
109,私立,技專校院,1026,樹德科技大學,141,990
109,私立,一般大學,1027,慈濟學校財團法人慈濟大學,84,949
109,私立,一般大學,1028,臺北醫學大學,752,1522
109,私立,一般大學,1029,中山醫學大學,231,687
109,私立,技專校院,1030,龍華科技大學,57,675
109,私立,技專校院,1031,輔英科技大學,425,465
109,私立,技專校院,1032,明新學校財團法人明新科技大學,120,687
109,私立,一般大學,1033,長榮大學,436,1485
109,私立,技專校院,1034,弘光科技大學,149,1443
109,私立,一般大學,1035,中國醫藥大學,372,675
109,私立,技專校院,1036,健行學校財團法人健行科技大學,89,669
109,私立,技專校院,1037,正修學校財團法人正修科技大學,0,1524
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,178,345
109,私立,一般大學,1039,玄奘大學,27,415
109,私立,技專校院,1040,建國科技大學,84,393
109,私立,技專校院,1041,明志科技大學,399,1094
109,私立,技專校院,1042,高苑科技大學,79,273
109,私立,技專校院,1043,大仁科技大學,74,360
109,私立,技專校院,1044,聖約翰科技大學,65,74
109,私立,技專校院,1045,嶺東科技大學,56,626
109,私立,技專校院,1046,中國科技大學,63,606
109,私立,技專校院,1047,中臺科技大學,158,699
109,私立,一般大學,1048,亞洲大學,426,1728
109,私立,一般大學,1049,開南大學,141,537
109,私立,一般大學,1050,佛光大學,79,872
109,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,87,1424
109,私立,技專校院,1052,遠東科技大學,128,346
109,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,91,595
109,私立,技專校院,1054,景文科技大學,10,710
109,私立,技專校院,1055,中華醫事科技大學,98,262
109,私立,技專校院,1056,東南科技大學,36,419
109,私立,技專校院,1057,德明財經科技大學,0,609
109,私立,一般大學,1058,明道學校財團法人明道大學,136,106
109,私立,技專校院,1060,南開科技大學,50,230
109,私立,技專校院,1061,中華學校財團法人中華科技大學,60,212
109,私立,技專校院,1062,僑光科技大學,118,557
109,私立,技專校院,1063,廣亞學校財團法人育達科技大學,54,433
109,私立,技專校院,1064,美和學校財團法人美和科技大學,412,1132
109,私立,技專校院,1065,吳鳳科技大學,102,441
109,私立,技專校院,1066,環球學校財團法人環球科技大學,68,201
109,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,53,102
109,私立,技專校院,1068,中州學校財團法人中州科技大學,55,128
109,私立,技專校院,1069,修平學校財團法人修平科技大學,169,490
109,私立,技專校院,1070,長庚學校財團法人長庚科技大學,145,784
109,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,213,308
109,私立,技專校院,1072,大華學校財團法人敏實科技大學,50,50
109,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,56,630
109,私立,技專校院,1075,文藻學校財團法人文藻外語大學,0,570
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,0,25
109,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,28,1097
109,私立,技專校院,1078,致理學校財團法人致理科技大學,96,953
109,私立,一般大學,1079,康寧學校財團法人康寧大學,0,44
109,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,0,96
109,私立,技專校院,1081,東方學校財團法人東方設計大學,0,83
109,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,33,291
109,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,24,870
109,私立,技專校院,1084,亞東學校財團法人亞東科技大學,144,457
109,私立,一般大學,1125,中信學校財團法人中信金融管理學院,288,82
109,私立,技專校院,1148,大漢技術學院,0,28
109,私立,技專校院,1159,和春技術學院,10,20
109,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,634,115
109,私立,技專校院,1182,蘭陽技術學院,20,22
109,私立,技專校院,1183,黎明技術學院,54,517
109,私立,技專校院,1185,經國管理暨健康學院,79,338
109,私立,技專校院,1188,大同技術學院,0,45
