學年度,設立別,學校類別,學校統計處代碼,學校名稱,工讀助學金純助學型-人數,工讀助學金純助學型-金額,工讀助學金純助學型-時數,工讀助學金純勞僱型-人數,工讀助學金純勞僱型-金額,工讀助學金純勞僱型-時數,工讀助學金純附服務負擔型-人數,工讀助學金純附服務負擔型-金額,工讀助學金純附服務負擔型-時數,生活助學金純助學型-人數,生活助學金純助學型-金額,生活助學金純助學型-時數,生活助學金純附服務負擔型-人數,生活助學金純附服務負擔型-金額,生活助學金純附服務負擔型-時數
109,公立,一般大學,0001,國立政治大學,0,0,0.00,3736,9644,61.00,3472,10256,63.00,0,0,0.00,228,6779,18.00
109,公立,一般大學,0002,國立清華大學,0,0,0.00,1308,14819,91.00,0,0,0.00,0,0,0.00,41,6000,30.00
109,公立,一般大學,0003,國立臺灣大學,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,644,6000,20.00
109,公立,一般大學,0004,國立臺灣師範大學,0,0,0.00,0,0,0.00,0,0,0.00,5,3000,0.00,455,6000,16.00
109,公立,一般大學,0005,國立成功大學,0,0,0.00,517,4996,33.00,0,0,0.00,107,3333,0.00,0,0,0.00
109,公立,一般大學,0006,國立中興大學,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,780,6000,30.00
109,公立,一般大學,0007,國立陽明交通大學,994,1495,0.00,4405,1705,8.00,0,0,0.00,0,0,0.00,80,6000,8.00
109,公立,一般大學,0008,國立中央大學,0,0,0.00,803,3476,21.00,0,0,0.00,0,0,0.00,72,6000,28.00
109,公立,一般大學,0009,國立中山大學,0,0,0.00,2430,4363,23.00,0,0,0.00,23,3000,0.00,0,0,0.00
109,公立,一般大學,0012,國立臺灣海洋大學,0,0,0.00,1050,1725,11.00,0,0,0.00,0,0,0.00,41,6000,30.00
109,公立,一般大學,0013,國立中正大學,0,0,0.00,930,4092,26.00,2612,3378,21.00,0,0,0.00,12,6000,18.00
109,公立,一般大學,0014,國立高雄師範大學,0,0,0.00,169,3218,20.00,0,0,0.00,13,3000,0.00,19,6000,17.00
109,公立,一般大學,0015,國立彰化師範大學,0,0,0.00,271,4585,27.00,0,0,0.00,57,2000,0.00,0,0,0.00
109,公立,一般大學,0017,國立臺北大學,0,0,0.00,705,1470,10.00,0,0,0.00,0,0,0.00,210,6000,30.00
109,公立,一般大學,0018,國立嘉義大學,0,0,0.00,1974,8868,56.00,0,0,0.00,0,0,0.00,41,6000,30.00
109,公立,一般大學,0019,國立高雄大學,0,0,0.00,668,5989,14.00,0,0,0.00,5,6000,0.00,0,0,0.00
109,公立,一般大學,0020,國立東華大學,0,0,0.00,592,4772,30.00,0,0,0.00,0,0,0.00,46,5863,24.00
109,公立,一般大學,0021,國立暨南國際大學,0,0,0.00,518,3339,20.00,0,0,0.00,0,0,0.00,102,6000,30.00
109,公立,技專校院,0022,國立臺灣科技大學,0,0,0.00,578,4542,28.00,1505,3212,20.00,0,0,0.00,0,0,0.00
109,公立,技專校院,0023,國立雲林科技大學,0,0,0.00,1400,4015,24.00,0,0,0.00,0,0,0.00,20,6000,30.00
109,公立,技專校院,0024,國立屏東科技大學,0,0,0.00,761,7073,38.00,0,0,0.00,262,2823,0.00,506,7701,33.00
109,公立,技專校院,0025,國立臺北科技大學,0,0,0.00,116,7040,38.00,0,0,0.00,0,0,0.00,131,6000,30.00
109,公立,一般大學,0028,國立臺北藝術大學,0,0,0.00,698,779,4.00,0,0,0.00,0,0,0.00,13,6000,30.00
109,公立,一般大學,0029,國立臺灣藝術大學,1193,1440,9.00,0,0,0.00,0,0,0.00,0,0,0.00,10,6000,30.00
109,公立,一般大學,0030,國立臺東大學,0,0,0.00,797,5907,37.00,390,6776,43.00,0,0,0.00,97,6000,30.00
109,公立,一般大學,0031,國立宜蘭大學,0,0,0.00,18,8018,50.00,239,5780,36.00,0,0,0.00,20,6000,26.00
109,公立,一般大學,0032,國立聯合大學,673,3016,19.00,0,0,0.00,0,0,0.00,0,0,0.00,24,6000,30.00
109,公立,技專校院,0033,國立虎尾科技大學,0,0,0.00,1670,5643,36.00,0,0,0.00,0,0,0.00,38,6000,30.00
109,公立,一般大學,0035,國立臺南藝術大學,0,0,0.00,193,4758,30.00,0,0,0.00,22,6000,15.00,0,0,0.00
109,公立,一般大學,0036,國立臺南大學,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,250,3159,20.00
109,公立,一般大學,0037,國立臺北教育大學,0,0,0.00,322,3200,20.00,0,0,0.00,1,3000,0.00,10,6000,30.00
109,公立,一般大學,0039,國立臺中教育大學,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,935,608,4.00
109,公立,技專校院,0042,國立澎湖科技大學,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,127,6000,30.00
109,公立,技專校院,0043,國立勤益科技大學,0,0,0.00,0,0,0.00,0,0,0.00,35,9000,30.00,30,6000,30.00
109,公立,一般大學,0044,國立體育大學,0,0,0.00,25,7076,37.00,125,5113,0.00,9,13063,0.00,80,6000,20.00
109,公立,技專校院,0046,國立臺北護理健康大學,0,0,0.00,140,5555,35.00,0,0,0.00,0,0,0.00,12,6000,12.00
109,公立,技專校院,0047,國立高雄餐旅大學,0,0,0.00,374,6310,39.00,0,0,0.00,0,0,0.00,0,0,0.00
109,公立,一般大學,0048,國立金門大學,0,0,0.00,0,0,0.00,1114,4640,29.00,0,0,0.00,16,6000,30.00
109,公立,一般大學,0049,國立臺灣體育運動大學,0,0,0.00,21,19988,121.00,0,0,0.00,0,0,0.00,75,6000,20.00
109,公立,技專校院,0050,國立臺中科技大學,0,0,0.00,356,12175,76.00,0,0,0.00,0,0,0.00,10,6000,30.00
109,公立,技專校院,0051,國立臺北商業大學,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,470,4831,19.00
109,公立,一般大學,0052,國立屏東大學,0,0,0.00,566,4917,29.00,0,0,0.00,0,0,0.00,26,6000,30.00
109,公立,技專校院,0053,國立高雄科技大學,0,0,0.00,786,7479,47.00,0,0,0.00,0,0,0.00,563,6000,29.00
109,公立,技專校院,0144,國立臺灣戲曲學院,0,0,0.00,0,0,0.00,0,0,0.00,5,5000,0.00,0,0,0.00
109,公立,技專校院,0221,國立臺南護理專科學校,0,0,0.00,112,4068,51.00,0,0,0.00,0,0,0.00,13,6000,20.00
109,公立,技專校院,0222,國立臺東專科學校,0,0,0.00,27,3618,24.00,0,0,0.00,0,0,0.00,1,6000,30.00
109,私立,一般大學,1001,東海大學,8,1621,0.00,2566,5973,37.00,748,6791,37.00,0,0,0.00,278,6000,30.00
