學年度,設立別,學校類別,學校統計處代碼,學校名稱,工作月數,"獎助生月支領金額人數-月領3,000元以下","獎助生月支領金額人數-月領3,001~6,000元以下","獎助生月支領金額人數-月領6,001~9,000元以下","獎助生月支領金額人數-月領9,001~基本工資一半以下",獎助生月支領金額人數-月領基本工資一半以上~未達基本工資以下,獎助生月支領金額人數-月領基本工資以上,"勞僱型學生兼任助理月支領金額人數-月領3,000元以下","勞僱型學生兼任助理月支領金額人數-月領3,001~6,000元以下","勞僱型學生兼任助理月支領金額人數-月領6,001~9,000元以下","勞僱型學生兼任助理月支領金額人數-月領9,001~基本工資一半以下",勞僱型學生兼任助理月支領金額人數-月領基本工資一半以上~未達基本工資以下,勞僱型學生兼任助理月支領金額人數-月領基本工資以上
109,公立,一般大學,0001,國立政治大學,12個月,0,11,17,33,31,13,0,25,13,23,37,2
109,公立,一般大學,0001,國立政治大學,1個月,174,196,130,158,116,79,848,308,105,120,98,96
109,公立,一般大學,0001,國立政治大學,2個月,52,76,73,59,69,16,102,74,57,54,73,35
109,公立,一般大學,0001,國立政治大學,3個月,38,96,81,56,46,16,39,72,72,49,71,18
109,公立,一般大學,0001,國立政治大學,4個月,33,113,55,49,67,15,18,29,49,46,85,20
109,公立,一般大學,0001,國立政治大學,5個月,10,41,46,44,45,4,9,37,44,74,113,13
109,公立,一般大學,0001,國立政治大學,6個月,4,83,68,45,45,9,3,15,20,44,35,9
109,公立,一般大學,0001,國立政治大學,7個月,11,69,64,44,37,7,3,14,14,30,50,3
109,公立,一般大學,0001,國立政治大學,8個月,8,98,88,53,41,1,2,12,23,33,48,5
109,公立,一般大學,0001,國立政治大學,9個月,9,48,90,61,74,7,0,9,29,30,49,5
109,公立,一般大學,0001,國立政治大學,10個月,2,32,49,59,57,12,0,10,42,85,104,11
109,公立,一般大學,0001,國立政治大學,11個月,0,13,26,31,54,11,0,4,15,24,19,9
109,公立,一般大學,0002,國立清華大學,12個月,52,452,598,285,320,79,9,68,58,28,26,3
109,公立,一般大學,0002,國立清華大學,1個月,229,200,82,68,44,12,331,385,86,54,205,123
109,公立,一般大學,0002,國立清華大學,2個月,33,97,30,29,23,8,43,144,62,23,24,21
109,公立,一般大學,0002,國立清華大學,3個月,30,114,54,36,28,5,37,74,35,11,21,8
109,公立,一般大學,0002,國立清華大學,4個月,51,237,79,47,27,6,92,183,52,13,14,8
109,公立,一般大學,0002,國立清華大學,5個月,34,146,87,58,52,15,29,84,32,13,22,4
109,公立,一般大學,0002,國立清華大學,6個月,22,109,68,36,57,6,21,47,24,18,76,11
109,公立,一般大學,0002,國立清華大學,7個月,28,56,33,19,13,3,17,94,143,21,91,15
109,公立,一般大學,0002,國立清華大學,8個月,20,57,40,15,17,4,24,84,33,15,35,4
109,公立,一般大學,0002,國立清華大學,9個月,26,78,57,28,16,5,24,123,63,16,16,2
109,公立,一般大學,0002,國立清華大學,10個月,36,247,218,67,28,10,37,205,90,32,41,2
109,公立,一般大學,0002,國立清華大學,11個月,58,512,393,157,96,20,12,97,80,20,23,1
109,公立,一般大學,0003,國立臺灣大學,12個月,52,233,138,109,90,23,70,225,288,99,31,3
109,公立,一般大學,0003,國立臺灣大學,1個月,190,344,215,233,118,32,439,267,152,84,75,11
109,公立,一般大學,0003,國立臺灣大學,2個月,64,377,222,196,142,55,46,536,283,119,49,6
109,公立,一般大學,0003,國立臺灣大學,3個月,42,217,146,139,89,43,18,88,78,79,27,4
109,公立,一般大學,0003,國立臺灣大學,4個月,23,140,94,111,97,33,6,35,60,41,17,1
109,公立,一般大學,0003,國立臺灣大學,5個月,28,146,105,75,60,16,15,72,93,55,16,2
109,公立,一般大學,0003,國立臺灣大學,6個月,18,118,139,122,88,29,1,73,73,36,18,2
109,公立,一般大學,0003,國立臺灣大學,7個月,36,516,224,134,99,30,23,374,238,99,84,21
109,公立,一般大學,0003,國立臺灣大學,8個月,64,403,366,233,178,37,10,55,78,74,40,0
109,公立,一般大學,0003,國立臺灣大學,9個月,110,838,819,603,601,355,7,34,56,84,82,0
109,公立,一般大學,0003,國立臺灣大學,10個月,80,225,104,142,61,33,70,166,123,62,37,7
109,公立,一般大學,0003,國立臺灣大學,11個月,46,178,125,134,80,17,27,109,109,67,16,2
109,公立,一般大學,0004,國立臺灣師範大學,12個月,80,438,213,380,232,102,1,19,6,17,13,1
109,公立,一般大學,0004,國立臺灣師範大學,1個月,5,111,9,18,14,1,188,139,80,44,75,22
109,公立,一般大學,0004,國立臺灣師範大學,2個月,2,35,12,8,5,1,111,56,82,35,63,6
109,公立,一般大學,0004,國立臺灣師範大學,3個月,6,53,7,10,6,5,11,63,19,23,34,2
109,公立,一般大學,0004,國立臺灣師範大學,4個月,8,49,3,1,2,3,3,428,39,22,14,0
109,公立,一般大學,0004,國立臺灣師範大學,5個月,16,120,14,37,6,4,1,72,30,28,26,1
109,公立,一般大學,0004,國立臺灣師範大學,6個月,3,100,24,22,10,5,3,33,14,19,17,2
109,公立,一般大學,0004,國立臺灣師範大學,7個月,2,28,7,9,6,1,2,34,9,16,11,1
109,公立,一般大學,0004,國立臺灣師範大學,8個月,6,38,9,7,4,0,2,179,25,8,12,0
109,公立,一般大學,0004,國立臺灣師範大學,9個月,9,28,8,2,3,0,1,19,8,8,5,0
109,公立,一般大學,0004,國立臺灣師範大學,10個月,14,151,19,21,10,7,1,16,25,18,13,3
109,公立,一般大學,0004,國立臺灣師範大學,11個月,11,221,38,35,15,2,1,17,8,11,9,1
109,公立,一般大學,0005,國立成功大學,12個月,37,344,291,310,526,173,1,15,70,31,36,22
109,公立,一般大學,0005,國立成功大學,1個月,151,230,106,107,173,13,235,201,180,107,164,59
109,公立,一般大學,0005,國立成功大學,2個月,27,186,76,89,102,19,42,96,101,72,101,34
109,公立,一般大學,0005,國立成功大學,3個月,27,132,72,95,108,12,7,54,52,39,80,23
109,公立,一般大學,0005,國立成功大學,4個月,22,176,79,74,107,18,114,220,80,59,69,25
109,公立,一般大學,0005,國立成功大學,5個月,40,203,111,120,168,22,22,74,69,32,72,23
109,公立,一般大學,0005,國立成功大學,6個月,20,107,49,81,128,26,0,35,45,19,42,16
109,公立,一般大學,0005,國立成功大學,7個月,7,74,52,77,110,16,4,47,34,30,30,16
109,公立,一般大學,0005,國立成功大學,8個月,7,74,67,71,113,17,90,96,49,23,36,13
109,公立,一般大學,0005,國立成功大學,9個月,6,70,64,58,143,16,21,64,36,19,25,7
109,公立,一般大學,0005,國立成功大學,10個月,19,190,179,148,234,32,2,55,43,27,31,13
109,公立,一般大學,0005,國立成功大學,11個月,43,225,178,167,266,41,0,47,73,26,45,12
109,公立,一般大學,0006,國立中興大學,12個月,39,188,86,44,17,8,0,4,0,0,2,0
109,公立,一般大學,0006,國立中興大學,1個月,388,137,48,53,29,7,335,94,77,49,60,3
109,公立,一般大學,0006,國立中興大學,2個月,63,74,47,24,23,3,89,90,66,130,35,9
109,公立,一般大學,0006,國立中興大學,3個月,59,109,34,31,21,3,35,112,84,55,27,4
109,公立,一般大學,0006,國立中興大學,4個月,48,129,53,35,18,5,70,131,61,45,22,3
109,公立,一般大學,0006,國立中興大學,5個月,42,186,66,69,31,13,75,144,66,20,15,5
109,公立,一般大學,0006,國立中興大學,6個月,30,136,61,22,15,7,5,40,10,15,28,3
109,公立,一般大學,0006,國立中興大學,7個月,33,90,39,25,17,4,6,55,12,3,2,0
109,公立,一般大學,0006,國立中興大學,8個月,10,64,15,10,2,3,45,159,22,5,3,0
109,公立,一般大學,0006,國立中興大學,9個月,22,50,23,13,6,0,66,99,29,10,9,0
109,公立,一般大學,0006,國立中興大學,10個月,43,69,39,9,4,3,13,44,35,3,3,0
109,公立,一般大學,0006,國立中興大學,11個月,49,120,53,14,7,2,0,4,3,1,2,1
109,公立,一般大學,0007,國立陽明交通大學,12個月,39,377,466,336,378,180,0,5,5,6,4,3
109,公立,一般大學,0007,國立陽明交通大學,1個月,103,189,85,119,24,18,325,289,126,80,60,6
109,公立,一般大學,0007,國立陽明交通大學,2個月,40,161,93,84,41,26,67,199,128,81,64,10
109,公立,一般大學,0007,國立陽明交通大學,3個月,51,162,92,108,41,12,26,125,81,35,44,7
109,公立,一般大學,0007,國立陽明交通大學,4個月,49,170,76,92,60,22,20,208,66,35,30,1
109,公立,一般大學,0007,國立陽明交通大學,5個月,56,203,127,129,71,38,15,100,48,21,18,4
109,公立,一般大學,0007,國立陽明交通大學,6個月,58,204,110,112,79,31,9,38,26,13,10,0
109,公立,一般大學,0007,國立陽明交通大學,7個月,45,161,74,69,66,22,3,38,22,25,6,2
109,公立,一般大學,0007,國立陽明交通大學,8個月,14,53,77,48,31,8,1,44,22,14,5,0
109,公立,一般大學,0007,國立陽明交通大學,9個月,17,93,120,59,51,16,4,55,24,17,14,0
109,公立,一般大學,0007,國立陽明交通大學,10個月,36,127,146,73,60,17,2,21,13,10,8,0
109,公立,一般大學,0007,國立陽明交通大學,11個月,79,324,303,187,161,52,7,28,5,10,5,1
109,公立,一般大學,0008,國立中央大學,12個月,8,141,197,154,132,66,5,19,16,16,5,0
109,公立,一般大學,0008,國立中央大學,1個月,61,76,65,52,26,5,389,159,73,58,36,7
109,公立,一般大學,0008,國立中央大學,2個月,18,60,40,46,26,3,121,114,88,117,28,0
