,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,畢業生總人數,男,女
,101,公立,一般大學,1,國立政治大學,140101,教育學系,學士班(日間),49,11,38
,101,公立,一般大學,1,國立政治大學,140101,教育學系,碩士班(日間),18,1,17
,101,公立,一般大學,1,國立政治大學,140101,教育學系,博士班,10,5,5
,101,公立,一般大學,1,國立政治大學,140203,華語文教學碩士學位學程,碩士班(日間),14,2,12
,101,公立,一般大學,1,國立政治大學,140203,華語文教學博士學位學程,博士班,1,0,1
,101,公立,一般大學,1,國立政治大學,140218,國文教學碩士在職專班,碩士在職專班,14,1,13
,101,公立,一般大學,1,國立政治大學,140219,數學教學碩士在職專班,碩士在職專班,14,8,6
,101,公立,一般大學,1,國立政治大學,140401,幼兒教育研究所,碩士班(日間),9,0,9
,101,公立,一般大學,1,國立政治大學,140701,教育行政與政策研究所,碩士班(日間),15,7,8
,101,公立,一般大學,1,國立政治大學,140709,學校行政碩士在職專班,碩士在職專班,19,10,9
,101,公立,一般大學,1,國立政治大學,220101,台灣文學研究所,碩士班(日間),10,4,6
,101,公立,一般大學,1,國立政治大學,220201,中國文學系,學士班(日間),87,25,62
,101,公立,一般大學,1,國立政治大學,220201,中國文學系,碩士班(日間),18,9,9
,101,公立,一般大學,1,國立政治大學,220201,中國文學系,博士班,7,4,3
,101,公立,一般大學,1,國立政治大學,220307,英國語文學系,學士班(日間),83,20,63
,101,公立,一般大學,1,國立政治大學,220307,英國語文學系,碩士班(日間),14,6,8
,101,公立,一般大學,1,國立政治大學,220307,英國語文學系英語教學碩士在職專班,碩士在職專班,11,0,11
,101,公立,一般大學,1,國立政治大學,220320,日本語文學系,學士班(日間),36,11,25
,101,公立,一般大學,1,國立政治大學,220320,日本語文學系,碩士班(日間),7,2,5
,101,公立,一般大學,1,國立政治大學,220322,阿拉伯語文學系,學士班(日間),40,12,28
,101,公立,一般大學,1,國立政治大學,220324,韓國語文學系,學士班(日間),43,4,39
,101,公立,一般大學,1,國立政治大學,220326,土耳其語文學系,學士班(日間),33,5,28
,101,公立,一般大學,1,國立政治大學,220327,歐洲語文學系,學士班(日間),62,13,49
,101,公立,一般大學,1,國立政治大學,220327,歐洲語言文化學程碩士在職專班,碩士在職專班,5,0,5
,101,公立,一般大學,1,國立政治大學,220333,斯拉夫語文學系,學士班(日間),60,12,48
,101,公立,一般大學,1,國立政治大學,220333,斯拉夫語文學系,碩士班(日間),6,3,3
,101,公立,一般大學,1,國立政治大學,220701,語言學研究所,碩士班(日間),11,1,10
,101,公立,一般大學,1,國立政治大學,220701,語言學研究所,博士班,1,1,0
,101,公立,一般大學,1,國立政治大學,220801,宗教研究所,碩士班(日間),5,1,4
,101,公立,一般大學,1,國立政治大學,220801,宗教研究所,博士班,1,1,0
,101,公立,一般大學,1,國立政治大學,220901,歷史學系,學士班(日間),49,24,25
,101,公立,一般大學,1,國立政治大學,220901,歷史學系,碩士班(日間),16,12,4
,101,公立,一般大學,1,國立政治大學,220901,歷史學系,博士班,3,2,1
,101,公立,一般大學,1,國立政治大學,220903,台灣史研究所,碩士班(日間),10,6,4
,101,公立,一般大學,1,國立政治大學,220903,台灣史研究所,博士班,2,2,0
,101,公立,一般大學,1,國立政治大學,221101,哲學系,學士班(日間),33,13,20
,101,公立,一般大學,1,國立政治大學,221101,哲學系,碩士班(日間),8,3,5
,101,公立,一般大學,1,國立政治大學,221101,哲學系,博士班,4,3,1
,101,公立,一般大學,1,國立政治大學,310101,經濟學系,學士班(日間),102,45,57
,101,公立,一般大學,1,國立政治大學,310101,經濟學系,碩士班(日間),17,11,6
,101,公立,一般大學,1,國立政治大學,310101,經濟學系,博士班,8,5,3
,101,公立,一般大學,1,國立政治大學,310201,政治學系,學士班(日間),45,20,25
,101,公立,一般大學,1,國立政治大學,310201,政治學系,碩士班(日間),14,7,7
,101,公立,一般大學,1,國立政治大學,310201,政治學系,博士班,4,2,2
,101,公立,一般大學,1,國立政治大學,310207,國家安全與大陸研究碩士在職專班,碩士在職專班,13,9,4
,101,公立,一般大學,1,國立政治大學,310301,社會學系,學士班(日間),53,17,36
,101,公立,一般大學,1,國立政治大學,310301,社會學系,碩士班(日間),7,4,3
,101,公立,一般大學,1,國立政治大學,310301,社會學系,博士班,1,0,1
,101,公立,一般大學,1,國立政治大學,310401,民族學系,學士班(日間),16,8,8
,101,公立,一般大學,1,國立政治大學,310401,民族學系,碩士班(日間),9,4,5
,101,公立,一般大學,1,國立政治大學,310401,民族學系,博士班,3,3,0
,101,公立,一般大學,1,國立政治大學,310501,心理學系,學士班(日間),45,18,27
,101,公立,一般大學,1,國立政治大學,310501,心理學系,碩士班(日間),20,11,9
,101,公立,一般大學,1,國立政治大學,310501,心理學系,博士班,4,2,2
,101,公立,一般大學,1,國立政治大學,310702,東亞研究所,碩士班(日間),16,9,7
,101,公立,一般大學,1,國立政治大學,310702,東亞研究所,博士班,6,5,1
,101,公立,一般大學,1,國立政治大學,310709,俄羅斯研究所,碩士班(日間),12,3,9
,101,公立,一般大學,1,國立政治大學,310728,亞太研究英語碩士學位學程,碩士班(日間),26,12,14
,101,公立,一般大學,1,國立政治大學,310801,公共行政學系,學士班(日間),40,14,26
,101,公立,一般大學,1,國立政治大學,310801,公共行政學系,碩士班(日間),24,7,17
,101,公立,一般大學,1,國立政治大學,310801,公共行政學系,博士班,2,1,1
,101,公立,一般大學,1,國立政治大學,310804,行政管理碩士學程,碩士在職專班,73,21,52
,101,公立,一般大學,1,國立政治大學,310811,地政學系,學士班(日間),150,75,75
,101,公立,一般大學,1,國立政治大學,310811,地政學系,碩士班(日間),25,12,13
,101,公立,一般大學,1,國立政治大學,310811,地政學系碩士在職專班,碩士在職專班,9,6,3
,101,公立,一般大學,1,國立政治大學,310811,地政學系,博士班,3,3,0
,101,公立,一般大學,1,國立政治大學,310905,外交學系,學士班(日間),69,21,48
,101,公立,一般大學,1,國立政治大學,310905,外交學系,碩士班(日間),31,19,12
,101,公立,一般大學,1,國立政治大學,310905,外交學系戰略與國際事務碩士在職專班,碩士在職專班,15,12,3
