學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業生數小計,畢業生數男,畢業生數女,畢業生取得輔系資格人數小計,畢業生取得輔系資格人數男,畢業生取得輔系資格人數女,畢業生取得雙主修資格人數小計,畢業生取得雙主修資格人數男,畢業生取得雙主修資格人數女
105,公立,一般大學,0001,國立政治大學,學士班(日間),2204,834,1370,...,...,...,...,...,...
105,公立,一般大學,0001,國立政治大學,碩士班(日間),1185,546,639,...,...,...,...,...,...
105,公立,一般大學,0001,國立政治大學,碩士在職專班,426,226,200,...,...,...,...,...,...
105,公立,一般大學,0001,國立政治大學,博士班,84,55,29,...,...,...,...,...,...
105,公立,一般大學,0002,國立清華大學,學士班(日間),2035,1085,950,...,...,...,...,...,...
105,公立,一般大學,0002,國立清華大學,碩士班(日間),1640,1038,602,...,...,...,...,...,...
105,公立,一般大學,0002,國立清華大學,碩士在職專班,252,101,151,...,...,...,...,...,...
105,公立,一般大學,0002,國立清華大學,博士班,205,159,46,...,...,...,...,...,...
105,公立,一般大學,0003,國立臺灣大學,學士班(日間),3534,1981,1553,...,...,...,...,...,...
105,公立,一般大學,0003,國立臺灣大學,碩士班(日間),3522,2141,1381,...,...,...,...,...,...
105,公立,一般大學,0003,國立臺灣大學,碩士在職專班,383,236,147,...,...,...,...,...,...
105,公立,一般大學,0003,國立臺灣大學,博士班,536,379,157,...,...,...,...,...,...
105,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),1732,709,1023,...,...,...,...,...,...
105,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),1039,444,595,...,...,...,...,...,...
105,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,434,124,310,...,...,...,...,...,...
105,公立,一般大學,0004,國立臺灣師範大學,博士班,154,85,69,...,...,...,...,...,...
105,公立,一般大學,0005,國立成功大學,學士班(日間),2509,1597,912,...,...,...,...,...,...
105,公立,一般大學,0005,國立成功大學,碩士班(日間),2511,1649,862,...,...,...,...,...,...
105,公立,一般大學,0005,國立成功大學,碩士在職專班,309,187,122,...,...,...,...,...,...
105,公立,一般大學,0005,國立成功大學,博士班,271,199,72,...,...,...,...,...,...
105,公立,一般大學,0006,國立中興大學,學士班(日間),1859,1085,774,...,...,...,...,...,...
105,公立,一般大學,0006,國立中興大學,學士班(進修),207,69,138,...,...,...,...,...,...
105,公立,一般大學,0006,國立中興大學,碩士班(日間),1279,769,510,...,...,...,...,...,...
105,公立,一般大學,0006,國立中興大學,碩士在職專班,452,300,152,...,...,...,...,...,...
105,公立,一般大學,0006,國立中興大學,博士班,144,104,40,...,...,...,...,...,...
105,公立,一般大學,0007,國立陽明交通大學,學士班(日間),1263,877,386,...,...,...,...,...,...
105,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),1817,1279,538,...,...,...,...,...,...
105,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,400,262,138,...,...,...,...,...,...
105,公立,一般大學,0007,國立陽明交通大學,博士班,234,195,39,...,...,...,...,...,...
105,公立,一般大學,0008,國立中央大學,學士班(日間),1389,871,518,...,...,...,...,...,...
105,公立,一般大學,0008,國立中央大學,碩士班(日間),1348,927,421,...,...,...,...,...,...
105,公立,一般大學,0008,國立中央大學,碩士在職專班,417,242,175,...,...,...,...,...,...
105,公立,一般大學,0008,國立中央大學,博士班,137,99,38,...,...,...,...,...,...
