學年度,設立別,學校類別,學校統計處代碼,學校名稱,學院名稱,系所代碼,系所名稱,學制班別,學籍分組,畢業總人數,畢業生修讀學術倫理教育課程人數,學位論文不公開件數,學位論文考試委員人次-符合各學位考試委員職級之教師或院士,學位論文考試委員人次-有博士學位且學術有成就,學位論文考試委員人次-屬稀少或特殊性考試委員
108,公立,一般大學,0001,國立政治大學,文學院,02211019,宗教研究所,碩士班(日間),-,4,3,0,12,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02211019,宗教研究所,博士班,-,5,0,0,25,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02221020,歷史學系,碩士班(日間),-,11,5,0,33,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02221020,歷史學系,博士班,-,2,0,0,10,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02221021,台灣史研究所,碩士班(日間),-,16,7,0,50,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02221021,台灣史研究所,博士班,-,2,0,0,11,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02231022,哲學系,碩士班(日間),-,11,10,0,33,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02231022,哲學系,博士班,-,5,0,0,25,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02321007,台灣文學研究所,碩士班(日間),-,1,0,0,3,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02321007,台灣文學研究所,博士班,-,2,0,0,9,1,0
108,公立,一般大學,0001,國立政治大學,文學院,02322008,中國文學系,碩士班(日間),-,21,9,0,63,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02322008,中國文學系,博士班,-,9,0,0,45,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,-,18,2,0,54,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02323002,華語文教學博士學位學程,博士班,-,2,1,0,10,0,0
108,公立,一般大學,0001,國立政治大學,文學院,02323002,華語文教學碩士學位學程,碩士班(日間),-,6,5,0,18,0,0
108,公立,一般大學,0001,國立政治大學,文學院,03222054,圖書資訊與檔案學研究所,碩士班(日間),-,20,19,0,62,0,0
108,公立,一般大學,0001,國立政治大學,文學院,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,碩士在職專班,-,16,16,0,48,0,0
108,公立,一般大學,0001,國立政治大學,外國語文學院,02311009,英國語文學系,碩士班(日間),-,23,11,0,69,0,0
108,公立,一般大學,0001,國立政治大學,外國語文學院,02311009,英國語文學系,博士班,文學組,1,0,0,5,0,0
108,公立,一般大學,0001,國立政治大學,外國語文學院,02311009,英國語文學系,博士班,英語教學組,4,0,0,20,0,0
108,公立,一般大學,0001,國立政治大學,外國語文學院,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,-,11,9,0,33,0,0
108,公立,一般大學,0001,國立政治大學,外國語文學院,02311011,日本語文學系,碩士班(日間),-,7,7,0,21,0,0
108,公立,一般大學,0001,國立政治大學,外國語文學院,02311014,韓國語文學系,碩士班(日間),-,10,10,0,29,0,1
108,公立,一般大學,0001,國立政治大學,外國語文學院,02311017,斯拉夫語文學系,碩士班(日間),-,1,1,0,3,0,0
108,公立,一般大學,0001,國立政治大學,外國語文學院,02399018,語言學研究所,碩士班(日間),-,8,7,0,26,0,0
108,公立,一般大學,0001,國立政治大學,外國語文學院,02399018,語言學研究所,博士班,-,2,2,0,10,0,0
108,公立,一般大學,0001,國立政治大學,外國語文學院,03143023,中東與中亞研究碩士學位學程,碩士班(日間),-,1,1,0,3,0,0
108,公立,一般大學,0001,國立政治大學,法學院,04211074,法律科際整合研究所,碩士班(日間),-,14,10,0,46,0,0
108,公立,一般大學,0001,國立政治大學,法學院,04211075,法學院碩士在職專班,碩士在職專班,-,62,23,0,184,3,0
108,公立,一般大學,0001,國立政治大學,法學院,04212073,法律學系,碩士班(日間),-,57,43,0,172,1,0
108,公立,一般大學,0001,國立政治大學,法學院,04212073,法律學系,博士班,-,5,1,0,25,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,02222031,民族學系,碩士班(日間),-,6,5,0,20,2,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,02222031,民族學系,博士班,-,1,0,0,4,1,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03111024,經濟學系,碩士班(日間),-,32,32,0,88,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03111024,經濟學系,博士班,-,2,0,0,11,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),-,12,12,0,36,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03121026,政治學系,碩士班(日間),-,15,15,0,46,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03141030,社會學系,碩士班(日間),-,10,6,0,30,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03141030,社會學系,博士班,-,1,0,0,6,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03143040,亞太研究英語博士學位學程,博士班,-,1,1,0,5,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03143040,亞太研究英語碩士學位學程,碩士班(日間),-,12,12,0,36,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03143043,地政學系,碩士班(日間),-,38,36,0,114,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03143043,地政學系,碩士在職專班,-,22,12,0,66,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03143043,地政學系,博士班,-,4,1,0,24,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03191047,國家發展研究所,碩士班(日間),-,14,12,0,37,5,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03191047,國家發展研究所,博士班,-,1,0,0,5,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,03199048,勞工研究所,碩士班(日間),-,22,22,0,58,0,8
108,公立,一般大學,0001,國立政治大學,社會科學學院,04122070,財政學系,碩士班(日間),-,34,32,0,92,21,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,04122070,財政學系,博士班,-,2,0,0,9,1,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,04134041,公共行政學系,碩士班(日間),-,36,25,0,105,3,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,04134041,公共行政學系,博士班,-,2,0,0,10,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,04134042,行政管理碩士學程,碩士在職專班,-,71,71,0,213,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,04134042,行政管理碩士學程現役軍人營區碩士在職專班,碩士在職專班,-,26,26,0,78,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,09231084,社會工作研究所,碩士班(日間),-,12,12,0,36,0,0
108,公立,一般大學,0001,國立政治大學,社會科學學院,09231084,社會工作研究所,博士班,-,2,2,0,10,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04111059,會計學系,碩士班(日間),稅務組,16,16,0,52,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04111059,會計學系,碩士班(日間),會計組,49,49,0,147,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04111059,會計學系,博士班,-,3,3,0,15,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04121065,財務管理學系,碩士班(日間),-,30,30,0,90,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04121065,財務管理學系,博士班,-,1,1,0,5,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04121068,金融學系,碩士班(日間),-,37,37,0,167,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04121068,金融學系,博士班,-,4,4,0,28,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04123069,風險管理與保險學系,碩士班(日間),-,29,26,0,78,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04131060,企業管理研究所(MBA學位學程),碩士班(日間),-,88,83,0,290,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04131060,企業管理學系,博士班,-,7,2,0,40,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04131060,企業管理學系,博士班,產業組,2,2,0,14,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04131060,企業管理學系,博士班,學術組,1,1,0,7,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04131062,經營管理碩士學程全球華商班,碩士在職專班,-,34,30,0,104,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04131062,經營管理碩士學程高階經營班,碩士在職專班,-,140,122,0,425,0,4
108,公立,一般大學,0001,國立政治大學,商學院,04131064,國際經營管理英語碩士學位學程,碩士班(日間),-,64,60,0,192,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04141067,國際經營與貿易學系,碩士班(日間),-,57,57,0,171,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04199072,科技管理與智慧財產研究所,碩士班(日間),科技管理組,35,35,0,108,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04199072,科技管理與智慧財產研究所,碩士班(日間),智慧財產組,14,14,0,42,0,0
108,公立,一般大學,0001,國立政治大學,商學院,04199072,科技管理與智慧財產研究所,博士班,-,5,0,0,25,3,0
108,公立,一般大學,0001,國立政治大學,商學院,05421079,統計學系,碩士班(日間),-,29,29,0,95,0,0
108,公立,一般大學,0001,國立政治大學,商學院,06131080,資訊管理學系,碩士班(日間),-,37,37,0,110,6,0
108,公立,一般大學,0001,國立政治大學,商學院,06131080,資訊管理學系,博士班,-,4,4,0,20,0,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03121029,國際事務學院國家安全與大陸研究碩士在職專班,碩士在職專班,-,21,21,0,61,2,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03122045,外交學系,碩士班(日間),-,21,18,0,63,0,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03122045,外交學系,博士班,-,2,0,0,10,0,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03122045,外交學系戰略與國際事務碩士在職專班,碩士在職專班,-,27,23,0,81,0,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03122046,國際研究英語碩士學位學程,碩士班(日間),-,20,20,0,60,0,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03143028,東亞研究所,碩士班(日間),-,13,11,0,39,0,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03143028,東亞研究所,博士班,-,3,1,0,16,1,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03143036,日本研究博士學位學程,博士班,-,3,1,0,15,0,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03143036,日本研究碩士學位學程,碩士班(日間),-,11,7,0,33,0,0
108,公立,一般大學,0001,國立政治大學,國際事務學院,03143038,俄羅斯研究所,碩士班(日間),-,12,9,0,36,0,0
108,公立,一般大學,0001,國立政治大學,教育學院,01111001,教育學系,碩士班(日間),-,22,22,0,66,0,0
108,公立,一般大學,0001,國立政治大學,教育學院,01111001,教育學系,博士班,-,16,16,0,80,0,0
108,公立,一般大學,0001,國立政治大學,教育學院,01114005,教育行政與政策研究所,碩士班(日間),-,16,16,0,48,0,0
108,公立,一般大學,0001,國立政治大學,教育學院,01114006,學校行政碩士在職專班,碩士在職專班,-,19,15,0,57,0,0
108,公立,一般大學,0001,國立政治大學,教育學院,01121004,幼兒教育研究所,碩士班(日間),-,7,4,0,7,0,0
108,公立,一般大學,0001,國立政治大學,教育學院,03131033,輔導與諮商碩士學位學程,碩士班(日間),-,13,13,0,39,0,0
108,公立,一般大學,0001,國立政治大學,理學院,03131032,心理學系,碩士班(日間),-,19,19,0,60,1,2
108,公立,一般大學,0001,國立政治大學,理學院,03131032,心理學系,博士班,-,2,2,0,13,0,0
108,公立,一般大學,0001,國立政治大學,理學院,05331077,應用物理研究所,碩士班(日間),-,6,6,0,25,0,0
108,公立,一般大學,0001,國立政治大學,理學院,05411078,應用數學系,碩士班(日間),-,13,13,0,39,1,0
108,公立,一般大學,0001,國立政治大學,理學院,06131081,資訊科學系,碩士班(日間),-,26,26,0,78,0,0
108,公立,一般大學,0001,國立政治大學,理學院,06131081,資訊科學系,碩士在職專班,-,14,14,0,49,2,0
108,公立,一般大學,0001,國立政治大學,理學院,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,-,2,2,0,10,0,0
108,公立,一般大學,0001,國立政治大學,傳播學院,03211049,傳播學院傳播碩士學位學程,碩士班(日間),-,63,60,0,182,0,7
108,公立,一般大學,0001,國立政治大學,傳播學院,03211050,國際傳播英語碩士學位學程,碩士班(日間),-,13,13,0,39,0,0
108,公立,一般大學,0001,國立政治大學,傳播學院,03211056,傳播學院博士班,博士班,-,6,1,0,30,0,0
108,公立,一般大學,0001,國立政治大學,傳播學院,03211056,傳播學院碩士在職專班,碩士在職專班,-,19,11,0,57,0,0
108,公立,一般大學,0001,國立政治大學,傳播學院,06134057,數位內容碩士學位學程,碩士班(日間),-,20,20,0,60,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02221006,歷史研究所,碩士班(日間),-,3,2,0,9,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02221006,歷史研究所,博士班,-,1,0,0,5,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02222007,人類學研究所,碩士班(日間),-,6,2,0,19,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02222007,人類學研究所,博士班,-,1,0,0,6,1,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02231008,哲學研究所,碩士班(日間),-,4,3,0,11,0,1
108,公立,一般大學,0002,國立清華大學,人文社會學院,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),-,2,1,0,7,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02311002,外國語文學系,碩士班(日間),-,16,15,0,53,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02321001,台灣文學研究所,碩士班(日間),-,11,8,0,33,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02321001,台灣文學研究所,博士班,-,2,0,0,11,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02322003,中國文學系,碩士班(日間),-,10,8,0,31,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02322003,中國文學系,博士班,-,6,0,0,32,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02322109,中國語文學系,碩士班(日間),中文組,4,1,0,12,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02322109,中國語文學系,碩士班(日間),華語教學組,3,0,0,9,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02322109,中國語文學系語文教師碩士在職專班,碩士在職專班,-,2,0,0,6,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02322109,中國語文學系語文碩士在職專班,碩士在職專班,-,4,0,0,12,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02399005,語言學研究所,碩士班(日間),-,9,9,0,27,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,02399005,語言學研究所,博士班,-,2,0,0,12,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,03141012,社會學研究所,碩士班(日間),-,20,19,0,62,0,0
108,公立,一般大學,0002,國立清華大學,人文社會學院,03143013,台灣研究教師在職進修碩士學位班,碩士在職專班,-,7,4,0,21,0,0
108,公立,一般大學,0002,國立清華大學,工學院,07111057,化學工程學系,碩士班(日間),-,78,78,0,206,41,8
108,公立,一般大學,0002,國立清華大學,工學院,07111057,化學工程學系,博士班,-,14,9,0,63,15,0
108,公立,一般大學,0002,國立清華大學,工學院,07112058,材料科學工程學系,碩士班(日間),-,108,107,0,299,74,1
108,公立,一般大學,0002,國立清華大學,工學院,07112058,材料科學工程學系,博士班,-,23,9,0,86,33,0
108,公立,一般大學,0002,國立清華大學,工學院,07151056,動力機械工程學系,碩士班(日間),-,121,121,0,358,37,6
108,公立,一般大學,0002,國立清華大學,工學院,07151056,動力機械工程學系,博士班,-,12,3,0,60,11,0
108,公立,一般大學,0002,國立清華大學,工學院,07191061,工業工程與工程管理學系,碩士班(日間),工程管理組,13,13,0,44,1,0
108,公立,一般大學,0002,國立清華大學,工學院,07191061,工業工程與工程管理學系,碩士班(日間),工業工程組,83,83,0,258,12,1
108,公立,一般大學,0002,國立清華大學,工學院,07191061,工業工程與工程管理學系,碩士在職專班,-,40,34,0,129,3,0
108,公立,一般大學,0002,國立清華大學,工學院,07191061,工業工程與工程管理學系,博士班,-,7,1,0,36,1,0
108,公立,一般大學,0002,國立清華大學,工學院,07193065,生物醫學工程研究所,碩士班(日間),-,20,20,0,61,14,0
108,公立,一般大學,0002,國立清華大學,工學院,07194059,奈米工程與微系統研究所,碩士班(日間),-,17,17,0,55,5,0
108,公立,一般大學,0002,國立清華大學,工學院,07194059,奈米工程與微系統研究所,博士班,-,2,1,0,10,3,0
108,公立,一般大學,0002,國立清華大學,工學院,07199070,全球營運管理碩士雙聯學位學程,碩士班(日間),-,4,4,0,12,0,0
108,公立,一般大學,0002,國立清華大學,不分院,99999074,跨院國際博士班學位學程,博士班,-,2,2,0,9,2,0
108,公立,一般大學,0002,國立清華大學,不分院,99999074,跨院國際碩士學位學程,碩士班(日間),-,1,1,0,2,1,0
108,公立,一般大學,0002,國立清華大學,生命科學院,05121026,生物科技研究所,碩士班(日間),-,18,18,0,51,12,0
108,公立,一般大學,0002,國立清華大學,生命科學院,05121026,生物科技研究所,博士班,-,4,1,0,18,2,0
108,公立,一般大學,0002,國立清華大學,生命科學院,05121028,分子與細胞生物研究所,碩士班(日間),-,14,14,0,40,4,1
108,公立,一般大學,0002,國立清華大學,生命科學院,05121028,分子與細胞生物研究所,博士班,-,5,3,0,20,7,1
108,公立,一般大學,0002,國立清華大學,生命科學院,05121030,生物資訊與結構生物研究所,碩士班(日間),-,22,22,0,65,3,0
