學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業總人數,畢業生修讀學術倫理教育課程人數,學位論文不公開件數,學位論文考試委員人次-符合各學位考試委員職級之教師或院士,學位論文考試委員人次-有博士學位且學術有成就,學位論文考試委員人次-屬稀少或特殊性考試委員
108,公立,一般大學,0001,國立政治大學,碩士在職專班,500,395,0,1510,7,4
108,公立,一般大學,0001,國立政治大學,博士班,116,48,0,607,7,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),1234,1119,0,3757,40,18
108,公立,一般大學,0002,國立清華大學,碩士班(日間),1717,1653,0,5147,466,39
108,公立,一般大學,0002,國立清華大學,碩士在職專班,323,290,0,1039,30,0
108,公立,一般大學,0002,國立清華大學,博士班,208,69,0,974,148,2
108,公立,一般大學,0003,國立臺灣大學,博士班,438,3,0,2848,100,21
108,公立,一般大學,0003,國立臺灣大學,碩士在職專班,451,217,0,1994,11,5
108,公立,一般大學,0003,國立臺灣大學,碩士班(日間),3500,2330,0,15205,474,119
108,公立,一般大學,0004,國立臺灣師範大學,博士班,160,24,0,755,64,3
108,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),1135,943,0,3467,55,18
108,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,442,345,0,1306,31,13
108,公立,一般大學,0005,國立成功大學,博士班,225,121,0,1316,59,11
108,公立,一般大學,0005,國立成功大學,碩士在職專班,340,178,0,1153,26,7
108,公立,一般大學,0005,國立成功大學,碩士班(日間),2662,1702,0,9635,595,100
108,公立,一般大學,0006,國立中興大學,博士班,117,117,0,472,87,2
108,公立,一般大學,0006,國立中興大學,碩士在職專班,422,422,0,1161,167,9
108,公立,一般大學,0006,國立中興大學,碩士班(日間),1277,1277,0,3631,431,12
108,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,419,419,0,1376,103,2
108,公立,一般大學,0007,國立陽明交通大學,博士班,199,199,0,993,175,3
108,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),1912,1912,0,6081,534,28
108,公立,一般大學,0008,國立中央大學,碩士在職專班,423,423,0,1227,18,50
108,公立,一般大學,0008,國立中央大學,博士班,108,108,0,558,41,1
108,公立,一般大學,0008,國立中央大學,碩士班(日間),1368,1368,0,4122,221,38
108,公立,一般大學,0009,國立中山大學,碩士在職專班,286,286,80,972,33,2
108,公立,一般大學,0009,國立中山大學,碩士班(日間),1014,1014,78,4126,196,22
108,公立,一般大學,0009,國立中山大學,博士班,95,95,8,503,72,0
108,公立,一般大學,0012,國立臺灣海洋大學,博士班,29,29,0,172,7,0
108,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),568,568,0,1925,156,1
108,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,146,146,0,470,18,0
108,公立,一般大學,0013,國立中正大學,碩士班(日間),918,918,0,3109,90,4
108,公立,一般大學,0013,國立中正大學,博士班,62,62,0,326,18,0
108,公立,一般大學,0013,國立中正大學,碩士在職專班,356,356,0,1141,4,0
108,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,392,334,0,1176,0,0
108,公立,一般大學,0014,國立高雄師範大學,博士班,49,4,0,245,0,0
108,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),306,176,0,918,0,0
108,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),453,362,0,453,453,453
108,公立,一般大學,0015,國立彰化師範大學,博士班,60,12,0,60,60,60
108,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,349,285,0,1082,11,0
108,公立,一般大學,0016,國立陽明大學,博士班,124,124,0,639,64,0
108,公立,一般大學,0016,國立陽明大學,碩士在職專班,40,40,0,121,0,1
108,公立,一般大學,0016,國立陽明大學,碩士班(日間),470,470,0,1655,40,20
108,公立,一般大學,0017,國立臺北大學,碩士班(日間),418,339,0,1270,62,0
108,公立,一般大學,0017,國立臺北大學,碩士在職專班,160,132,0,437,81,13
108,公立,一般大學,0017,國立臺北大學,博士班,25,1,0,134,2,0
108,公立,一般大學,0018,國立嘉義大學,博士班,19,19,3,81,4,0
108,公立,一般大學,0018,國立嘉義大學,碩士在職專班,255,179,12,736,104,0
108,公立,一般大學,0018,國立嘉義大學,碩士班(日間),411,411,15,1263,278,1
108,公立,一般大學,0019,國立高雄大學,碩士在職專班,98,37,1,247,48,1
108,公立,一般大學,0019,國立高雄大學,博士班,1,0,0,6,0,0
108,公立,一般大學,0019,國立高雄大學,碩士班(日間),194,125,1,417,207,1
108,公立,一般大學,0020,國立東華大學,博士班,37,7,0,189,5,0
108,公立,一般大學,0020,國立東華大學,碩士班(日間),370,302,0,1101,22,15
108,公立,一般大學,0020,國立東華大學,碩士在職專班,117,96,0,347,5,0
108,公立,一般大學,0021,國立暨南國際大學,博士班,34,10,3,128,2,0
108,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),248,207,38,726,43,6
108,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,114,99,0,202,47,0
108,公立,技專校院,0022,國立臺灣科技大學,博士班,120,59,0,1151,55,0
108,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),1525,1499,0,4488,295,11
108,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,265,242,0,824,62,7
108,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),705,627,0,2209,70,16
108,公立,技專校院,0023,國立雲林科技大學,博士班,45,3,0,243,14,0
108,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,211,172,0,646,7,2
108,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,109,20,0,328,0,0
108,公立,技專校院,0024,國立屏東科技大學,博士班,34,4,0,172,19,0
108,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),382,52,0,1288,80,5
108,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),1198,68,2,3860,393,29
108,公立,技專校院,0025,國立臺北科技大學,博士班,75,7,0,397,34,1
108,公立,技專校院,0025,國立臺北科技大學,碩士在職專班,440,12,0,1206,215,13
108,公立,一般大學,0028,國立臺北藝術大學,碩士在職專班,36,36,0,112,0,0
108,公立,一般大學,0028,國立臺北藝術大學,博士班,8,3,0,44,0,0
108,公立,一般大學,0028,國立臺北藝術大學,碩士班(日間),201,197,0,612,4,4
108,公立,一般大學,0029,國立臺灣藝術大學,碩士班(日間),157,157,0,479,3,6
