學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),32,8,24,13.39
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),13,3,10,28.26
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,11,4,7,11.58
106,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),3,2,1,6.38
106,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),6,1,5,15.00
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學博士學位學程,博士班,6,0,6,31.58
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學碩士學位學程,碩士班(日間),13,4,9,22.81
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),10,7,3,27.03
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,7,3,4,20.59
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),11,8,3,6.36
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),10,7,3,16.13
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,10,7,3,27.78
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),2,1,1,3.57
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,1,1,0,5.26
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),6,4,2,3.31
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),1,0,1,3.23
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,2,2,0,8.70
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),19,13,6,10.11
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),14,7,7,28.57
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,6,4,2,22.22
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),14,5,9,4.42
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),3,2,1,4.62
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,6,2,4,27.27
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),20,8,12,10.70
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),5,2,3,19.23
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),7,5,2,4.00
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),16,0,16,10.53
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),3,0,3,14.29
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),12,6,6,9.16
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),16,4,12,5.48
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),8,4,4,3.27
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),2,1,1,5.26
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,1,1,0,7.14
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),29,10,19,8.06
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),25,10,15,23.81
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,15,8,7,21.43
106,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),2,0,2,6.45
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),30,15,15,7.13
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),4,4,0,5.19
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,1,0,1,6.25
106,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),10,5,5,34.48
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),18,11,7,8.26
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),10,8,2,13.51
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,8,6,2,28.57
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),32,9,23,11.35
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),13,5,8,18.57
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,2,2,0,22.22
106,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),39,23,16,72.22
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),18,4,14,8.65
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),11,5,6,12.50
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,博士班,1,1,0,8.33
106,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),4,1,3,11.43
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),13,7,6,6.34
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),10,5,5,17.86
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,博士班,4,1,3,28.57
106,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),15,10,5,20.83
106,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,4,3,1,14.29
106,公立,一般大學,0001,國立政治大學,03143036,日本研究博士學位學程,博士班,1,0,1,11.11
106,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),7,3,4,17.95
106,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),6,4,2,17.65
106,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,49,34,15,89.09
106,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),43,23,20,76.79
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),12,9,3,17.39
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,9,6,3,29.03
106,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),4,2,2,5.00
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),67,17,50,27.92
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),4,1,3,30.77
106,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),28,4,24,57.14
