學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學生總人數(A)(A=B+C+D+E)男,境外學生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
108,公立,一般大學,0001,國立政治大學,學士班(日間),大陸地區,大陸地區,18,2,16,0,0,0,0,0,0,0,0,0,18,2,16
108,公立,一般大學,0001,國立政治大學,學士班(日間),日本,其他亞洲地區,49,20,29,41,16,25,8,4,4,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),土耳其共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),大韓民國(南韓),其他亞洲地區,39,22,17,35,20,15,4,2,2,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),厄瓜多共和國,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),巴拉圭,中南美洲,7,3,4,6,2,4,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),巴拿馬共和國,中南美洲,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),尼加拉瓜,中南美洲,3,2,1,2,1,1,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),瓜地馬拉共和國,中南美洲,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),貝里斯,中南美洲,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),美國,北美洲,5,4,1,3,3,0,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),海地共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),智利,中南美洲,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),新加坡共和國,東協,7,1,6,4,0,4,3,1,2,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),聖文森(及格瑞那丁),中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),聖露西亞,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),蒙古國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),緬甸,東協,12,3,9,0,0,0,12,3,9,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),薩爾瓦多,中南美洲,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),加拿大,北美洲,3,1,2,1,1,0,2,0,2,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),史瓦帝尼王國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),印度尼西亞共和國,東協,69,23,46,12,5,7,57,18,39,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),多明尼加共和國,中南美洲,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),宏都拉斯共和國,中南美洲,15,3,12,15,3,12,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),法國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),阿根廷,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),南非共和國,非洲,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),香港,港澳,76,38,38,0,0,0,0,0,0,76,38,38,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),泰國,東協,9,2,7,3,1,2,6,1,5,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),馬來西亞,東協,216,63,153,11,4,7,205,59,146,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),越南社會主義共和國,東協,28,9,19,10,4,6,18,5,13,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),塞內加爾共和國,非洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),墨西哥合眾國,中南美洲,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),澳門,港澳,114,53,61,0,0,0,0,0,0,114,53,61,0,0,0
108,公立,一般大學,0001,國立政治大學,學士班(日間),諾魯共和國,其他亞洲地區,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),大陸地區,大陸地區,245,86,159,0,0,0,0,0,0,0,0,0,245,86,159
108,公立,一般大學,0001,國立政治大學,碩士班(日間),大韓民國(南韓),其他亞洲地區,18,7,11,18,7,11,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),巴西聯邦共和國,中南美洲,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),日本,其他亞洲地區,16,7,9,12,5,7,4,2,2,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),比利時王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),加拿大,北美洲,7,6,1,5,5,0,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),白俄羅斯共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),冰島共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),土耳其共和國,其他亞洲地區,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),厄瓜多共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),巴拉圭,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),巴拿馬共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),尼加拉瓜,中南美洲,10,4,6,9,3,6,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),瓜地馬拉共和國,中南美洲,6,3,3,6,3,3,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),貝里斯,中南美洲,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),美國,北美洲,27,18,9,26,18,8,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),海地共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),捷克共和國,歐洲,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),斯洛伐克共和國,歐洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),智利,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),義大利共和國,歐洲,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),聖克里斯多福及尼維斯,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),聖露西亞,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),德意志聯邦共和國,歐洲,10,9,1,10,9,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),澳大利亞,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),匈牙利共和國,歐洲,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),印度尼西亞共和國,東協,9,2,7,8,1,7,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),西班牙王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),宏都拉斯共和國,中南美洲,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),委內瑞拉共和國,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
