學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),性別,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素 
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),男,7,1,1,3,2,0,0,...,0
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),女,10,1,0,3,4,0,2,...,0
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),男,9,2,1,4,2,0,0,...,0
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),女,6,0,1,1,4,0,0,...,0
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),男,5,2,1,1,1,0,0,...,0
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),女,16,3,2,6,5,0,0,...,0
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),男,11,6,1,1,3,0,0,...,0
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),女,5,0,1,2,1,0,1,...,0
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),男,12,6,0,2,1,0,3,...,0
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),女,30,10,2,10,2,0,6,...,0
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),男,7,3,1,0,0,0,3,...,0
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),女,21,6,0,3,0,0,12,...,0
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),男,4,0,1,1,2,0,0,...,0
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),女,6,1,1,2,0,0,2,...,0
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),男,4,2,0,1,0,0,1,...,0
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),女,13,2,0,1,1,0,9,...,0
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),男,2,2,0,0,0,0,0,...,0
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),女,11,3,0,1,1,0,6,...,0
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),男,11,5,0,2,1,0,3,...,0
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),女,34,13,1,5,7,0,8,...,0
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),男,10,2,0,2,2,0,4,...,0
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),女,22,5,4,4,6,0,3,...,0
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),男,8,3,0,1,1,0,3,...,0
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),女,27,11,1,8,4,0,3,...,0
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),男,15,6,3,3,2,0,1,...,0
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),女,10,3,0,3,1,0,3,...,0
