學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),進修交流國家(地區)別,進修交流國家(地區)區域別,本國學生出國進修交流至少1學期(修讀學分)以上人數小計,本國學生出國進修交流至少1學期(修讀學分)以上人數男,本國學生出國進修交流至少1學期(修讀學分)以上人數女,本國學生出國進修交流未滿1學期(修讀學分)人數小計,本國學生出國進修交流未滿1學期(修讀學分)人數男,本國學生出國進修交流未滿1學期(修讀學分)人數女
105,1,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,大陸地區,大陸地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),立陶宛共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,01131002,華語文教學博士學位學程,博士班,越南社會主義共和國,東協,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,01131002,華語文教學碩士學位學程,碩士班(日間),荷蘭王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),加拿大,北美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),大陸地區,大陸地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),日本,其他亞洲地區,4,0,4,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),西班牙王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),美國,北美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),新加坡共和國,東協,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),法國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),香港,港澳,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),澳門,港澳,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),澳大利亞,其他亞洲地區,2,0,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),芬蘭共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),法國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),荷蘭王國,歐洲,4,0,4,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),瑞士聯邦,歐洲,2,0,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),英國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),摩洛哥王國,非洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),加拿大,北美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),美國,北美洲,3,0,3,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),大陸地區,大陸地區,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),日本,其他亞洲地區,20,3,17,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),土耳其共和國,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),法國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),大韓民國(南韓),其他亞洲地區,23,3,20,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),大韓民國(南韓),其他亞洲地區,3,0,3,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),大韓民國(南韓),其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),土耳其共和國,其他亞洲地區,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),美國,北美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),比利時王國,歐洲,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),法國,歐洲,15,4,11,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),西班牙王國,歐洲,5,0,5,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),瑞士聯邦,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),德意志聯邦共和國,歐洲,4,1,3,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),墨西哥合眾國,中南美洲,4,1,3,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),巴拿馬共和國,中南美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),智利,中南美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),哥倫比亞共和國,中南美洲,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),秘魯共和國,中南美洲,2,0,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),俄羅斯聯邦,其他亞洲地區,5,2,3,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),捷克共和國,歐洲,2,0,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),波蘭共和國,歐洲,3,2,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),西班牙王國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),立陶宛共和國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),大陸地區,大陸地區,6,1,5,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,大陸地區,大陸地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),大韓民國(南韓),其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),新加坡共和國,東協,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),大陸地區,大陸地區,2,2,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),澳大利亞,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),丹麥王國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),列支敦斯登侯國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),荷蘭王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),西班牙王國,歐洲,1,0,1,0,0,0
