學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀校際選課人次小計,修讀校際選課人次男,修讀校際選課人次女
105,1,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),6,1,5
105,1,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),3,1,2
105,1,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,2,2,0
105,1,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),1,0,1
105,1,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),8,2,6
105,1,公立,一般大學,0001,國立政治大學,01131002,華語文教學碩士學位學程,碩士班(日間),8,1,7
105,1,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),2,0,2
105,1,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,3,1,2
105,1,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),6,2,4
105,1,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,4,3,1
105,1,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),3,3,0
105,1,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,4,4,0
105,1,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),3,1,2
105,1,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,1,1,0
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),6,2,4
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),3,0,3
105,1,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),1,0,1
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),3,0,3
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),2,2,0
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),24,5,19
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,8,6,2
105,1,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),7,2,5
105,1,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,1,0,1
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),2,2,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),1,0,1
105,1,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),2,0,2
105,1,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),7,5,2
105,1,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),2,1,1
105,1,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),4,1,3
105,1,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),5,2,3
105,1,公立,一般大學,0001,國立政治大學,03143036,日本研究博士學位學程,博士班,1,1,0
105,1,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),13,4,9
105,1,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),3,0,3
105,1,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),6,1,5
105,1,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),3,0,3
105,1,公立,一般大學,0001,國立政治大學,03299056,傳播學院博士班,博士班,1,1,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),1,1,0
105,1,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),4,2,2
105,1,公立,一般大學,0001,國立政治大學,04131062,經營管理碩士學程,碩士在職專班,15,10,5
105,1,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),1,1,0
105,1,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),1,0,1
105,1,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),2,0,2
105,1,公立,一般大學,0001,國立政治大學,04211073,法律學系,碩士班(日間),1,0,1
105,1,公立,一般大學,0001,國立政治大學,04212074,法律科際整合研究所,碩士班(日間),1,1,0
105,1,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),3,3,0
105,1,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),1,1,0
105,1,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),9,2,7
105,1,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),4,2,2
105,1,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,2,0,2
105,1,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),4,0,4
105,1,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,博士班,2,0,2
105,1,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),2,1,1
105,1,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),5,1,4
105,1,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),22,2,20
105,1,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),1,0,1
105,1,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),3,0,3
105,1,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),3,2,1
105,1,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,5,3,2
105,1,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),2,0,2
105,1,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,1,1,0
105,1,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),3,1,2
105,1,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),4,3,1
105,1,公立,一般大學,0002,國立清華大學,03143013,台灣研究教師在職進修碩士學位班,碩士在職專班,1,1,0
105,1,公立,一般大學,0002,國立清華大學,03199015,學習科學研究所,碩士班(日間),4,1,3
105,1,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),2,1,1
105,1,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),11,5,6
105,1,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),15,4,11
105,1,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),6,1,5
105,1,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),12,3,9
105,1,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,3,2,1
105,1,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),4,0,4
105,1,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),1,1,0
105,1,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),4,0,4
105,1,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,碩士班(日間),3,2,1
105,1,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),5,2,3
105,1,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),1,0,1
105,1,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),6,5,1
105,1,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),3,3,0
105,1,公立,一般大學,0002,國立清華大學,05399040,先進光源科技碩士學位學程,碩士班(日間),1,1,0
105,1,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),1,1,0
105,1,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),4,4,0
105,1,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),7,3,4
105,1,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),22,17,5
105,1,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),7,4,3
105,1,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),3,3,0
105,1,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),3,1,2
105,1,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,2,1,1
105,1,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),1,1,0
105,1,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),1,1,0
105,1,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),31,29,2
105,1,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,博士班,1,1,0
105,1,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),3,2,1
105,1,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),49,36,13
105,1,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,1,1,0
105,1,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),13,10,3
