學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀輔系人次小計,修讀輔系人次男,修讀輔系人次女
105,1,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),151,56,95
105,1,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),89,59,30
105,1,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),93,28,65
105,1,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),68,31,37
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),92,20,72
105,1,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),51,8,43
105,1,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),71,18,53
105,1,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),69,12,57
105,1,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),45,7,38
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),123,18,105
105,1,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),64,18,46
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),166,32,134
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),95,39,56
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),70,19,51
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),101,29,72
105,1,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),39,8,31
105,1,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),74,29,45
105,1,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),14,1,13
105,1,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),75,10,65
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),114,19,95
105,1,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),54,10,44
105,1,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),164,38,126
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),39,10,29
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),44,21,23
105,1,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),80,18,62
105,1,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),33,13,20
105,1,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),103,29,74
105,1,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),86,14,72
105,1,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),113,35,78
105,1,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),104,27,77
105,1,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),69,6,63
105,1,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),165,56,109
105,1,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),21,12,9
105,1,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),25,13,12
105,1,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),58,40,18
105,1,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),15,9,6
105,1,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),7,3,4
105,1,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),29,5,24
105,1,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),23,8,15
105,1,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),25,13,12
105,1,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),11,2,9
105,1,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),8,3,5
105,1,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),14,9,5
105,1,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),3,1,2
105,1,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),7,6,1
105,1,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),12,10,2
105,1,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),1,1,0
105,1,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),47,34,13
105,1,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),11,10,1
105,1,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),3,3,0
105,1,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),9,5,4
105,1,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),12,11,1
105,1,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),12,7,5
105,1,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),3,3,0
105,1,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),9,8,1
105,1,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),36,27,9
105,1,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),7,3,4
105,1,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),2,2,0
105,1,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),3,3,0
105,1,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),3,2,1
105,1,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),27,14,13
105,1,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),56,24,32
105,1,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),22,7,15
105,1,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),30,13,17
105,1,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),83,16,67
105,1,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),35,5,30
105,1,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),42,10,32
105,1,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),64,35,29
105,1,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),110,49,61
105,1,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),33,14,19
105,1,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),30,10,20
105,1,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),21,10,11
105,1,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),24,4,20
105,1,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),27,11,16
105,1,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),31,17,14
105,1,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),33,15,18
105,1,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),30,9,21
105,1,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,學士班(日間),105,42,63
105,1,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),17,13,4
105,1,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),11,8,3
105,1,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),17,8,9
105,1,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),23,17,6
105,1,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),20,13,7
105,1,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),25,15,10
105,1,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),32,26,6
105,1,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),10,10,0
105,1,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),12,7,5
105,1,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),36,29,7
105,1,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),26,21,5
105,1,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),6,5,1
105,1,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),57,44,13
105,1,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),27,22,5
105,1,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),8,7,1
105,1,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),11,10,1
105,1,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),39,32,7
105,1,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),23,16,7
105,1,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),10,8,2
105,1,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,學士班(日間),13,4,9
105,1,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,學士班(日間),23,12,11
105,1,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),15,10,5
105,1,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),20,10,10
105,1,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,學士班(日間),45,16,29
105,1,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,學士班(日間),11,5,6
105,1,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),20,10,10
105,1,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),15,5,10
105,1,公立,一般大學,0003,國立臺灣大學,09111137,牙醫學系,學士班(日間),6,5,1
105,1,公立,一般大學,0003,國立臺灣大學,09121107,醫學系,學士班(日間),48,40,8
105,1,公立,一般大學,0003,國立臺灣大學,09131134,護理學系,學士班(日間),8,2,6
105,1,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,學士班(日間),4,4,0
105,1,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系,學士班(日間),9,4,5
105,1,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,學士班(日間),6,2,4
105,1,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,學士班(日間),10,6,4
105,1,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生學系,學士班(日間),16,8,8
105,1,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),26,11,15
105,1,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,學士班(日間),106,16,90
105,1,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,學士班(日間),19,5,14
105,1,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,學士班(日間),22,4,18
105,1,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,學士班(日間),21,4,17
105,1,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,學士班(日間),40,3,37
105,1,公立,一般大學,0004,國立臺灣師範大學,01141010,工業教育學系,學士班(日間),8,7,1
105,1,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,學士班(日間),6,6,0
105,1,公立,一般大學,0004,國立臺灣師範大學,01141017,健康促進與衛生教育學系,學士班(日間),21,4,17
105,1,公立,一般大學,0004,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,學士班(日間),8,4,4
105,1,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,學士班(日間),1,0,1
105,1,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,學士班(日間),6,1,5
105,1,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,學士班(日間),14,5,9
105,1,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,學士班(日間),11,7,4
105,1,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,學士班(日間),3,1,2
105,1,公立,一般大學,0004,國立臺灣師範大學,02321028,臺灣語文學系,學士班(日間),18,1,17
105,1,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),40,14,26
105,1,公立,一般大學,0004,國立臺灣師範大學,02323030,應用華語文學系,學士班(日間),36,1,35
105,1,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),24,8,16
105,1,公立,一般大學,0004,國立臺灣師範大學,03142041,地理學系,學士班(日間),11,8,3
105,1,公立,一般大學,0004,國立臺灣師範大學,03143042,東亞學系,學士班(日間),18,6,12
105,1,公立,一般大學,0004,國立臺灣師範大學,03214050,圖文傳播學系,學士班(日間),5,0,5
105,1,公立,一般大學,0004,國立臺灣師範大學,04131051,企業管理學系,學士班(日間),3,0,3
105,1,公立,一般大學,0004,國立臺灣師範大學,05111056,生命科學系,學士班(日間),9,4,5
105,1,公立,一般大學,0004,國立臺灣師範大學,05311059,化學系,學士班(日間),4,3,1
105,1,公立,一般大學,0004,國立臺灣師範大學,05321060,地球科學系,學士班(日間),12,11,1
105,1,公立,一般大學,0004,國立臺灣師範大學,05331061,物理學系,學士班(日間),18,13,5
105,1,公立,一般大學,0004,國立臺灣師範大學,05411062,數學系,學士班(日間),9,9,0
105,1,公立,一般大學,0004,國立臺灣師範大學,07141063,電機工程學系,學士班(日間),4,3,1
105,1,公立,一般大學,0004,國立臺灣師範大學,07141065,資訊工程學系,學士班(日間),3,3,0
