學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次小計,修讀雙主修人次男,修讀雙主修人次女
105,1,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),49,18,31
105,1,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),29,19,10
105,1,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),37,7,30
105,1,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),30,10,20
105,1,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),52,17,35
105,1,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),28,3,25
105,1,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),35,9,26
105,1,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),23,3,20
105,1,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),17,6,11
105,1,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),59,10,49
105,1,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),26,5,21
105,1,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),65,16,49
105,1,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),49,20,29
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),32,8,24
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),59,20,39
105,1,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),25,9,16
105,1,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),27,9,18
105,1,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),14,4,10
105,1,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),19,5,14
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),51,8,43
105,1,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),27,12,15
105,1,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),50,18,32
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),12,3,9
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),24,15,9
105,1,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),37,13,24
