學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,合作學校國家(地區)別,合作學校國家(地區)區域別,雙聯合作案件數
105,2,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),大韓民國(南韓),其他亞洲地區,2
105,2,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),澳大利亞,其他亞洲地區,1
105,2,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),澳大利亞,其他亞洲地區,1
105,2,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),新加坡共和國,東協,1
105,2,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),美國,北美洲,3
105,2,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),法國,歐洲,5
105,2,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),德意志聯邦共和國,歐洲,1
105,2,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,英國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),瑞典王國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),瑞典王國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),瑞典王國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),瑞典王國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,英國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,英國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,印度,南亞,1
105,2,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),瑞典王國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,英國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),瑞典王國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,捷克共和國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,英國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,英國,歐洲,1
105,2,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,英國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,,不分系所,不分學制,印度尼西亞共和國,東協,1
105,2,公立,一般大學,0003,國立臺灣大學,,不分系所,不分學制,大陸地區,大陸地區,2
105,2,公立,一般大學,0003,國立臺灣大學,,不分系所,不分學制,日本,其他亞洲地區,6
105,2,公立,一般大學,0003,國立臺灣大學,,不分系所,不分學制,大韓民國(南韓),其他亞洲地區,1
105,2,公立,一般大學,0003,國立臺灣大學,,不分系所,不分學制,美國,北美洲,3
105,2,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),荷蘭王國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,碩士班(日間),荷蘭王國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),大韓民國(南韓),其他亞洲地區,1
105,2,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,碩士班(日間),大韓民國(南韓),其他亞洲地區,1
105,2,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系國際學生學士班,學士班(日間),大韓民國(南韓),其他亞洲地區,1
105,2,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),香港,港澳,1
105,2,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,碩士班(日間),瑞士聯邦,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,碩士班(日間),新加坡共和國,東協,1
105,2,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),香港,港澳,1
105,2,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),美國,北美洲,7
105,2,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),日本,其他亞洲地區,1
