學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師數-教師總數,專任教師數-教師總數男,專任教師數-教師總數女,專任教師數-教授男,專任教師數-教授女,專任教師數-副教授男,專任教師數-副教授女,專任教師數-助理教授男,專任教師數-助理教授女,專任教師數-講師男,專任教師數-講師女,專任教師數-其他教師男,專任教師數-其他教師女,專任助理教授以上總人數,專任助理教授以上總人數男,專任助理教授以上總人數女,專任講師以上總人數,專任講師以上總人數男,專任講師以上總人數女
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,16,9,7,8,4,1,2,0,1,0,0,0,0,16,9,7,16,9,7
106,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,3,2,1,0,0,2,1,0,0,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0001,國立政治大學,01199Y03,教育學院,4,3,1,0,0,2,0,1,1,0,0,0,0,4,3,1,4,3,1
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,6,5,1,2,1,2,0,1,0,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,17,10,7,7,2,2,4,1,0,0,0,0,1,16,10,6,16,10,6
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,7,4,3,2,0,2,2,0,1,0,0,0,0,7,4,3,7,4,3
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,8,3,5,1,0,2,5,0,0,0,0,0,0,8,3,5,8,3,5
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,13,10,3,6,0,3,2,1,1,0,0,0,0,13,10,3,13,10,3
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,25,9,16,1,6,4,10,3,0,1,0,0,0,24,8,16,25,9,16
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,11,5,6,1,3,0,3,4,0,0,0,0,0,11,5,6,11,5,6
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,7,4,3,0,1,0,0,4,1,0,1,0,0,6,4,2,7,4,3
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,9,7,2,2,0,2,1,3,1,0,0,0,0,9,7,2,9,7,2
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,6,4,2,0,0,3,2,0,0,1,0,0,0,5,3,2,6,4,2
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,11,3,8,1,2,2,5,0,1,0,0,0,0,11,3,8,11,3,8
