,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所名稱,教師總數,男,女,男,女,男,女,男,女,男,女,男,女,總計 ,男,女
,101,公立,一般大學,1,國立政治大學,教育學系,18,10,8,7,4,2,1,1,3,0,0,0,0,18,10,8
,101,公立,一般大學,1,國立政治大學,幼兒教育研究所,3,2,1,0,0,2,1,0,0,0,0,0,0,3,2,1
,101,公立,一般大學,1,國立政治大學,教育行政與政策研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
,101,公立,一般大學,1,國立政治大學,台灣文學研究所,6,3,3,0,1,1,0,2,2,0,0,0,0,6,3,3
,101,公立,一般大學,1,國立政治大學,中國文學系,31,18,13,9,7,4,2,3,3,0,1,2,0,28,16,12
,101,公立,一般大學,1,國立政治大學,英國語文學系,25,10,15,2,4,3,8,3,1,2,2,0,0,21,8,13
,101,公立,一般大學,1,國立政治大學,日本語文學系,12,4,8,2,4,0,3,1,1,1,0,0,0,11,3,8
,101,公立,一般大學,1,國立政治大學,阿拉伯語文學系,8,5,3,0,1,2,0,3,1,0,1,0,0,7,5,2
,101,公立,一般大學,1,國立政治大學,韓國語文學系,9,8,1,5,0,0,1,2,0,1,0,0,0,8,7,1
,101,公立,一般大學,1,國立政治大學,土耳其語文學系,8,6,2,0,0,2,1,1,1,3,0,0,0,5,3,2
,101,公立,一般大學,1,國立政治大學,歐洲語文學系,9,3,6,1,1,0,3,2,2,0,0,0,0,9,3,6
,101,公立,一般大學,1,國立政治大學,斯拉夫語文學系,18,3,15,2,3,0,5,1,2,0,4,0,1,13,3,10
,101,公立,一般大學,1,國立政治大學,語言學研究所,7,3,4,2,2,0,2,1,0,0,0,0,0,7,3,4
,101,公立,一般大學,1,國立政治大學,宗教研究所,6,5,1,2,0,3,1,0,0,0,0,0,0,6,5,1
,101,公立,一般大學,1,國立政治大學,歷史學系,18,11,7,4,1,6,3,1,2,0,0,0,1,17,11,6
,101,公立,一般大學,1,國立政治大學,台灣史研究所,7,4,3,2,1,1,0,1,2,0,0,0,0,7,4,3
,101,公立,一般大學,1,國立政治大學,哲學系,15,12,3,6,0,3,2,3,1,0,0,0,0,15,12,3
,101,公立,一般大學,1,國立政治大學,經濟學系,21,14,7,7,3,3,2,4,2,0,0,0,0,21,14,7
,101,公立,一般大學,1,國立政治大學,政治學系,16,11,5,6,2,2,0,3,1,0,0,0,2,14,11,3
,101,公立,一般大學,1,國立政治大學,社會學系,13,7,6,0,1,3,2,4,1,0,0,0,2,11,7,4
,101,公立,一般大學,1,國立政治大學,民族學系,11,5,6,3,0,1,4,1,2,0,0,0,0,11,5,6
,101,公立,一般大學,1,國立政治大學,心理學系,19,11,8,5,1,3,5,3,1,0,0,0,1,18,11,7
,101,公立,一般大學,1,國立政治大學,東亞研究所,4,4,0,1,0,2,0,1,0,0,0,0,0,4,4,0
,101,公立,一般大學,1,國立政治大學,俄羅斯研究所,3,2,1,0,1,1,0,1,0,0,0,0,0,3,2,1
,101,公立,一般大學,1,國立政治大學,亞太研究英語博士學位學程,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
,101,公立,一般大學,1,國立政治大學,公共行政學系,14,11,3,8,1,2,1,1,0,0,0,0,1,13,11,2
,101,公立,一般大學,1,國立政治大學,地政學系,25,18,7,7,4,7,0,4,2,0,0,0,1,24,18,6
,101,公立,一般大學,1,國立政治大學,外交學系,14,12,2,7,0,2,0,3,0,0,1,0,1,12,12,0
,101,公立,一般大學,1,國立政治大學,國家發展研究所,10,6,4,5,1,1,0,0,2,0,1,0,0,9,6,3
,101,公立,一般大學,1,國立政治大學,勞工研究所,5,3,2,2,1,1,1,0,0,0,0,0,0,5,3,2
,101,公立,一般大學,1,國立政治大學,新聞學系,19,8,11,6,7,2,3,0,1,0,0,0,0,19,8,11
,101,公立,一般大學,1,國立政治大學,廣播電視學系,9,5,4,0,3,4,1,0,0,0,0,1,0,8,4,4
,101,公立,一般大學,1,國立政治大學,圖書資訊與檔案學研究所,6,3,3,2,2,1,0,0,1,0,0,0,0,6,3,3
,101,公立,一般大學,1,國立政治大學,廣告學系,12,3,9,2,5,1,1,0,2,0,0,0,1,11,3,8
,101,公立,一般大學,1,國立政治大學,傳播學院,10,4,6,0,0,1,2,2,0,0,0,1,4,5,3,2
,101,公立,一般大學,1,國立政治大學,智慧財產研究所,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
,101,公立,一般大學,1,國立政治大學,會計學系,18,9,9,7,5,1,4,1,0,0,0,0,0,18,9,9
,101,公立,一般大學,1,國立政治大學,企業管理學系,26,18,8,12,4,4,1,2,2,0,0,0,1,25,18,7
,101,公立,一般大學,1,國立政治大學,國際經營管理英語碩士學位學程,3,3,0,3,0,0,0,0,0,0,0,0,0,3,3,0
,101,公立,一般大學,1,國立政治大學,國際經營與貿易學系,19,14,5,4,4,8,1,2,0,0,0,0,0,19,14,5
,101,公立,一般大學,1,國立政治大學,財務管理學系,12,10,2,8,1,1,1,1,0,0,0,0,0,12,10,2
,101,公立,一般大學,1,國立政治大學,金融學系,10,9,1,5,0,2,0,2,1,0,0,0,0,10,9,1
,101,公立,一般大學,1,國立政治大學,風險管理與保險學系,13,10,3,5,2,2,1,2,0,1,0,0,0,12,9,3
,101,公立,一般大學,1,國立政治大學,財政學系,16,12,4,6,3,5,1,1,0,0,0,0,0,16,12,4
,101,公立,一般大學,1,國立政治大學,科技管理研究所,7,6,1,5,0,0,0,1,1,0,0,0,0,7,6,1
,101,公立,一般大學,1,國立政治大學,法律學系,34,25,9,11,1,9,4,5,4,0,0,0,0,34,25,9
,101,公立,一般大學,1,國立政治大學,法律科際整合研究所,8,4,4,2,2,2,2,0,0,0,0,0,0,8,4,4
,101,公立,一般大學,1,國立政治大學,法學院,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
,101,公立,一般大學,1,國立政治大學,應用物理研究所,6,5,1,2,0,1,0,2,1,0,0,0,0,6,5,1
,101,公立,一般大學,1,國立政治大學,應用數學系,14,12,2,4,0,5,2,3,0,0,0,0,0,14,12,2
,101,公立,一般大學,1,國立政治大學,統計學系,16,7,9,2,4,4,3,1,1,0,0,0,1,15,7,8
,101,公立,一般大學,1,國立政治大學,資訊管理學系,24,17,7,10,2,6,4,1,0,0,0,0,1,23,17,6
,101,公立,一般大學,1,國立政治大學,資訊科學系,19,18,1,9,0,3,0,6,1,0,0,0,0,19,18,1
,101,公立,一般大學,1,國立政治大學,神經科學研究所,4,2,2,1,0,0,0,1,2,0,0,0,0,4,2,2
,101,公立,一般大學,1,國立政治大學,社會工作研究所,5,1,4,0,3,1,0,0,1,0,0,0,0,5,1,4
,101,公立,一般大學,1,國立政治大學,外文中心,23,2,21,0,0,0,2,0,6,2,10,0,3,8,0,8
,101,公立,一般大學,1,國立政治大學,體育室,14,9,5,1,0,6,1,0,3,1,1,1,0,11,7,4
,101,公立,一般大學,1,國立政治大學,學生事務處軍訓室,6,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0
,101,公立,一般大學,1,國立政治大學,師資培育中心,5,1,4,1,3,0,1,0,0,0,0,0,0,5,1,4
,101,公立,一般大學,1,國立政治大學,人文中心,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,公企中心總務組,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,公共行政及企業管理教育中心,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,國際事務學院,5,4,1,1,0,3,0,0,0,0,0,0,1,4,4,0
,101,公立,一般大學,1,國立政治大學,教務處,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,華語文教學中心,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
,101,公立,一般大學,1,國立政治大學,電子計算機中心應用系統組,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,體育室教學組,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,101,公立,一般大學,1,國立政治大學,商學院,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,外國語文學院,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,101,公立,一般大學,2,國立清華大學,台灣文學研究所,8,2,6,0,1,2,2,0,3,0,0,0,0,8,2,6
,101,公立,一般大學,2,國立清華大學,中國文學系,19,12,7,5,3,2,2,5,2,0,0,0,0,19,12,7
,101,公立,一般大學,2,國立清華大學,外國語文學系,18,2,16,0,2,1,7,1,6,0,1,0,0,17,2,15
,101,公立,一般大學,2,國立清華大學,語言學研究所,9,5,4,3,2,2,2,0,0,0,0,0,0,9,5,4
,101,公立,一般大學,2,國立清華大學,歷史研究所,10,6,4,3,0,1,3,2,1,0,0,0,0,10,6,4
