學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,總計,專任教師數一般教師-教授,專任教師數一般教師-副教授,專任教師數一般教師-助理教授,專任教師數一般教師-講師,專任教師數-專案教學人員-教授,專任教師數--專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,一般大學,0001,國立政治大學,編制內,685,307,218,122,6,0,0,0,0,0,2,5,4,21
110,公立,一般大學,0001,國立政治大學,編制外,41,0,0,0,0,4,0,18,19,0,0,0,0,0
110,公立,一般大學,0002,國立清華大學,編制內,823,447,241,125,3,0,0,0,0,1,1,1,0,4
110,公立,一般大學,0002,國立清華大學,編制外,36,0,0,0,0,15,2,10,8,1,0,0,0,0
110,公立,一般大學,0003,國立臺灣大學,編制內,2012,1147,530,306,13,0,0,0,0,1,0,2,1,12
110,公立,一般大學,0003,國立臺灣大學,編制外,52,0,0,0,0,1,5,38,8,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,784,450,212,89,13,0,0,0,0,4,1,2,0,13
110,公立,一般大學,0004,國立臺灣師範大學,編制外,41,0,0,0,0,0,0,19,22,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制內,1286,650,414,196,8,0,0,0,0,0,0,0,0,18
110,公立,一般大學,0005,國立成功大學,編制外,42,0,0,0,0,4,2,23,13,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制內,782,410,205,140,13,0,0,0,0,0,0,0,0,14
110,公立,一般大學,0006,國立中興大學,編制外,58,0,0,0,0,6,13,39,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制內,1092,589,291,184,12,0,0,0,0,0,0,1,0,15
110,公立,一般大學,0007,國立陽明交通大學,編制外,64,0,0,0,0,17,5,33,9,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制內,622,340,170,98,9,0,0,0,0,0,0,0,0,5
110,公立,一般大學,0008,國立中央大學,編制外,53,0,0,0,0,22,5,17,8,1,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制內,535,247,136,147,1,0,0,0,0,0,0,0,0,4
110,公立,一般大學,0009,國立中山大學,編制外,39,0,0,0,0,4,3,32,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,430,193,115,106,2,0,0,0,0,0,0,1,0,13
