學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,年齡組別,總計,專任教師數-一般教師-教授,專任教師數-一般教師-副教授,專任教師數-一般教師-助理教授,專任教師數-一般教師-講師,專任教師數-專案教學人員-教授,專任教師數-專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,一般大學,0001,國立政治大學,編制內,30歲至未滿35歲,21,0,1,19,0,0,0,0,0,0,0,0,1,0
110,公立,一般大學,0001,國立政治大學,編制內,35歲至未滿40歲,46,1,10,33,0,0,0,0,0,0,0,1,1,0
110,公立,一般大學,0001,國立政治大學,編制內,40歲至未滿45歲,87,11,42,33,0,0,0,0,0,0,0,0,1,0
110,公立,一般大學,0001,國立政治大學,編制內,45歲至未滿50歲,112,33,61,13,0,0,0,0,0,0,0,2,0,3
110,公立,一般大學,0001,國立政治大學,編制內,50歲至未滿55歲,153,76,50,11,1,0,0,0,0,0,0,0,1,14
110,公立,一般大學,0001,國立政治大學,編制內,55歲至未滿60歲,155,103,32,9,4,0,0,0,0,0,2,2,0,3
110,公立,一般大學,0001,國立政治大學,編制內,60歲至未滿65歲,97,70,21,4,1,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0001,國立政治大學,編制內,65歲以上,14,13,1,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0001,國立政治大學,編制外,30歲至未滿35歲,2,0,0,0,0,0,0,1,1,0,0,0,0,0
110,公立,一般大學,0001,國立政治大學,編制外,35歲至未滿40歲,5,0,0,0,0,0,0,4,1,0,0,0,0,0
110,公立,一般大學,0001,國立政治大學,編制外,40歲至未滿45歲,13,0,0,0,0,0,0,8,5,0,0,0,0,0
110,公立,一般大學,0001,國立政治大學,編制外,45歲至未滿50歲,8,0,0,0,0,0,0,3,5,0,0,0,0,0
110,公立,一般大學,0001,國立政治大學,編制外,50歲至未滿55歲,7,0,0,0,0,0,0,2,5,0,0,0,0,0
110,公立,一般大學,0001,國立政治大學,編制外,55歲至未滿60歲,2,0,0,0,0,0,0,0,2,0,0,0,0,0
110,公立,一般大學,0001,國立政治大學,編制外,65歲以上,4,0,0,0,0,4,0,0,0,0,0,0,0,0
110,公立,一般大學,0002,國立清華大學,編制內,25歲至未滿30歲,1,0,0,0,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0002,國立清華大學,編制內,30歲至未滿35歲,21,0,0,20,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0002,國立清華大學,編制內,35歲至未滿40歲,77,1,21,55,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0002,國立清華大學,編制內,40歲至未滿45歲,132,37,61,33,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0002,國立清華大學,編制內,45歲至未滿50歲,151,71,66,12,0,0,0,0,0,0,1,0,0,1
110,公立,一般大學,0002,國立清華大學,編制內,50歲至未滿55歲,154,101,48,3,0,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0002,國立清華大學,編制內,55歲至未滿60歲,121,88,30,1,0,0,0,0,0,1,0,1,0,0
