學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,學位別,總計,專任教師數-一般教師-教授,專任教師數-一般教師-副教授,專任教師數-一般教師-助理教授,專任教師數-一般教師-講師,專任教師數-專案教學人員-教授,專任教師數-專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,一般大學,0001,國立政治大學,編制內,學士,19,0,0,1,1,0,0,0,0,0,0,0,0,17
110,公立,一般大學,0001,國立政治大學,編制內,博士,638,302,214,121,0,0,0,0,0,0,0,1,0,0
110,公立,一般大學,0001,國立政治大學,編制內,碩士,28,5,4,0,5,0,0,0,0,0,2,4,4,4
110,公立,一般大學,0001,國立政治大學,編制外,博士,21,0,0,0,0,3,0,18,0,0,0,0,0,0
110,公立,一般大學,0001,國立政治大學,編制外,碩士,20,0,0,0,0,1,0,0,19,0,0,0,0,0
110,公立,一般大學,0002,國立清華大學,編制內,學士,5,2,0,0,0,0,0,0,0,0,1,0,0,2
110,公立,一般大學,0002,國立清華大學,編制內,博士,797,440,234,122,0,0,0,0,0,0,0,1,0,0
110,公立,一般大學,0002,國立清華大學,編制內,碩士,21,5,7,3,3,0,0,0,0,1,0,0,0,2
110,公立,一般大學,0002,國立清華大學,編制外,博士,27,0,0,0,0,14,2,10,1,0,0,0,0,0
110,公立,一般大學,0002,國立清華大學,編制外,碩士,9,0,0,0,0,1,0,0,7,1,0,0,0,0
110,公立,一般大學,0003,國立臺灣大學,編制內,學士,46,21,14,6,0,0,0,0,0,0,0,0,0,5
110,公立,一般大學,0003,國立臺灣大學,編制內,博士,1918,1117,504,292,3,0,0,0,0,1,0,1,0,0
110,公立,一般大學,0003,國立臺灣大學,編制內,碩士,48,9,12,8,10,0,0,0,0,0,0,1,1,7
110,公立,一般大學,0003,國立臺灣大學,編制外,學士,2,0,0,0,0,0,0,1,1,0,0,0,0,0
110,公立,一般大學,0003,國立臺灣大學,編制外,博士,44,0,0,0,0,1,5,37,1,0,0,0,0,0
110,公立,一般大學,0003,國立臺灣大學,編制外,碩士,6,0,0,0,0,0,0,0,6,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,學士,9,0,0,0,0,0,0,0,0,2,0,0,0,7
110,公立,一般大學,0004,國立臺灣師範大學,編制內,博士,734,436,207,88,3,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,碩士,37,11,4,1,10,0,0,0,0,2,1,2,0,6
110,公立,一般大學,0004,國立臺灣師範大學,編制內,其他,4,3,1,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,博士,22,0,0,0,0,0,0,19,3,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,碩士,18,0,0,0,0,0,0,0,18,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,其他,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制內,學士,55,25,24,3,0,0,0,0,0,0,0,0,0,3
