學年度,設立別,學校類別,學校統計處代碼,學校名稱,教師類別,編制外專任教師支給數額情形-教授-平均支給數額,編制外專任教師支給數額情形-教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-副教授-平均支給數額,編制外專任教師支給數額情形-副教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-助理教授-平均支給數額,編制外專任教師支給數額情形-助理教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-講師-平均支給數額,編制外專任教師支給數額情形-講師-與公立學校支給數額相較之比率(%)
107,公立,一般大學,0001,國立政治大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0001,國立政治大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0002,國立清華大學,專業技術人員,"100,165",100,無,無,無,無,無,無
107,公立,一般大學,0002,國立清華大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0003,國立臺灣大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0003,國立臺灣大學,專案教學人員,"100,165",100,"90,620",100,"73,484",100,"58,135",100
107,公立,一般大學,0004,國立臺灣師範大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0004,國立臺灣師範大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,公立,一般大學,0005,國立成功大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0005,國立成功大學,專案教學人員,"100,165",100,無,無,"71,110",100,"58,135",100
107,公立,一般大學,0006,國立中興大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0006,國立中興大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,公立,一般大學,0007,國立陽明交通大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0007,國立陽明交通大學,專案教學人員,"101,165",100,無,無,"71,780",100,"59,135",100
107,公立,一般大學,0008,國立中央大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0008,國立中央大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0009,國立中山大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0009,國立中山大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,無,無
107,公立,一般大學,0012,國立臺灣海洋大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0012,國立臺灣海洋大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,公立,一般大學,0013,國立中正大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0013,國立中正大學,專案教學人員,"100,165",100,無,無,"70,780",100,"58,135",100
107,公立,一般大學,0014,國立高雄師範大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0014,國立高雄師範大學,專案教學人員,無,無,無,無,"70,780",100,無,無
107,公立,一般大學,0015,國立彰化師範大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0015,國立彰化師範大學,專案教學人員,無,無,"80,670",100,"70,780",100,無,無
107,公立,一般大學,0016,國立陽明大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0016,國立陽明大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0017,國立臺北大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0017,國立臺北大學,專案教學人員,"100,165",100,無,無,"70,780",100,"58,135",100
107,公立,一般大學,0018,國立嘉義大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0018,國立嘉義大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,公立,一般大學,0019,國立高雄大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0019,國立高雄大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,公立,一般大學,0020,國立東華大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0020,國立東華大學,專案教學人員,無,無,"80,670",100,"70,780",100,"60,995",100
107,公立,一般大學,0021,國立暨南國際大學,專業技術人員,無,無,無,無,"70,780",100,"58,135",100
107,公立,一般大學,0021,國立暨南國際大學,專案教學人員,"100,165",100,無,無,"70,780",100,"58,135",100
107,公立,技專校院,0022,國立臺灣科技大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,技專校院,0022,國立臺灣科技大學,專業技術人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,技專校院,0023,國立雲林科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,公立,技專校院,0024,國立屏東科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,公立,技專校院,0025,國立臺北科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0028,國立臺北藝術大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0028,國立臺北藝術大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,無,無
107,公立,一般大學,0029,國立臺灣藝術大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0029,國立臺灣藝術大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0030,國立臺東大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0030,國立臺東大學,專案教學人員,無,無,無,無,無,無,"58,135",100
107,公立,一般大學,0031,國立宜蘭大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0031,國立宜蘭大學,專案教學人員,無,無,"80,670",100,"70,780",100,無,無
107,公立,一般大學,0032,國立聯合大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0032,國立聯合大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,公立,技專校院,0033,國立虎尾科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0035,國立臺南藝術大學,專業技術人員,無,無,"80,670",100,無,無,無,無
107,公立,一般大學,0035,國立臺南藝術大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0036,國立臺南大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0036,國立臺南大學,專案教學人員,無,無,無,無,"60,000",84.77,無,無
107,公立,一般大學,0037,國立臺北教育大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0037,國立臺北教育大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0039,國立臺中教育大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0039,國立臺中教育大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
