學年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數(不含其他教師),編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-總數,編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-教授,編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-副教授,編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-助理教授,編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-講師,編制外專任教師比率(%)
107,公立,一般大學,0001,國立政治大學,690,36,2,1,16,17,5.22
107,公立,一般大學,0002,國立清華大學,818,27,13,1,7,6,3.30
107,公立,一般大學,0003,國立臺灣大學,2030,34,1,1,26,6,1.67
107,公立,一般大學,0004,國立臺灣師範大學,826,48,7,0,21,20,5.81
107,公立,一般大學,0005,國立成功大學,1306,35,1,0,17,17,2.68
107,公立,一般大學,0006,國立中興大學,756,12,0,0,10,2,1.59
107,公立,一般大學,0007,國立陽明交通大學,728,22,8,0,8,6,3.02
107,公立,一般大學,0008,國立中央大學,636,37,12,4,11,10,5.82
107,公立,一般大學,0009,國立中山大學,515,27,1,1,25,0,5.24
107,公立,一般大學,0012,國立臺灣海洋大學,402,8,0,0,6,2,1.99
107,公立,一般大學,0013,國立中正大學,544,31,5,0,18,8,5.70
107,公立,一般大學,0014,國立高雄師範大學,282,2,0,0,2,0,0.71
107,公立,一般大學,0015,國立彰化師範大學,368,12,1,1,10,0,3.26
107,公立,一般大學,0016,國立陽明大學,398,23,2,2,13,6,5.78
107,公立,一般大學,0017,國立臺北大學,367,14,5,1,7,1,3.81
107,公立,一般大學,0018,國立嘉義大學,503,36,0,0,30,6,7.16
107,公立,一般大學,0019,國立高雄大學,235,10,0,0,8,2,4.26
107,公立,一般大學,0020,國立東華大學,477,30,0,1,4,25,6.29
107,公立,一般大學,0021,國立暨南國際大學,267,24,1,0,14,9,8.99
107,公立,技專校院,0022,國立臺灣科技大學,493,83,18,6,41,18,16.84
107,公立,技專校院,0023,國立雲林科技大學,400,62,0,4,43,15,15.50
107,公立,技專校院,0024,國立屏東科技大學,405,50,0,2,34,14,12.35
107,公立,技專校院,0025,國立臺北科技大學,455,28,0,1,16,11,6.15
107,公立,一般大學,0028,國立臺北藝術大學,151,11,5,3,3,0,7.28
107,公立,一般大學,0029,國立臺灣藝術大學,164,20,6,3,10,1,12.20
107,公立,一般大學,0030,國立臺東大學,190,2,0,0,0,2,1.05
107,公立,一般大學,0031,國立宜蘭大學,227,15,0,1,14,0,6.61
107,公立,一般大學,0032,國立聯合大學,281,8,0,0,4,4,2.85
107,公立,技專校院,0033,國立虎尾科技大學,331,11,0,2,8,1,3.32
107,公立,一般大學,0035,國立臺南藝術大學,108,11,4,2,3,2,10.19
107,公立,一般大學,0036,國立臺南大學,231,1,0,0,1,0,0.43
107,公立,一般大學,0037,國立臺北教育大學,232,7,0,1,3,3,3.02
107,公立,一般大學,0039,國立臺中教育大學,198,6,0,0,5,1,3.03
107,公立,技專校院,0042,國立澎湖科技大學,119,25,0,2,18,5,21.01
107,公立,技專校院,0043,國立勤益科技大學,281,29,3,2,24,0,10.32
107,公立,一般大學,0044,國立體育大學,90,0,0,0,0,0,0
107,公立,技專校院,0046,國立臺北護理健康大學,162,9,0,0,8,1,5.56
107,公立,技專校院,0047,國立高雄餐旅大學,157,31,2,5,16,8,19.75
107,公立,一般大學,0048,國立金門大學,144,17,0,1,15,1,11.81
107,公立,一般大學,0049,國立臺灣體育運動大學,102,1,0,0,0,1,0.98
107,公立,技專校院,0050,國立臺中科技大學,377,39,1,0,29,9,10.34
107,公立,技專校院,0051,國立臺北商業大學,198,2,0,0,2,0,1.01
107,公立,一般大學,0052,國立屏東大學,335,5,0,0,3,2,1.49
107,公立,技專校院,0053,國立高雄科技大學,846,39,0,1,29,9,4.61
107,公立,技專校院,0144,國立臺灣戲曲學院,33,0,0,0,0,0,0
107,公立,技專校院,0221,國立臺南護理專科學校,62,5,0,0,0,5,8.06
107,公立,技專校院,0222,國立臺東專科學校,66,5,0,0,3,2,7.58
107,私立,一般大學,1001,東海大學,519,30,5,0,14,11,5.78
107,私立,一般大學,1002,輔仁大學,715,70,0,7,55,8,9.79
107,私立,一般大學,1003,東吳大學,435,45,12,5,27,1,10.34
107,私立,一般大學,1004,中原大學,481,8,6,1,1,0,1.66
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,706,18,6,0,12,0,2.55
107,私立,一般大學,1006,中國文化大學,714,39,0,4,29,6,5.46
107,私立,一般大學,1007,逢甲大學,636,12,8,0,4,0,1.89
107,私立,一般大學,1008,靜宜大學,369,54,0,1,38,15,14.63
107,私立,一般大學,1009,長庚大學,582,0,0,0,0,0,0
107,私立,一般大學,1010,元智大學,307,10,1,0,4,5,3.26
107,私立,一般大學,1011,中華大學學校財團法人中華大學,229,8,0,1,6,1,3.49
107,私立,一般大學,1012,大葉大學,307,58,3,7,26,22,18.89
107,私立,一般大學,1013,華梵大學,93,4,1,1,1,1,4.30
107,私立,一般大學,1014,義守大學,495,26,3,3,16,4,5.25
107,私立,一般大學,1015,世新大學,329,36,6,0,16,14,10.94
107,私立,一般大學,1016,銘傳大學,571,45,15,1,27,2,7.88
107,私立,一般大學,1017,實踐大學,365,84,3,5,55,21,23.01
107,私立,技專校院,1018,朝陽科技大學,390,29,0,0,15,14,7.44
107,私立,一般大學,1019,高雄醫學大學,556,14,4,3,5,2,2.52
107,私立,一般大學,1020,南華大學,203,9,0,0,8,1,4.43
107,私立,一般大學,1021,真理大學,263,1,0,0,1,0,0.38
107,私立,一般大學,1022,大同大學,157,10,0,0,9,1,6.37
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,560,5,0,0,5,0,0.89
107,私立,技專校院,1024,崑山科技大學,339,5,0,1,3,1,1.47
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,456,11,0,0,4,7,2.41
107,私立,技專校院,1026,樹德科技大學,279,56,0,4,46,6,20.07
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,239,13,0,0,3,10,5.44
107,私立,一般大學,1028,臺北醫學大學,614,4,0,0,4,0,0.65
107,私立,一般大學,1029,中山醫學大學,408,26,6,3,1,16,6.37
107,私立,技專校院,1030,龍華科技大學,246,31,0,0,28,3,12.60
107,私立,技專校院,1031,輔英科技大學,257,15,0,1,14,0,5.84
107,私立,技專校院,1032,明新學校財團法人明新科技大學,359,25,2,0,11,12,6.96
107,私立,一般大學,1033,長榮大學,330,51,5,0,46,0,15.45
107,私立,技專校院,1034,弘光科技大學,294,52,1,0,36,15,17.69
107,私立,一般大學,1035,中國醫藥大學,494,2,0,1,0,1,0.40
107,私立,技專校院,1036,健行學校財團法人健行科技大學,283,28,2,4,12,10,9.89
107,私立,技專校院,1037,正修學校財團法人正修科技大學,418,3,0,0,2,1,0.72
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,231,37,0,2,21,14,16.02
107,私立,一般大學,1039,玄奘大學,111,21,0,3,13,5,18.92
107,私立,技專校院,1040,建國科技大學,245,11,0,1,7,3,4.49
107,私立,技專校院,1041,明志科技大學,189,6,0,0,6,0,3.17
107,私立,技專校院,1042,高苑科技大學,239,4,0,0,1,3,1.67
107,私立,技專校院,1043,大仁科技大學,217,19,0,1,8,10,8.76
107,私立,技專校院,1044,聖約翰科技大學,173,8,0,1,6,1,4.62
107,私立,技專校院,1045,嶺東科技大學,259,6,0,0,5,1,2.32
107,私立,技專校院,1046,中國科技大學,284,17,0,3,13,1,5.99
107,私立,技專校院,1047,中臺科技大學,240,8,0,0,5,3,3.33
107,私立,一般大學,1048,亞洲大學,383,49,6,1,25,17,12.79
107,私立,一般大學,1049,開南大學,225,5,0,0,0,5,2.22
107,私立,一般大學,1050,佛光大學,172,13,1,0,4,8,7.56
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,327,38,2,0,31,5,11.62
107,私立,技專校院,1052,遠東科技大學,208,8,0,0,5,3,3.85
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,194,13,2,1,8,2,6.70
107,私立,技專校院,1054,景文科技大學,185,3,0,0,1,2,1.62
107,私立,技專校院,1055,中華醫事科技大學,254,8,0,0,4,4,3.15
107,私立,技專校院,1056,東南科技大學,191,19,0,0,11,8,9.95
107,私立,技專校院,1057,德明財經科技大學,227,26,0,0,13,13,11.45
107,私立,一般大學,1058,明道學校財團法人明道大學,125,38,0,1,32,5,30.40
107,私立,技專校院,1060,南開科技大學,177,3,0,0,3,0,1.69
107,私立,技專校院,1061,中華學校財團法人中華科技大學,208,14,3,0,7,4,6.73
107,私立,技專校院,1062,僑光科技大學,222,37,1,2,13,21,16.67
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,109,21,0,2,12,7,19.27
107,私立,技專校院,1064,美和學校財團法人美和科技大學,176,7,0,1,4,2,3.98
107,私立,技專校院,1065,吳鳳科技大學,150,13,0,0,4,9,8.67
107,私立,技專校院,1066,環球學校財團法人環球科技大學,163,7,0,0,3,4,4.29
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,86,8,0,2,4,2,9.30
107,私立,技專校院,1068,中州學校財團法人中州科技大學,112,8,0,0,1,7,7.14
107,私立,技專校院,1069,修平學校財團法人修平科技大學,183,3,0,0,0,3,1.64
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,245,10,0,0,8,2,4.08
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,232,27,1,1,14,11,11.64
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,77,4,0,1,1,2,5.19
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,222,20,0,0,11,9,9.01
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,87,18,0,1,6,11,20.69
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,263,19,1,0,18,0,7.22
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,144,4,0,0,3,1,2.78
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,130,15,0,0,11,4,11.54
107,私立,技專校院,1078,致理學校財團法人致理科技大學,272,48,1,0,43,4,17.65
107,私立,一般大學,1079,康寧學校財團法人康寧大學,119,18,0,2,9,7,15.13
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,188,15,1,0,7,7,7.98
107,私立,技專校院,1081,東方學校財團法人東方設計大學,113,7,1,0,4,2,6.19
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,97,40,0,3,21,16,41.24
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,137,21,0,3,14,4,15.33
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,47,31,6,2,12,11,65.96
107,私立,技專校院,1148,大漢技術學院,56,18,0,6,2,10,32.14
107,私立,技專校院,1159,和春技術學院,79,39,0,5,28,6,49.37
107,私立,技專校院,1166,亞東技術學院,151,12,1,1,10,0,7.95
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,110,24,1,1,4,18,21.82
107,私立,一般大學,1176,稻江科技暨管理學院,56,19,0,0,13,6,33.93
107,私立,技專校院,1182,蘭陽技術學院,77,10,0,1,1,8,12.99
107,私立,技專校院,1183,黎明技術學院,156,29,0,1,14,14,18.59
107,私立,技專校院,1185,經國管理暨健康學院,118,9,0,0,6,3,7.63
107,私立,技專校院,1188,大同技術學院,60,8,0,0,5,3,13.33
107,私立,技專校院,1192,臺灣觀光學院,23,19,0,2,7,10,82.61
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,125,10,1,4,5,0,8
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,23,1,1,0,0,0,4.35
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,114,5,0,0,0,5,4.39
107,私立,技專校院,1283,仁德醫護管理專科學校,154,15,0,0,0,15,9.74
107,私立,技專校院,1284,樹人醫護管理專科學校,178,43,0,0,10,33,24.16
107,私立,技專校院,1285,慈惠醫護管理專科學校,105,1,0,0,0,1,0.95
107,私立,技專校院,1286,耕莘健康管理專科學校,144,29,0,0,0,29,20.14
107,私立,技專校院,1287,敏惠醫護管理專科學校,96,8,0,0,1,7,8.33
107,私立,技專校院,1289,育英醫護管理專科學校,45,6,0,0,2,4,13.33
107,私立,技專校院,1291,聖母醫護管理專科學校,82,5,0,0,0,5,6.10
107,私立,技專校院,1292,新生醫護管理專科學校,170,50,0,0,6,44,29.41
107,私立,技專校院,1293,崇仁醫護管理專科學校,99,25,0,0,2,23,25.25
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,12,0,0,0,0,0,0
107,私立,宗教研修學院,1R03,臺北基督學院,11,5,1,0,4,0,45.45
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,9,1,1,0,0,0,11.11
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,16,0,0,0,0,0,0
107,私立,宗教研修學院,1R06,一貫道崇德學院,6,0,0,0,0,0,0
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,10,0,0,0,0,0,0
107,公立,一般大學,3002,臺北市立大學,322,4,0,0,4,0,1.24
108,公立,一般大學,0001,國立政治大學,718,40,2,2,16,20,5.57
108,公立,一般大學,0002,國立清華大學,824,30,15,1,8,6,3.64
108,公立,一般大學,0003,國立臺灣大學,2008,29,1,1,21,6,1.44
108,公立,一般大學,0004,國立臺灣師範大學,800,32,0,0,14,18,4
108,公立,一般大學,0005,國立成功大學,1321,35,1,0,15,19,2.65
108,公立,一般大學,0006,國立中興大學,763,18,2,0,15,1,2.36
108,公立,一般大學,0007,國立陽明交通大學,739,29,9,0,14,6,3.92
108,公立,一般大學,0008,國立中央大學,653,41,18,3,10,10,6.28
108,公立,一般大學,0009,國立中山大學,530,32,1,3,28,0,6.04
108,公立,一般大學,0012,國立臺灣海洋大學,416,10,0,0,8,2,2.40
108,公立,一般大學,0013,國立中正大學,528,24,4,0,13,7,4.55
108,公立,一般大學,0014,國立高雄師範大學,283,3,0,0,3,0,1.06
108,公立,一般大學,0015,國立彰化師範大學,362,16,3,1,12,0,4.42
108,公立,一般大學,0016,國立陽明大學,397,23,3,2,13,5,5.79
