學年度,設立別,學校類別,學校統計處代碼,學校名稱,身分類別,學術主管不符合聘任資格且未改善之單位名稱,備註
107,公立,一般大學,0030,國立臺東大學,學術(系、所、學位學程)主管,高齡健康與照護管理原住民專班,
107,公立,一般大學,0035,國立臺南藝術大學,學術(系、所、學位學程)主管,民族音樂學研究所,
107,公立,一般大學,0035,國立臺南藝術大學,學術(系、所、學位學程)主管,鋼琴合作藝術研究所,
107,公立,一般大學,0037,國立臺北教育大學,學術(系、所、學位學程)主管,當代藝術評論與策展研究全英語碩士學位學程,
107,公立,一般大學,0037,國立臺北教育大學,學術(系、所、學位學程)主管,學習與教學國際碩士學位學程,
107,公立,技專校院,0047,國立高雄餐旅大學,學術(系、所、學位學程)主管,國際觀光學士學位學程,
107,公立,技專校院,0144,國立臺灣戲曲學院,學術(系、所、學位學程)主管,京劇學系,
107,私立,一般大學,1002,輔仁大學,學術(系、所、學位學程)主管,教育領導與科技發展學士學位學程,
107,私立,一般大學,1002,輔仁大學,學術(系、所、學位學程)主管,軟體工程與數位創意學士學位學程,
107,私立,一般大學,1002,輔仁大學,學術(系、所、學位學程)主管,義大利語文學系,
107,私立,一般大學,1002,輔仁大學,學術(系、所、學位學程)主管,學士後法律學系,
107,私立,一般大學,1004,中原大學,學術(系、所、學位學程)主管,化學工程與材料科學國際碩士學位學程,
107,私立,一般大學,1004,中原大學,學術(系、所、學位學程)主管,巨量資料商業應用碩士學位學程,
107,私立,一般大學,1004,中原大學,學術(系、所、學位學程)主管,設計學院社會設計學士學位學程,
107,私立,一般大學,1007,逢甲大學,學術(系、所、學位學程)主管,室內設計進修學士班,
107,私立,一般大學,1007,逢甲大學,學術(系、所、學位學程)主管,室內設計學士學位學程,
107,私立,一般大學,1007,逢甲大學,學術(系、所、學位學程)主管,建築專業學院學士班,
107,私立,一般大學,1007,逢甲大學,學術(系、所、學位學程)主管,建築學士學位學程,
107,私立,一般大學,1007,逢甲大學,學術(系、所、學位學程)主管,澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,中等學校教師在職進修設計暨藝術碩士學位班,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,文創產業國際人才學士學位學程,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,休閒事業管理學系,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,多媒體數位內容學位學程,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,空間設計學系,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,建築研究所,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,英語學系,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,婚禮企劃暨節慶管理學士學位學程,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,設計暨藝術學院碩士在職專班,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,設計暨藝術學院碩士班,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,會計資訊學系,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,歐洲文化與旅遊學士學位學程,
107,私立,一般大學,1012,大葉大學,學術(系、所、學位學程)主管,觀光旅遊學系,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,公共事務學系,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,旅遊與觀光學士學位學程,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,時尚創意管理學士學位學程,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,動漫文創設計學士學位學程,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,教育研究所,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,教育暨應用語文學院教育研究所菲律賓境外碩士在職專班,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,華語文教學碩士學位學程(外國生專班),
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,華語文教學學系,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,資訊科技應用學士學位學程,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,廣播電視學系,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,數位媒體設計學系,
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,諮商與工商心理學系,
