學年度,設立別,學校類別,學校統計處代碼,學校名稱,授課時間,現行支給數額規定開始適用之日期,教授,副教授,助理教授,講師
110,私立,一般大學,1001,東海大學,日間,110/1/1,795,685,630,575
110,私立,一般大學,1001,東海大學,夜間,110/1/1,880,760,700,650
110,私立,一般大學,1002,輔仁大學,日間,109/1/1,955,825,765,695
110,私立,一般大學,1002,輔仁大學,夜間,109/1/1,995,850,800,740
110,私立,一般大學,1003,東吳大學,日間,109/8/1,850,735,675,615
110,私立,一般大學,1003,東吳大學,夜間,109/8/1,890,760,710,660
110,私立,一般大學,1004,中原大學,日間,108/8/1,925,795,735,670
110,私立,一般大學,1004,中原大學,夜間,108/8/1,965,825,775,715
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,日間,109/1/1,955,820,760,695
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,夜間,109/1/1,995,850,800,740
110,私立,一般大學,1006,中國文化大學,日間,97/8/1,795,685,630,575
110,私立,一般大學,1006,中國文化大學,夜間,87/12/8,800,700,700,600
110,私立,一般大學,1007,逢甲大學,日間,109/1/1,955,820,760,695
110,私立,一般大學,1007,逢甲大學,夜間,109/1/1,955,820,760,695
110,私立,一般大學,1008,靜宜大學,日間,108/8/1,925,795,735,670
110,私立,一般大學,1008,靜宜大學,夜間,108/8/1,965,825,775,715
110,私立,一般大學,1009,長庚大學,日間,109/1/1,955,820,760,695
110,私立,一般大學,1009,長庚大學,夜間,109/1/1,995,850,800,740
110,私立,一般大學,1010,元智大學,日間,108/2/1,925,795,735,670
110,私立,一般大學,1010,元智大學,夜間,108/2/1,965,825,775,715
110,私立,一般大學,1011,中華大學學校財團法人中華大學,日間,103/7/2,795,685,630,575
110,私立,一般大學,1011,中華大學學校財團法人中華大學,夜間,103/7/2,830,710,665,615
110,私立,一般大學,1012,大葉大學,日間,108/8/1,955,820,760,695
110,私立,一般大學,1012,大葉大學,夜間,108/8/1,995,850,800,740
110,私立,一般大學,1013,華梵大學,日間,105/4/13,855,745,690,635
110,私立,一般大學,1014,義守大學,日間,106/8/1,925,795,735,670
110,私立,一般大學,1014,義守大學,夜間,106/8/1,965,825,775,715
110,私立,一般大學,1015,世新大學,日間,109/1/1,955,820,760,695
110,私立,一般大學,1015,世新大學,夜間,109/1/1,995,850,800,740
110,私立,一般大學,1016,銘傳大學,日間,82/7/5,795,685,630,575
110,私立,一般大學,1016,銘傳大學,夜間,82/7/5,830,710,665,615
110,私立,一般大學,1017,實踐大學,日間,105/12/27,795,685,630,575
110,私立,一般大學,1017,實踐大學,夜間,105/12/27,830,710,665,615
110,私立,技專校院,1018,朝陽科技大學,日間,109/01/01,955,820,760,695
110,私立,技專校院,1018,朝陽科技大學,夜間,109/01/01,995,850,800,740
110,私立,一般大學,1019,高雄醫學大學,日間,107/9/13,955,820,760,695
110,私立,一般大學,1019,高雄醫學大學,夜間,107/9/13,995,850,800,740
110,私立,一般大學,1020,南華大學,日間,105/8/1,925,795,735,670
110,私立,一般大學,1020,南華大學,夜間,105/8/1,965,825,775,715
110,私立,一般大學,1021,真理大學,日間,108/11/11,795,685,630,575
110,私立,一般大學,1021,真理大學,夜間,108/11/11,830,710,665,615
110,私立,一般大學,1022,大同大學,日間,108/7/25,795,685,630,575
110,私立,一般大學,1022,大同大學,夜間,108/7/25,795,685,630,575
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,日間,109/01/01,955,820,760,695
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,夜間,109/01/01,995,850,800,740
110,私立,技專校院,1024,崑山科技大學,日間,108/08/01,795,685,630,575
110,私立,技專校院,1024,崑山科技大學,夜間,108/08/01,830,710,665,615
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,日間,109/01/01,955,820,760,695
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,夜間,109/01/01,995,850,800,740
110,私立,技專校院,1026,樹德科技大學,日間,86/08/01,795,685,630,575
110,私立,技專校院,1026,樹德科技大學,夜間,86/08/01,830,710,665,615
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,日間,108/8/1,955,820,760,695
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,夜間,108/8/1,995,850,800,740
110,私立,一般大學,1028,臺北醫學大學,日間,108/8/1,955,820,760,695
110,私立,一般大學,1028,臺北醫學大學,夜間,110/7/13,1146,984,912,834
110,私立,一般大學,1029,中山醫學大學,日間,103/9/18,795,685,630,575
110,私立,一般大學,1029,中山醫學大學,夜間,103/9/18,954,822,756,690
110,私立,技專校院,1030,龍華科技大學,日間,82/07/01,795,685,630,575
110,私立,技專校院,1030,龍華科技大學,夜間,82/07/01,830,710,665,615
110,私立,技專校院,1031,輔英科技大學,日間,86/03/21,795,685,630,575
110,私立,技專校院,1031,輔英科技大學,夜間,86/03/21,830,710,665,615
110,私立,技專校院,1032,明新學校財團法人明新科技大學,日間,110/02/01,795,685,630,575
110,私立,技專校院,1032,明新學校財團法人明新科技大學,夜間,110/02/01,830,710,665,615
110,私立,一般大學,1033,長榮大學,日間,104/12/3,925,795,735,670
110,私立,一般大學,1033,長榮大學,夜間,104/12/3,965,825,775,715
110,私立,技專校院,1034,弘光科技大學,日間,110/06/29,955,820,760,695
110,私立,技專校院,1034,弘光科技大學,夜間,110/06/29,995,850,800,740
110,私立,一般大學,1035,中國醫藥大學,日間,108/8/1,955,820,760,695
110,私立,一般大學,1035,中國醫藥大學,夜間,108/8/1,995,850,800,740
110,私立,技專校院,1036,健行學校財團法人健行科技大學,日間,86/03/21,795,685,630,575
110,私立,技專校院,1036,健行學校財團法人健行科技大學,夜間,86/03/21,830,710,665,615
110,私立,技專校院,1037,正修學校財團法人正修科技大學,日間,106/02/01,795,685,630,575
110,私立,技專校院,1037,正修學校財團法人正修科技大學,夜間,106/02/01,830,710,665,615
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,日間,109/09/30,795,685,630,575
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,夜間,109/09/30,830,710,665,615
110,私立,一般大學,1039,玄奘大學,日間,108/6/24,925,795,735,670
110,私立,一般大學,1039,玄奘大學,夜間,108/6/24,965,825,775,715
110,私立,技專校院,1040,建國科技大學,日間,89/08/01,810,700,645,590
110,私立,技專校院,1040,建國科技大學,夜間,89/08/01,810,700,645,590
110,私立,技專校院,1041,明志科技大學,日間,109/01/01,955,820,760,695
110,私立,技專校院,1041,明志科技大學,夜間,109/01/01,995,850,800,740
110,私立,技專校院,1042,高苑科技大學,日間,86/02/21,795,685,630,575
110,私立,技專校院,1042,高苑科技大學,夜間,86/02/21,830,710,665,615
110,私立,技專校院,1043,大仁科技大學,日間,86/03/21,795,685,630,575
110,私立,技專校院,1043,大仁科技大學,夜間,86/03/21,795,685,630,575
110,私立,技專校院,1044,聖約翰科技大學,日間,109/08/01,795,685,630,575
110,私立,技專校院,1044,聖約翰科技大學,夜間,109/08/01,830,710,665,615
110,私立,技專校院,1045,嶺東科技大學,日間,86/03/21,795,685,630,575
110,私立,技專校院,1045,嶺東科技大學,夜間,86/03/21,830,710,665,615
110,私立,技專校院,1046,中國科技大學,日間,86/03/21,795,685,630,575
