學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學博士學位學程,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學碩士學位學程,6,2,4,2,0,0,1,0,1,0,2,0,0,4,2,2,6,2,4
106,公立,一般大學,0001,國立政治大學,01199Y03,教育學院,5,1,4,1,1,0,1,0,0,0,2,0,0,3,1,2,5,1,4
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,8,7,1,4,0,0,1,2,0,1,0,0,0,7,6,1,8,7,1
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,7,5,2,0,1,3,0,2,1,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,10,7,3,3,1,3,0,0,2,1,0,0,0,9,6,3,10,7,3
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,4,4,0,1,0,0,0,0,0,3,0,0,0,1,1,0,4,4,0
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,12,4,8,0,0,0,1,1,2,3,5,0,0,4,1,3,12,4,8
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,21,4,17,0,1,1,1,1,3,2,12,0,0,7,2,5,21,4,17
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,8,6,2,1,0,0,0,1,1,4,1,0,0,3,2,1,8,6,2
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,7,2,5,1,0,0,0,0,4,1,1,0,0,5,1,4,7,2,5
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,7,2,5,1,1,0,1,0,1,1,2,0,0,4,1,3,7,2,5
106,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,4,4,0,3,0,1,0,0,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,26,19,7,8,2,0,2,1,0,10,3,0,0,13,9,4,26,19,7
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,10,10,0,8,0,2,0,0,0,0,0,0,0,10,10,0,10,10,0
