學年度,設立別,學校類別,學校統計處代碼,學校名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
106,公立,一般大學,0001,國立政治大學,430,302,128,137,21,53,17,47,38,65,52,0,0,313,237,76,430,302,128
106,公立,一般大學,0002,國立清華大學,571,306,265,65,15,30,27,80,85,131,138,0,0,302,175,127,571,306,265
106,公立,一般大學,0003,國立臺灣大學,1328,985,343,343,66,188,48,252,99,202,130,0,0,996,783,213,1328,985,343
106,公立,一般大學,0004,國立臺灣師範大學,532,334,198,104,41,66,33,79,63,85,61,0,0,386,249,137,532,334,198
106,公立,一般大學,0005,國立成功大學,684,523,161,214,23,105,23,131,43,73,72,0,0,539,450,89,684,523,161
106,公立,一般大學,0006,國立中興大學,310,219,91,81,12,41,12,56,26,41,41,0,0,228,178,50,310,219,91
106,公立,一般大學,0007,國立陽明交通大學,245,158,87,52,9,24,4,49,27,33,47,0,0,165,125,40,245,158,87
106,公立,一般大學,0008,國立中央大學,341,263,78,124,12,57,11,53,22,29,33,0,0,279,234,45,341,263,78
106,公立,一般大學,0009,國立中山大學,198,118,80,44,6,18,11,33,32,23,31,0,0,144,95,49,198,118,80
106,公立,一般大學,0012,國立臺灣海洋大學,295,228,67,64,6,47,15,68,22,49,24,0,0,222,179,43,295,228,67
106,公立,一般大學,0013,國立中正大學,203,152,51,30,6,20,3,61,23,41,19,0,0,143,111,32,203,152,51
106,公立,一般大學,0014,國立高雄師範大學,279,173,106,22,2,24,12,72,49,55,43,0,0,181,118,63,279,173,106
106,公立,一般大學,0015,國立彰化師範大學,191,125,66,33,9,22,5,40,20,30,32,0,0,129,95,34,191,125,66
106,公立,一般大學,0016,國立陽明大學,540,395,145,88,11,91,26,118,37,98,71,0,0,371,297,74,540,395,145
106,公立,一般大學,0017,國立臺北大學,284,195,89,57,8,46,20,55,31,37,30,0,0,217,158,59,284,195,89
106,公立,一般大學,0018,國立嘉義大學,196,105,91,16,1,9,4,44,46,36,40,0,0,120,69,51,196,105,91
