學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,外籍專任教師數-教師總數,外籍專任教師數-教師總數男,外籍專任教師數-教師總數女,外籍專任教師數-教授男,外籍專任教師數-教授女,外籍專任教師數-副教授男,外籍專任教師數-副教授女,外籍專任教師數-助理教授男,外籍專任教師數-助理教授女,外籍專任教師數-講師男,外籍專任教師數-講師女,外籍專任教師數-其他教師男,外籍專任教師數-其他教師女
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,5,4,1,0,0,2,1,1,0,1,0,0,0
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,3,3,0,0,0,0,0,3,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,2,2,0,0,0,0,0,2,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,6,5,1,1,0,1,0,3,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,3,3,0,0,0,3,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,3,1,2,0,0,1,2,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,6,4,2,0,2,2,0,1,0,1,0,0,0
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,1,0,1,0,0,0,1,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,03122Y18,國際事務學院,2,2,0,1,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,99999Z08,外文中心,5,2,3,0,0,0,0,0,0,2,3,0,0
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,3,0,3,0,0,0,2,0,0,0,1,0,0
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,4,3,1,1,0,2,1,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,03199111,學習科學與科技研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,2,2,0,2,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,2,1,1,0,1,1,0,0,0,0,0,0,0
