學年度,設立別,學校類別,學校統計處代碼,學校名稱,外籍專任教師數-教師總數,外籍專任教師數-教師總數男,外籍專任教師數-教師總數女,外籍專任教師數-教授男,外籍專任教師數-教授女,外籍專任教師數-副教授男,外籍專任教師數-副教授女,外籍專任教師數-助理教授男,外籍專任教師數-助理教授女,外籍專任教師數-講師男,外籍專任教師數-講師女,外籍專任教師數-其他教師男,外籍專任教師數-其他教師女
106,公立,一般大學,0001,國立政治大學,42,32,10,3,2,12,4,13,1,4,3,0,0
106,公立,一般大學,0002,國立清華大學,34,29,5,15,1,11,3,3,0,0,1,0,0
106,公立,一般大學,0003,國立臺灣大學,62,49,13,17,0,10,3,20,6,2,4,0,0
106,公立,一般大學,0004,國立臺灣師範大學,25,18,7,5,3,8,1,3,2,2,1,0,0
106,公立,一般大學,0005,國立成功大學,27,25,2,8,0,7,1,9,1,1,0,0,0
106,公立,一般大學,0006,國立中興大學,10,7,3,2,0,1,0,4,1,0,2,0,0
106,公立,一般大學,0007,國立陽明交通大學,39,32,7,12,0,12,2,7,4,1,1,0,0
106,公立,一般大學,0008,國立中央大學,27,26,1,12,1,7,0,6,0,1,0,0,0
106,公立,一般大學,0009,國立中山大學,13,11,2,3,0,2,1,5,1,1,0,0,0
106,公立,一般大學,0012,國立臺灣海洋大學,3,3,0,0,0,0,0,2,0,1,0,0,0
106,公立,一般大學,0013,國立中正大學,7,6,1,2,1,3,0,1,0,0,0,0,0
106,公立,一般大學,0014,國立高雄師範大學,4,3,1,1,0,2,0,0,1,0,0,0,0
106,公立,一般大學,0015,國立彰化師範大學,7,6,1,2,0,1,0,1,1,2,0,0,0
106,公立,一般大學,0016,國立陽明大學,6,5,1,2,0,1,1,2,0,0,0,0,0
106,公立,一般大學,0017,國立臺北大學,6,4,2,1,0,0,1,2,1,1,0,0,0
106,公立,一般大學,0018,國立嘉義大學,4,4,0,0,0,0,0,1,0,3,0,0,0
106,公立,一般大學,0019,國立高雄大學,11,7,4,1,0,3,2,3,2,0,0,0,0
106,公立,一般大學,0020,國立東華大學,12,12,0,2,0,4,0,2,0,4,0,0,0
106,公立,一般大學,0021,國立暨南國際大學,5,5,0,1,0,3,0,0,0,1,0,0,0
106,公立,技專校院,0022,國立臺灣科技大學,15,12,3,5,0,2,1,4,0,1,2,0,0
106,公立,技專校院,0023,國立雲林科技大學,7,7,0,1,0,0,0,3,0,3,0,0,0
106,公立,技專校院,0024,國立屏東科技大學,6,5,1,1,1,1,0,2,0,1,0,0,0
106,公立,技專校院,0025,國立臺北科技大學,10,8,2,2,0,2,1,4,1,0,0,0,0
106,公立,技專校院,0026,國立高雄第一科技大學,9,6,3,0,0,2,0,3,1,1,2,0,0
106,公立,技專校院,0027,國立高雄應用科技大學,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0028,國立臺北藝術大學,7,6,1,2,0,2,1,2,0,0,0,0,0
106,公立,一般大學,0029,國立臺灣藝術大學,2,1,1,1,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0030,國立臺東大學,2,2,0,0,0,0,0,1,0,1,0,0,0
106,公立,一般大學,0031,國立宜蘭大學,3,3,0,0,0,1,0,1,0,1,0,0,0
106,公立,技專校院,0033,國立虎尾科技大學,3,2,1,0,0,0,0,2,1,0,0,0,0
106,公立,技專校院,0034,國立高雄海洋科技大學,1,1,0,0,0,0,0,0,0,1,0,0,0
106,公立,一般大學,0035,國立臺南藝術大學,6,5,1,3,1,1,0,1,0,0,0,0,0
106,公立,一般大學,0037,國立臺北教育大學,2,2,0,0,0,0,0,2,0,0,0,0,0
106,公立,一般大學,0039,國立臺中教育大學,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,技專校院,0042,國立澎湖科技大學,1,1,0,0,0,0,0,0,0,1,0,0,0
106,公立,技專校院,0043,國立勤益科技大學,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,技專校院,0046,國立臺北護理健康大學,1,1,0,0,0,0,0,0,0,1,0,0,0
106,公立,技專校院,0047,國立高雄餐旅大學,6,6,0,0,0,1,0,4,0,1,0,0,0
106,公立,一般大學,0048,國立金門大學,3,3,0,0,0,1,0,2,0,0,0,0,0
106,公立,一般大學,0049,國立臺灣體育運動大學,2,1,1,0,0,1,0,0,0,0,1,0,0
106,公立,技專校院,0050,國立臺中科技大學,8,6,2,0,0,0,0,4,1,2,1,0,0
106,公立,技專校院,0051,國立臺北商業大學,3,2,1,0,0,1,1,1,0,0,0,0,0
106,公立,一般大學,0052,國立屏東大學,4,4,0,0,0,0,0,1,0,3,0,0,0
106,私立,一般大學,1001,東海大學,38,31,7,5,1,8,1,7,3,11,2,0,0
106,私立,一般大學,1002,輔仁大學,35,30,5,4,1,7,3,18,1,1,0,0,0
106,私立,一般大學,1003,東吳大學,16,12,4,3,1,3,0,2,1,4,2,0,0
106,私立,一般大學,1004,中原大學,6,6,0,2,0,3,0,1,0,0,0,0,0
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,44,32,12,8,1,12,4,8,7,4,0,0,0
106,私立,一般大學,1006,中國文化大學,29,19,10,2,1,4,1,2,4,11,4,0,0
106,私立,一般大學,1007,逢甲大學,20,17,3,4,0,2,1,5,1,6,1,0,0
106,私立,一般大學,1008,靜宜大學,19,16,3,0,1,3,1,5,0,8,1,0,0
