學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師平均每週授課時數-教授,專任教師平均每週授課時數-副教授,專任教師平均每週授課時數-助理教授,專任教師平均每週授課時數-講師,專任教師平均每週授課時數-其他教師
106,公立,一般大學,0001,國立政治大學,,外文中心,0,4,8,14.92,0
106,公立,一般大學,0001,國立政治大學,,法學院,7.50,7.25,8.17,0,0
106,公立,一般大學,0001,國立政治大學,,社會科學學院,0,6,0,0,0
106,公立,一般大學,0001,國立政治大學,,軍訓室,0,0,0,0,5.33
106,公立,一般大學,0001,國立政治大學,,師資培育中心,6.25,0,0,0,0
106,公立,一般大學,0001,國立政治大學,,商學院,0,0,0,15,0
106,公立,一般大學,0001,國立政治大學,,國際事務學院,7.75,6.67,6.25,0,0
106,公立,一般大學,0001,國立政治大學,,教育學院,0,6,4,0,0
106,公立,一般大學,0001,國立政治大學,,傳播學院,7.20,5.89,6.30,0,0
106,公立,一般大學,0001,國立政治大學,,體育室,8,10.60,4.67,13.17,0
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,7.68,6.50,8,0,0
106,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,6,0,0,0,0
106,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,0,6,0,0,0
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,4.50,6,6,0,0
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,6.38,6.08,6,0,0
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,4.50,6.33,6,0,0
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,6,7.71,0,0,0
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,6,6,6,0,0
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,7.50,7.27,8,12,0
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,4.75,6.67,7.75,0,0
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,2,0,7.20,14,0
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,8.50,6.33,12,0,0
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,0,9.20,0,16,0
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,6,6.57,13,0,0
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,8,8,10.33,10.33,0
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,6,6.33,6,0,0
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,6.83,6.43,8.50,6,0
106,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,6,0,6,0,0
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,5.50,5.70,6.43,0,0
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,7.20,6,6.80,0,0
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,8.88,8.13,6,0,0
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,6.86,6,6.33,0,0
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,5,6.43,6,0,0
106,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,5,0,0,0,0
106,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,6,5,0,0,0
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,4.50,6,7.33,10,0
106,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,10.50,6.50,0,0,0
106,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,5.75,6,9,0,0
106,公立,一般大學,0001,國立政治大學,03212051,新聞學系,6.28,6,0,0,0
106,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,8.50,6,0,0,0
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,7.19,8.51,6.50,0,0
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,5.33,7.75,3,0,0
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,7,6.33,4.50,0,0
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,7.19,10.25,6,0,0
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,7.71,7.67,3,11,0
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,9.14,11.62,5,0,0
106,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,7,0,0,20.50,0
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,6.50,6,6.50,0,0
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,8.64,9.61,6.33,0,0
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,8.46,7.19,6.63,0,0
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,5,7.50,0,0,0
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,6.82,10.08,6.63,0,0
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,8.09,8.92,0,0,0
106,公立,一般大學,0001,國立政治大學,04212074,法律科際整合研究所,6.63,5,0,0,0
106,公立,一般大學,0001,國立政治大學,05331077,應用物理研究所,6,6,5,0,0
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,6,6,6,0,0
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,6,8.20,7.33,0,0
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,7.15,6.38,6.50,0,0
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,11.13,9.89,6.40,0,0
106,公立,一般大學,0001,國立政治大學,09121083,神經科學研究所,2.10,5.48,7.73,0,0
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,5,0,6,0,0
106,公立,一般大學,0002,國立清華大學,,軍訓室,0,0,0,0,2
106,公立,一般大學,0002,國立清華大學,,師資培育中心,5,8.25,7,0,0
106,公立,一般大學,0002,國立清華大學,,通識教育中心,4.33,8.93,8.33,0,0
106,公立,一般大學,0002,國立清華大學,,華語中心,3,0,0,13.50,0
106,公立,一般大學,0002,國立清華大學,,語言中心,0,0,13,13.33,0
106,公立,一般大學,0002,國立清華大學,,體育室,9,14,12,14,0
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,9.33,8.79,7,0,0
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,7,8.14,7.25,0,0
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,9.67,9.42,7.60,0,0
